"","sub_region","location","iso_code","estimate","MSM_size","region","pop2022","prop","imputed","prop_avg"
"1","Australia and New Zealand","New Zealand","NZL",37.5,84.5201944,"Oceania",5185.288,0.00723199945692505,37.5,0.00864896459783293
"2","Australia and New Zealand","Australia","AUS",263.5,426.6918319,"Oceania",26177.413,0.0100659297387408,263.5,0.00864896459783293
"3","Central Asia","Turkmenistan","TKM",NA,135.689247,"Asia",6430.77,0.0211,135.689247,0.00985826855684683
"4","Central Asia","Tajikistan","TJK",13.4,210.0038057,"Asia",9952.787,0.0013463565531946,13.4,0.00985826855684683
"5","Central Asia","Kyrgyzstan","KGZ",16.9,139.9061453,"Asia",6630.623,0.00254878010708798,16.9,0.00985826855684683
"6","Central Asia","Uzbekistan","UZB",NA,730.6434572,"Asia",34627.652,0.0211,730.6434572,0.00985826855684683
"7","Central Asia","Kazakhstan","KAZ",62,409.2977578,"Asia",19397.998,0.00319620612395155,62,0.00985826855684683
"8","Eastern Asia","Korea, Republic of","KOR",NA,NA,"Asia",51815.81,0.0100400113280723,520.231319373243,0.0100400113280723
"9","Eastern Asia","Macao","MAC",NA,NA,"Asia",695.168,0.0100400113280723,6.97949459491339,0.0100400113280723
"10","Eastern Asia","Japan","JPN",700,2020.4125796,"Asia",123951.692,0.00564736139301753,700,0.0100400113280723
"11","Eastern Asia","Korea (Democratic People's Republic of)","PRK",NA,NA,"Asia",26069.416,0.0100400113280723,261.73723195623,0.0100400113280723
"12","Eastern Asia","Mongolia","MNG",6.5,55.3933658,"Asia",3398.366,0.00191268391927179,6.5,0.0100400113280723
"13","Eastern Asia","Hong Kong","HKG",NA,122.0684995,"Asia",7488.865,0.0163,122.0684995,0.0100400113280723
"14","Eastern Asia","China","CHN",NA,23241.9635931,"Asia",1425887.337,0.0163,23241.9635931,0.0100400113280723
"15","Eastern Asia","Taiwan, Province of China","TWN",NA,NA,"Asia",23893.394,0.0100400113280723,239.889946426095,0.0100400113280723
"16","Eastern Europe","Bulgaria","BGR",57.8,143.0992083,"Europe",6781.953,0.00852261877957573,57.8,0.0105865286816708
"17","Eastern Europe","Slovakia","SVK",NA,119.0768583,"Europe",5643.453,0.0211,119.0768583,0.0105865286816708
"18","Eastern Europe","Russian Federation","RUS",NA,NA,"Europe",144713.314,0.0105865286816708,1532.01164928064,0.0105865286816708
"19","Eastern Europe","Belarus","BLR",32,201.1875294,"Europe",9534.954,0.00335607282426323,32,0.0105865286816708
"20","Eastern Europe","Romania","ROU",10.5,414.8105337,"Europe",19659.267,0.000534099262195279,10.5,0.0105865286816708
