,sub_region,location,iso_code,region,pop2022,MSM_size,prop,prop_avg,imputation
1,Australia and New Zealand,New Zealand,NZL,Oceania,5185.288,37.5,0.723199946,0.86489646,0
2,Australia and New Zealand,Australia,AUS,Oceania,26177.413,263.5,1.006592974,0.86489646,0
3,Central Asia,Turkmenistan,TKM,Asia,6430.77,135.689247,2.11,0.985826856,1
4,Central Asia,Tajikistan,TJK,Asia,9952.787,13.4,0.134635655,0.985826856,0
5,Central Asia,Uzbekistan,UZB,Asia,34627.652,730.6434572,2.11,0.985826856,1
6,Central Asia,Kazakhstan,KAZ,Asia,19397.998,62,0.319620612,0.985826856,0
7,Central Asia,Kyrgyzstan,KGZ,Asia,6630.623,16.9,0.254878011,0.985826856,0
8,Eastern Asia,Macao,MAC,Asia,695.168,6.979494595,1.004001133,1.004001133,1
9,Eastern Asia,Japan,JPN,Asia,123951.692,700,0.564736139,1.004001133,0
10,Eastern Asia,Korea (Democratic People's Republic of),PRK,Asia,26069.416,261.737232,1.004001133,1.004001133,1
11,Eastern Asia,China,CHN,Asia,1425887.337,23241.96359,1.63,1.004001133,1
12,Eastern Asia,Hong Kong,HKG,Asia,7488.865,122.0684995,1.63,1.004001133,1
13,Eastern Asia,"Korea, Republic of",KOR,Asia,51815.81,520.2313194,1.004001133,1.004001133,1
14,Eastern Asia,Mongolia,MNG,Asia,3398.366,6.5,0.191268392,1.004001133,0
15,Eastern Asia,"Taiwan, Province of China",TWN,Asia,23893.394,239.8899464,1.004001133,1.004001133,1
16,Eastern Europe,Bulgaria,BGR,Europe,6781.953,57.8,0.852261878,1.058652868,0
17,Eastern Europe,Ukraine,UKR,Europe,39701.739,179.4,0.451869375,1.058652868,0
18,Eastern Europe,Hungary,HUN,Europe,9967.308,210.3101988,2.11,1.058652868,1
19,Eastern Europe,Romania,ROU,Europe,19659.267,10.5,0.053409926,1.058652868,0
20,Eastern Europe,Belarus,BLR,Europe,9534.954,32,0.335607282,1.058652868,0
21,Eastern Europe,"Moldova, Republic of",MDA,Europe,3272.996,14.6,0.446074483,1.058652868,0
22,Eastern Europe,Poland,POL,Europe,39857.145,840.9857595,2.11,1.058652868,1
23,Eastern Europe,Russian Federation,RUS,Europe,144713.314,1532.011649,1.058652868,1.058652868,1
