location,iso_code,region,sub_region,pop2022,UNAIDS_region,MSM_percent,MSM_size
Afghanistan,AFG,Asia,Southern Asia,41128.771,Asia and the Pacific,1.63,670.3989673
Åland Islands,ALA,Europe,Northern Europe,NA,NA,NA,NA
Albania,ALB,Europe,Southern Europe,2842.321,NA,NA,NA
Algeria,DZA,Africa,Northern Africa,44903.225,Middle East and North Africa,1.02,458.012895
American Samoa,ASM,Oceania,Polynesia,44.273,Asia and the Pacific,1.63,0.7216499000000001
Andorra,AND,Europe,Southern Europe,79.824,NA,NA,NA
Angola,AGO,Africa,Sub-Saharan Africa,35588.987,Eastern and Southern Africa,1.45,516.0403115
Anguilla,AIA,Americas,Latin America and the Caribbean,15.857,Latin America,3.37,0.5343809
Antarctica,ATA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,93.763,Latin America,3.37,3.1598131
Argentina,ARG,Americas,Latin America and the Caribbean,45510.318,Latin America,3.37,1533.6977166
Armenia,ARM,Asia,Western Asia,2780.469,Middle East and North Africa,1.02,28.3607838
Aruba,ABW,Americas,Latin America and the Caribbean,106.445,Latin America,3.37,3.5871965
Australia,AUS,Oceania,Australia and New Zealand,26177.413,Asia and the Pacific,1.63,426.69183189999995
Austria,AUT,Europe,Western Europe,8939.617,NA,NA,NA
Azerbaijan,AZE,Asia,Western Asia,10358.074,Middle East and North Africa,1.02,105.65235480000001
Bahamas,BHS,Americas,Latin America and the Caribbean,409.984,Latin America,3.37,13.8164608
Bahrain,BHR,Asia,Western Asia,1472.233,Middle East and North Africa,1.02,15.0167766
Bangladesh,BGD,Asia,Southern Asia,171186.372,Asia and the Pacific,1.63,2790.3378635999998
Barbados,BRB,Americas,Latin America and the Caribbean,281.635,Latin America,3.37,9.4910995
Belarus,BLR,Europe,Eastern Europe,9534.954,Eastern Europe and Central Asia,2.11,201.1875294
Belgium,BEL,Europe,Western Europe,11655.93,NA,NA,NA
Belize,BLZ,Americas,Latin America and the Caribbean,405.272,Latin America,3.37,13.6576664
Benin,BEN,Africa,Sub-Saharan Africa,13352.864,Eastern and Southern Africa,1.45,193.616528
Bermuda,BMU,Americas,Northern America,64.184,NA,NA,NA
Bhutan,BTN,Asia,Southern Asia,782.455,Asia and the Pacific,1.63,12.7540165
Bolivia (Plurinational State of),BOL,Americas,Latin America and the Caribbean,NA,Latin America,3.37,NA
"Bonaire, Sint Eustatius and Saba",BES,Americas,Latin America and the Caribbean,NA,Latin America,3.37,NA
Bosnia and Herzegovina,BIH,Europe,Southern Europe,3233.526,NA,NA,NA
Botswana,BWA,Africa,Sub-Saharan Africa,2630.296,Eastern and Southern Africa,1.45,38.139292
Bouvet Island,BVT,Americas,Latin America and the Caribbean,NA,Latin America,3.37,NA
Brazil,BRA,Americas,Latin America and the Caribbean,215313.498,Latin America,3.37,7256.0648826
British Indian Ocean Territory,IOT,Africa,Sub-Saharan Africa,NA,Eastern and Southern Africa,1.45,NA
Brunei Darussalam,BRN,Asia,South-eastern Asia,NA,Asia and the Pacific,1.63,NA
Bulgaria,BGR,Europe,Eastern Europe,6781.953,Eastern Europe and Central Asia,2.11,143.09920830000002
Burkina Faso,BFA,Africa,Sub-Saharan Africa,22673.762,Eastern and Southern Africa,1.45,328.769549
Burundi,BDI,Africa,Sub-Saharan Africa,12889.576,Eastern and Southern Africa,1.45,186.89885199999998
Cabo Verde,CPV,Africa,Sub-Saharan Africa,NA,Eastern and Southern Africa,1.45,NA
Cambodia,KHM,Asia,South-eastern Asia,16767.842,Asia and the Pacific,1.63,273.3158246
Cameroon,CMR,Africa,Sub-Saharan Africa,27914.536,Eastern and Southern Africa,1.45,404.760772
Canada,CAN,Americas,Northern America,38454.327,NA,NA,NA
Cayman Islands,CYM,Americas,Latin America and the Caribbean,68.706,Latin America,3.37,2.3153922000000002
Central African Republic,CAF,Africa,Sub-Saharan Africa,5579.144,Eastern and Southern Africa,1.45,80.897588
Chad,TCD,Africa,Sub-Saharan Africa,17723.315,Eastern and Southern Africa,1.45,256.98806749999994
Chile,CHL,Americas,Latin America and the Caribbean,19603.733,Latin America,3.37,660.6458021
China,CHN,Asia,Eastern Asia,1425887.337,Asia and the Pacific,1.63,23241.963593099998
Christmas Island,CXR,Oceania,Australia and New Zealand,NA,Asia and the Pacific,1.63,NA
Cocos (Keeling) Islands,CCK,Oceania,Australia and New Zealand,NA,Asia and the Pacific,1.63,NA
Colombia,COL,Americas,Latin America and the Caribbean,51874.024,Latin America,3.37,1748.1546088
Comoros,COM,Africa,Sub-Saharan Africa,836.774,Eastern and Southern Africa,1.45,12.133223000000001
Congo,COG,Africa,Sub-Saharan Africa,NA,Eastern and Southern Africa,1.45,NA
"Congo, Democratic Republic of the",COD,Africa,Sub-Saharan Africa,NA,Eastern and Southern Africa,1.45,NA
Cook Islands,COK,Oceania,Polynesia,17.011,Asia and the Pacific,1.63,0.27727929999999995
Costa Rica,CRI,Americas,Latin America and the Caribbean,5180.829,Latin America,3.37,174.5939373
Côte d'Ivoire,CIV,Africa,Sub-Saharan Africa,NA,Eastern and Southern Africa,1.45,NA
Croatia,HRV,Europe,Southern Europe,4030.358,NA,NA,NA
Cuba,CUB,Americas,Latin America and the Caribbean,11212.191,Latin America,3.37,377.8508367
Curaçao,CUW,Americas,Latin America and the Caribbean,NA,Latin America,3.37,NA
Cyprus,CYP,Asia,Western Asia,1251.488,Middle East and North Africa,1.02,12.765177600000001
Czechia,CZE,Europe,Eastern Europe,NA,Eastern Europe and Central Asia,2.11,NA
Denmark,DNK,Europe,Northern Europe,5882.261,NA,NA,NA
Djibouti,DJI,Africa,Sub-Saharan Africa,1120.849,Eastern and Southern Africa,1.45,16.2523105
Dominica,DMA,Americas,Latin America and the Caribbean,72.737,Latin America,3.37,2.4512368999999996
Dominican Republic,DOM,Americas,Latin America and the Caribbean,11228.821,Latin America,3.37,378.41126770000005
Ecuador,ECU,Americas,Latin America and the Caribbean,18001,Latin America,3.37,606.6337
Egypt,EGY,Africa,Northern Africa,110990.103,Middle East and North Africa,1.02,1132.0990506
El Salvador,SLV,Americas,Latin America and the Caribbean,6336.392,Latin America,3.37,213.5364104
Equatorial Guinea,GNQ,Africa,Sub-Saharan Africa,1674.908,Eastern and Southern Africa,1.45,24.286165999999998
Eritrea,ERI,Africa,Sub-Saharan Africa,3684.032,Eastern and Southern Africa,1.45,53.418464
Estonia,EST,Europe,Northern Europe,1326.062,NA,NA,NA
Eswatini,SWZ,Africa,Sub-Saharan Africa,1201.67,Eastern and Southern Africa,1.45,17.424215
