,SAR,Infections,Reff_1,Reff_2,n
1,0.05908842,0,1.69237897,3.38475794,0
2,0.062894207,7.53E-05,1.589971566,3.179943132,100
3,0.066728968,0.000150192,1.498599539,2.997199078,200
4,0.070581621,0.000224779,1.416799422,2.833598843,300
5,0.074442297,0.00029905,1.343322336,2.686644672,400
6,0.078302365,0.000373022,1.277100637,2.554201274,500
7,0.082154422,0.000446709,1.217219937,2.434439874,600
8,0.08599224,0.000520124,1.162895629,2.325791258,700
9,0.089810693,0.000593277,1.113453157,2.226906313,800
10,0.093605664,0.000666181,1.068311423,2.136622845,900
11,0.09737394,0.000738845,1.026968816,2.053937631,1000
12,0.101113111,0.000811277,0.98899143,1.977982861,1100
13,0.104821459,0.000883487,0.954003126,1.908006253,1200
14,0.108497865,0.00095548,0.921677126,1.843354252,1300
15,0.112141705,0.001027266,0.891728906,1.783457811,1400
16,0.115752775,0.001098849,0.863910174,1.727820347,1500
17,0.119331207,0.001170236,0.83800376,1.67600752,1600
18,0.122877404,0.001241432,0.813819277,1.627638554,1700
19,0.126391982,0.001312443,0.791189426,1.582378852,1800
20,0.129875721,0.001383274,0.769966851,1.539933701,1900
21,0.133329519,0.001453929,0.750021454,1.500042908,2000
22,0.136754361,0.001524413,0.731238104,1.462476208,2100
23,0.140151288,0.001594729,0.713514671,1.427029342,2200
24,0.143521371,0.001664882,0.696760343,1.393520687,2300
25,0.146865699,0.001734874,0.680894184,1.361788368,2400
26,0.150185354,0.00180471,0.665843886,1.331687772,2500
27,0.15348141,0.001874393,0.651544703,1.303089406,2600
28,0.156754916,0.001943926,0.637938525,1.27587705,2700
29,0.160006892,0.002013312,0.624973078,1.249946156,2800
30,0.163238326,0.002082553,0.612601234,1.225202467,2900
31,0.166450168,0.002151652,0.600780407,1.201560815,3000
32,0.169643331,0.002220612,0.589472038,1.178944077,3100
33,0.172818686,0.002289436,0.578641133,1.157282266,3200
34,0.175977065,0.002358125,0.568255869,1.136511738,3300
35,0.179119262,0.002426682,0.55828725,1.1165745,3400
36,0.182246029,0.00249511,0.5487088,1.097417599,3500
37,0.185358084,0.002563409,0.539496298,1.078992595,3600
38,0.188456105,0.002631583,0.530627544,1.061255088,3700
39,0.191540736,0.002699632,0.522082153,1.044164306,3800
40,0.194612589,0.00276756,0.513841372,1.027682745,3900
41,0.197672243,0.002835367,0.50588792,1.011775841,4000
42,0.200720246,0.002903056,0.498205845,0.99641169,4100
43,0.203757119,0.002970628,0.490780397,0.981560794,4200
44,0.206783355,0.003038084,0.483597918,0.967195835,4300
45,0.209799422,0.003105427,0.476645737,0.953291475,4400
46,0.212805762,0.003172658,0.469912088,0.939824176,4500
47,0.215802798,0.003239778,0.463386022,0.926772043,4600
48,0.218790929,0.003306789,0.457057341,0.914114681,4700
49,0.221770534,0.003373692,0.450916531,0.901833063,4800
50,0.224741975,0.003440488,0.444954708,0.889909416,4900
51,0.227705595,0.003507179,0.43916356,0.87832712,5000
52,0.230661721,0.003573766,0.433535306,0.867070612,5100
53,0.233610664,0.003640251,0.42806265,0.8561253,5200
54,0.236552721,0.003706634,0.422738744,0.845477488,5300
55,0.239488173,0.003772916,0.417557155,0.835114309,5400
56,0.242417291,0.003839099,0.412511829,0.825023658,5500
57,0.245340332,0.003905184,0.407597068,0.815194136,5600
58,0.248257542,0.003971172,0.4028075,0.805615,5700
59,0.251169157,0.004037063,0.398138056,0.796276112,5800
60,0.254075402,0.00410286,0.393583949,0.787167899,5900
61,0.256976491,0.004168563,0.389140655,0.778281311,6000
62,0.259872631,0.004234172,0.384803893,0.769607786,6100
63,0.26276402,0.00429969,0.380569608,0.761139216,6200
64,0.265650847,0.004365116,0.376433959,0.752867918,6300
65,0.268533294,0.004430452,0.372393301,0.744786602,6400
66,0.271411537,0.004495699,0.368444176,0.736888351,6500
67,0.274285742,0.004560857,0.364583296,0.729166592,6600
68,0.277156072,0.004625927,0.360807539,0.721615077,6700
69,0.28002268,0.004690911,0.357113931,0.714227862,6800
70,0.282885717,0.004755808,0.353499643,0.706999286,6900
71,0.285745326,0.00482062,0.349961979,0.699923958,7000
72,0.288601646,0.004885348,0.34649837,0.69299674,7100
73,0.291454811,0.004949992,0.343106363,0.686212726,7200
74,0.294304947,0.005014553,0.339783619,0.679567237,7300
75,0.297152181,0.005079032,0.336527902,0.673055803,7400
76,0.299996632,0.005143429,0.333337076,0.666674152,7500
77,0.302838415,0.005207746,0.330209099,0.660418198,7600
78,0.305677642,0.005271982,0.327142016,0.654284032,7700
79,0.308514421,0.005336139,0.324133957,0.648267913,7800
80,0.311348857,0.005400217,0.321183129,0.642366258,7900
81,0.31418105,0.005464217,0.318287815,0.63657563,8000
82,0.317011099,0.005528139,0.315446369,0.630892737,8100
83,0.319839098,0.005591985,0.31265721,0.625314421,8200
84,0.322665138,0.005655754,0.309918824,0.619837648,8300
85,0.325489308,0.005719447,0.307229753,0.614459507,8400
