,SAR,Infections,Reff_1,Reff_2,Excess,n
1,0.044585673,0,2.242872975,4.485745949,22.42872975,0
2,0.048396595,9.96799E-05,2.066261084,4.132522169,20.79400485,100
3,0.052241065,0.000198752,1.914202922,3.828405845,19.37786338,200
4,0.056100656,0.000297259,1.782510351,3.565020703,18.1447791,300
5,0.059959801,0.00039524,1.667784051,3.335568102,17.06548438,400
6,0.063805781,0.000492726,1.567256114,3.134512227,16.11583703,500
7,0.067628559,0.000589748,1.478665254,2.957330508,15.27588913,600
8,0.071420527,0.000686329,1.400157695,2.80031539,14.52912466,700
9,0.075176196,0.000782493,1.330208296,2.660416592,13.86183685,800
10,0.078891874,0.000878259,1.267557664,2.535115328,13.26262033,900
11,0.082565345,0.000973646,1.211161902,2.422323805,12.7219575,1000
12,0.086195574,0.001068669,1.160152375,2.32030475,12.23188158,1100
13,0.089782451,0.001163344,1.113803411,2.227606821,11.78570217,1200
14,0.093326561,0.001257683,1.071506324,2.143012647,11.37778155,1300
15,0.096828999,0.001351698,1.032748463,2.065496926,11.00335223,1400
16,0.100291218,0.001445401,0.997096276,1.994192552,10.65836789,1500
17,0.103714905,0.001538803,0.964181574,1.928363148,10.33938152,1600
18,0.107101886,0.001631911,0.933690377,1.867380755,10.04344551,1700
19,0.110454055,0.001724736,0.905353817,1.810707633,9.768029631,1800
20,0.113773319,0.001817285,0.878940697,1.757881395,9.510953641,1900
21,0.117061557,0.001909565,0.854251406,1.708502811,9.270331617,2000
22,0.120320597,0.002001585,0.831112895,1.66222579,9.044526003,2100
23,0.123552192,0.00209335,0.809374551,1.618749103,8.832109516,2200
24,0.126758011,0.002184867,0.788904773,1.577809547,8.6318335,2300
25,0.129939634,0.002276141,0.769588131,1.539176262,8.442601557,2400
26,0.133098547,0.002367179,0.751323001,1.502646003,8.26344752,2500
27,0.136236145,0.002457986,0.734019593,1.468039186,8.093516992,2600
28,0.139353733,0.002548565,0.717598288,1.435196576,7.93205183,2700
29,0.142452527,0.002638924,0.701988251,1.403976502,7.778377072,2800
30,0.145533663,0.002729064,0.687126252,1.374252503,7.631889871,2900
31,0.148598198,0.002818992,0.672955669,1.345911338,7.49205012,3000
32,0.151647119,0.002908711,0.659425648,1.318851297,7.358372465,3100
33,0.154681343,0.002998225,0.646490377,1.292980754,7.230419498,3200
34,0.157701725,0.003087537,0.634108471,1.268216942,7.107795918,3300
35,0.160709063,0.003176652,0.622242443,1.244484886,6.990143528,3400
36,0.1637041,0.003265573,0.610858251,1.221716502,6.877136915,3500
37,0.16668753,0.003354302,0.599924903,1.199849805,6.768479722,3600
38,0.169660002,0.003442844,0.589414116,1.178828231,6.663901417,3700
39,0.172622124,0.003531201,0.579300022,1.158600044,6.563154483,3800
40,0.175574463,0.003619376,0.569558911,1.139117823,6.466011969,3900
41,0.178517553,0.003707372,0.560169005,1.120338009,6.372265349,4000
42,0.181451894,0.003795191,0.551110257,1.102220515,6.281722643,4100
43,0.184377956,0.003882837,0.542364186,1.084728373,6.194206772,4200
44,0.187296181,0.003970312,0.533913717,1.067827434,6.109554094,4300
45,0.190206985,0.004057618,0.525743047,1.051486095,6.02761313,4400
46,0.193110762,0.004144758,0.517837531,1.035675061,5.948243415,4500
47,0.196007881,0.004231733,0.510183567,1.020367135,5.871314492,4600
48,0.198898694,0.004318547,0.502768511,1.005537022,5.796705013,4700
49,0.20178353,0.004405201,0.495580585,0.99116117,5.72430193,4800
50,0.204662705,0.004491697,0.488608806,0.977217611,5.653999782,4900
51,0.207536516,0.004578038,0.481842916,0.963685832,5.585700047,5000
52,0.210405244,0.004664225,0.475273325,0.95054665,5.519310567,5100
53,0.213269159,0.004750261,0.468891051,0.937782103,5.454745027,5200
54,0.216128514,0.004836146,0.462687677,0.925375354,5.391922484,5300
55,0.218983552,0.004921884,0.456655301,0.913310602,5.330766945,5400
56,0.221834505,0.005007475,0.4507865,0.901572999,5.271206981,5500
57,0.224681592,0.005092922,0.445074289,0.890148579,5.213175383,5600
58,0.227525024,0.005178225,0.439512095,0.87902419,5.156608844,5700
59,0.230365001,0.005263388,0.434093719,0.868187438,5.10144767,5800
60,0.233201715,0.00534841,0.428813314,0.857626627,5.04763552,5900
