"","SAR","case_final","cfoi_final"
"1",1e-06,9.967986473991e-05,1e-04
"2",0.005,9.967986473991e-05,1e-04
"3",0.01,9.967986473991e-05,1e-04
"4",0.015,9.967986473991e-05,1e-04
"5",0.02,9.967986473991e-05,1e-04
"6",0.025,9.967986473991e-05,1e-04
"7",0.03,9.967986473991e-05,1e-04
"8",0.035,9.967986473991e-05,1e-04
"9",0.04,9.967986473991e-05,1e-04
"10",0.045,9.967986473991e-05,1e-04
"11",0.05,0.000198751797026331,2e-04
"12",0.055,0.000492726444319302,5e-04
"13",0.06,0.000782492839285442,8e-04
"14",0.065,0.00106866921950466,0.0011
"15",0.07,0.00135169824968273,0.0014
"16",0.075,0.00172473573928944,0.0018
"17",0.08,0.00209334988789134,0.0022
"18",0.085,0.00245798562112187,0.0026
"19",0.09,0.00281899203985725,0.003
"20",0.095,0.00326557258931393,0.0035
"21",0.1,0.00361937575870608,0.0039
"22",0.105,0.00405761801051185,0.0044
"23",0.11,0.00449169729084675,0.0049
"24",0.115,0.00492188382019643,0.0054
"25",0.12,0.00543329488221611,0.006
"26",0.125,0.00585569553968557,0.0065
"27",0.13,0.00635830789064951,0.0071
"28",0.135,0.00677377543948554,0.0076
"29",0.14,0.00726849043029631,0.0082
"30",0.145,0.00775920941412234,0.0088
"31",0.15,0.00824612242246836,0.0094
"32",0.155,0.00880960463197156,0.0101
"33",0.16,0.00928883703416028,0.0107
"34",0.165,0.00976475313812197,0.0113
"35",0.17,0.0103159665783229,0.012
"36",0.175,0.010863024170174,0.0127
"37",0.18,0.0114060946083728,0.0134
"38",0.185,0.011868527612397,0.014
"39",0.19,0.0124808799263393,0.0148
"40",0.195,0.0130128683663928,0.0155
"41",0.2,0.0135414195098957,0.0162
"42",0.205,0.0140666465371576,0.0169
"43",0.21,0.0146629707088528,0.0177
"44",0.215,0.0151814212212841,0.0184
"45",0.22,0.0157702497083926,0.0192
"46",0.225,0.0162823452924173,0.0199
"47",0.23,0.0168641288461898,0.0207
"48",0.235,0.0174423205324363,0.0215
"49",0.24,0.0180170262144915,0.0223
"50",0.245,0.0185883454301116,0.0231
"51",0.25,0.0191563719608249,0.0239
"52",0.255,0.0197211943334912,0.0247
"53",0.26,0.0202828962640129,0.0255
"54",0.265,0.0208415570514248,0.0263
"55",0.27,0.0213972519292066,0.0271
"56",0.275,0.0220189523447906,0.028
"57",0.28,0.0225685776982691,0.0288
"58",0.285,0.023183617742624,0.0297
"59",0.29,0.0237274647331284,0.0305
"60",0.295,0.0243361560046865,0.0314
"61",0.3,0.0249416024062249,0.0323
"62",0.305,0.0255438794303098,0.0332
"63",0.31,0.0260766343409243,0.034
"64",0.315,0.0266731185231689,0.0349
"65",0.32,0.0272666325621954,0.0358
"66",0.325,0.0278572396078202,0.0367
"67",0.33,0.0284450001367532,0.0376
"68",0.335,0.0290299721228227,0.0385
"69",0.34,0.029676738065347,0.0395
"70",0.345,0.0302560031268797,0.0404
"71",0.35,0.0308326456278947,0.0413
"72",0.355,0.0314703434396796,0.0423
"73",0.36,0.0320416087360509,0.0432
"74",0.365,0.0326103986224556,0.0441
"75",0.37,0.0332395373797748,0.0451
"76",0.375,0.0338032434623066,0.046
"77",0.38,0.0344268361378798,0.047
"78",0.385,0.0350475887790324,0.048
"79",0.39,0.0356038808235087,0.0489
"80",0.395,0.0362193787166162,0.0499
"81",0.4,0.0368321819031461,0.0509
