"","iso_code","location","region","sub_region","date","new_cases","total_cases","MA_new_cases","MA_total_cases","date_import","MSM_pop","pop2022","cum_icni_prop"
"1","AND","Andorra","Europe","Southern Europe",2022-05-01,0,0,0,0,2022-07-25,576.577710468845,79.824,0
"2","ARG","Argentina","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-06-03,205600,45510.318,0
"3","ABW","Aruba","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-08-21,3587.1965,106.445,0
"4","AUS","Australia","Oceania","Australia and New Zealand",2022-05-01,0,0,0,0,2022-05-20,263500,26177.413,0
"5","AUT","Austria","Europe","Western Europe",2022-05-01,0,0,0,0,2022-05-23,81238.97811776,8939.617,0
"6","BHS","Bahamas","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-06-27,2800,409.984,0
"7","BHR","Bahrain","Asia","Western Asia",2022-05-01,0,0,0,0,2022-09-16,15016.7766,1472.233,0
"8","BRB","Barbados","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-07-19,2600,281.635,0
"9","BEL","Belgium","Europe","Western Europe",2022-05-01,0,0,0,0,2022-05-19,105923.535897807,11655.93,0
"10","BEN","Benin","Africa","Sub-Saharan Africa",2022-05-01,0,0,0,0,2022-06-15,5800,13352.864,0
"11","BMU","Bermuda","Americas","Northern America",2022-05-01,0,0,0,0,2022-07-23,718.819322375309,64.184,0
"12","BOL","Bolivia","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-08-03,35500,12224.11,0
"13","BIH","Bosnia and Herzegovina","Europe","Southern Europe",2022-05-01,0,0,0,0,2022-07-14,6900,3233.526,0
"14","BRA","Brazil","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-06-10,2e+06,215313.498,0
"15","BGR","Bulgaria","Europe","Eastern Europe",2022-05-01,0,0,0,0,2022-06-23,57800,6781.953,0
"16","CMR","Cameroon","Africa","Sub-Saharan Africa",2022-05-01,0,0,0,0,2022-06-13,7000,27914.536,0
"17","CAN","Canada","Americas","Northern America",2022-05-01,0,0,0,0,2022-06-03,349800,38454.327,0
"18","CAF","Central African Republic","Africa","Sub-Saharan Africa",2022-05-01,0,2,0,0,2022-05-01,3000,5579.144,0
"19","CHL","Chile","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-06-18,122600,19603.733,0
"20","CHN","China","Asia","Eastern Asia",2022-05-01,0,0,0,0,2022-06-24,23241963.5931,1425887.337,0
"21","COL","Colombia","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-06-25,356700,51874.024,0
"22","COG","Congo","Africa","Sub-Saharan Africa",2022-05-01,0,0,0,0,2022-05-21,1300,5970.424,0
"23","CRI","Costa Rica","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-07-21,10100,5180.829,0
"24","HRV","Croatia","Europe","Southern Europe",2022-05-01,0,0,0,0,2022-06-24,29500,4030.358,0
"25","CUB","Cuba","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-08-23,279200,11212.191,0
"26","CUW","Curacao","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-08-18,3029.62765740541,191.163,0
"27","CYP","Cyprus","Asia","Western Asia",2022-05-01,0,0,0,0,2022-08-03,12765.1776,1251.488,0
"28","CZE","Czechia","Europe","Eastern Europe",2022-05-01,0,0,0,0,2022-05-24,111094.883774052,10493.986,0
"29","COD","Democratic Republic of Congo","Africa","Sub-Saharan Africa",2022-05-01,0,0,0,0,2022-06-13,194900,99010.212,0
"30","DNK","Denmark","Europe","Northern Europe",2022-05-01,0,0,0,0,2022-05-23,50000,5882.261,0
"31","DOM","Dominican Republic","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-07-06,142000,11228.821,0
"32","ECU","Ecuador","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-06-14,89400,18001,0
"33","EGY","Egypt","Africa","Northern Africa",2022-05-01,0,0,0,0,2022-09-27,64300,110990.103,0
"34","SLV","El Salvador","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-09-01,54100,6336.392,0
"35","EST","Estonia","Europe","Northern Europe",2022-05-01,0,0,0,0,2022-06-28,9000,1326.062,0
"36","FIN","Finland","Europe","Northern Europe",2022-05-01,0,0,0,0,2022-05-20,58159.5605503088,5540.745,0
"37","FRA","France","Europe","Western Europe",2022-05-01,0,0,0,0,2022-05-19,330000,64626.628,0
"38","GEO","Georgia","Asia","Western Asia",2022-05-01,0,0,0,0,2022-06-15,18500,3744.385,0
"39","DEU","Germany","Europe","Western Europe",2022-05-01,0,0,0,0,2022-05-20,750000,83369.843,0
"40","GHA","Ghana","Africa","Sub-Saharan Africa",2022-05-01,0,0,0,0,2022-06-13,54800,33475.87,0
"41","GIB","Gibraltar","Europe","Southern Europe",2022-05-01,0,0,0,0,2022-06-02,235.82739112419,32.649,0
"42","GRC","Greece","Europe","Southern Europe",2022-05-01,0,0,0,0,2022-06-09,94000,10384.971,0
"43","GRL","Greenland","Americas","Northern America",2022-05-01,0,0,0,0,2022-08-10,632.382709978253,56.466,0
"44","GLP","Guadeloupe","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-08-05,13336.8424,395.752,0
"45","GUM","Guam","Oceania","Micronesia",2022-05-01,0,0,0,0,2022-09-12,2799.9162,171.774,0
"46","GTM","Guatemala","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-08-04,116500,17843.908,0
"47","GUY","Guyana","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-08-24,3300,808.726,0
"48","HND","Honduras","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-08-14,40900,10432.86,0
"49","HUN","Hungary","Europe","Eastern Europe",2022-05-01,0,0,0,0,2022-05-31,210310.1988,9967.308,0
"50","ISL","Iceland","Europe","Northern Europe",2022-05-01,0,0,0,0,2022-06-09,3914.21044817071,372.899,0
"51","IND","India","Asia","Southern Asia",2022-05-01,0,0,0,0,2022-07-14,238200,1417173.173,0
"52","IDN","Indonesia","Asia","South-eastern Asia",2022-05-01,0,0,0,0,2022-08-22,754300,275501.339,0
"53","IRN","Iran","Asia","Southern Asia",2022-05-01,0,0,0,0,2022-08-18,313924.554014187,88550.57,0
"54","IRL","Ireland","Europe","Northern Europe",2022-05-01,0,0,0,0,2022-05-16,86500,5023.109,0
"55","ISR","Israel","Asia","Western Asia",2022-05-01,0,0,0,0,2022-05-21,92190.7518,9038.309,0
"56","ITA","Italy","Europe","Southern Europe",2022-05-01,0,0,0,0,2022-05-19,426434.30034556,59037.474,0
"57","JAM","Jamaica","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-07-08,42400,2827.377,0
"58","JPN","Japan","Asia","Eastern Asia",2022-05-01,0,0,0,0,2022-07-25,7e+05,123951.692,0
"59","JOR","Jordan","Asia","Western Asia",2022-05-01,0,0,0,0,2022-09-08,115115.8638,11285.869,0
"60","LVA","Latvia","Europe","Northern Europe",2022-05-01,0,0,0,0,2022-06-03,19425.7358698135,1850.651,0
"61","LBN","Lebanon","Asia","Western Asia",2022-05-01,0,0,0,0,2022-06-20,16500,5489.739,0
"62","LBR","Liberia","Africa","Sub-Saharan Africa",2022-05-01,0,0,0,0,2022-08-01,74600,5302.681,0
"63","LTU","Lithuania","Europe","Northern Europe",2022-05-01,0,0,0,0,2022-08-04,28866.5134903663,2750.055,0
"64","LUX","Luxembourg","Europe","Western Europe",2022-05-01,0,0,0,0,2022-06-16,5885.0710259828,647.599,0
"65","MLT","Malta","Europe","Southern Europe",2022-05-01,0,0,0,0,2022-05-30,3851.9846274941,533.286,0
"66","MTQ","Martinique","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-07-20,12384.9859,367.507,0
"67","MEX","Mexico","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-06-03,1200000,127504.125,0
"68","MDA","Moldova","Europe","Eastern Europe",2022-05-01,0,0,0,0,2022-08-09,14600,3272.996,0
"69","MCO","Monaco","Europe","Western Europe",2022-05-01,0,0,0,0,2022-08-12,331.412888603235,36.469,0
"70","MNE","Montenegro","Europe","Southern Europe",2022-05-01,0,0,0,0,2022-07-31,4529.48366200923,627.082,0
"71","MAR","Morocco","Africa","Northern Africa",2022-05-01,0,0,0,0,2022-06-02,42000,37457.971,0
"72","NLD","Netherlands","Europe","Western Europe",2022-05-01,0,0,0,0,2022-05-22,230000,17564.014,0
"73","NCL","New Caledonia","Oceania","Melanesia",2022-05-01,0,0,0,0,2022-07-12,4726.185,289.95,0
"74","NZL","New Zealand","Oceania","Australia and New Zealand",2022-05-01,0,0,0,0,2022-07-11,37500,5185.288,0
"75","NGA","Nigeria","Africa","Sub-Saharan Africa",2022-05-01,0,15,0,0,2022-05-01,240000,218541.212,0
"76","NOR","Norway","Europe","Northern Europe",2022-05-01,0,0,0,0,2022-05-31,57042.4383237622,5434.319,0
"77","PAN","Panama","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-07-06,29600,4408.581,0
