"","iso_code","location","region","sub_region","date","new_cases","total_cases","MA_new_cases","MA_total_cases","date_import","import_low","import_upp","MSM_pop","pop2022","cum_icni_prop"
"1","ABW","Aruba","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-08-09,NA,NA,3587.1965,106.445,0
"2","AND","Andorra","Europe","Southern Europe",2022-04-17,0,0,0,0,2022-06-20,NA,NA,576.577710468845,79.824,0
"3","ARE","United Arab Emirates","Asia","Western Asia",2022-04-17,0,0,0,0,2022-05-12,NA,NA,96299.5158,9441.129,0
"4","ARG","Argentina","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-05-03,NA,NA,205600,45510.318,0
"5","AUS","Australia","Oceania","Australia and New Zealand",2022-04-17,0,0,0,0,2022-05-08,NA,NA,263500,26177.413,0
"6","AUT","Austria","Europe","Western Europe",2022-04-17,0,0,0,0,2022-05-14,NA,NA,81238.97811776,8939.617,0
"7","BEL","Belgium","Europe","Western Europe",2022-04-17,0,0,0,0,2022-05-10,NA,NA,105923.535897807,11655.93,0
"8","BEN","Benin","Africa","Sub-Saharan Africa",2022-04-17,0,0,0,0,2022-06-08,2022-06-06,2022-06-11,5800,13352.864,0
"9","BGR","Bulgaria","Europe","Eastern Europe",2022-04-17,0,0,0,0,2022-06-10,NA,NA,57800,6781.953,0
"10","BHR","Bahrain","Asia","Western Asia",2022-04-17,0,0,0,0,2022-09-10,2022-09-08,2022-09-13,15016.7766,1472.233,0
"11","BHS","Bahamas","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-06-18,2022-06-16,2022-06-21,2800,409.984,0
"12","BIH","Bosnia and Herzegovina","Europe","Southern Europe",2022-04-17,0,0,0,0,2022-07-02,NA,NA,6900,3233.526,0
"13","BMU","Bermuda","Americas","Northern America",2022-04-17,0,0,0,0,2022-07-16,NA,NA,718.819322375309,64.184,0
"14","BOL","Bolivia","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-07-26,2022-07-24,2022-07-29,35500,12224.11,0
"15","BRA","Brazil","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-05-13,NA,NA,2e+06,215313.498,0
"16","BRB","Barbados","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-07-04,NA,NA,2600,281.635,0
"17","CAN","Canada","Americas","Northern America",2022-04-17,0,0,0,0,2022-04-28,NA,NA,349800,38454.327,0
"18","CHE","Switzerland","Europe","Western Europe",2022-04-17,0,0,0,0,2022-05-13,2022-05-11,2022-05-16,80000,8740.472,0
"19","CHL","Chile","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-06-02,NA,NA,122600,19603.733,0
"20","CHN","China","Asia","Eastern Asia",2022-04-17,0,0,0,0,2022-09-09,NA,NA,23241963.5931,1425887.337,0
"21","COL","Colombia","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-05-30,NA,NA,356700,51874.024,0
"22","CRI","Costa Rica","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-07-13,NA,NA,10100,5180.829,0
"23","CUB","Cuba","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-08-17,NA,NA,279200,11212.191,0
"24","CUW","Curaçao","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-08-09,NA,NA,3029.62765740541,191.163,0
"25","CYP","Cyprus","Asia","Western Asia",2022-04-17,0,0,0,0,2022-07-26,NA,NA,12765.1776,1251.488,0
"26","CZE","Czechia","Europe","Eastern Europe",2022-04-17,0,0,0,0,2022-05-09,NA,NA,111094.883774052,10493.986,0
"27","DEU","Germany","Europe","Western Europe",2022-04-17,0,0,0,0,2022-05-02,NA,NA,750000,83369.843,0
"28","DNK","Denmark","Europe","Northern Europe",2022-04-17,0,0,0,0,2022-05-16,NA,NA,50000,5882.261,0
"29","DOM","Dominican Republic","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-06-27,NA,NA,142000,11228.821,0
"30","ECU","Ecuador","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-06-04,NA,NA,89400,18001,0
"31","EGY","Egypt","Africa","Northern Africa",2022-04-17,0,0,0,0,2022-09-01,2022-08-30,2022-09-04,64300,110990.103,0
"32","ESP","Spain","Europe","Southern Europe",2022-04-17,0,0,0,0,2022-04-26,NA,NA,890200,47558.63,0
"33","EST","Estonia","Europe","Northern Europe",2022-04-17,0,0,0,0,2022-06-16,NA,NA,9000,1326.062,0
"34","FIN","Finland","Europe","Northern Europe",2022-04-17,0,0,0,0,2022-05-15,NA,NA,58159.5605503088,5540.745,0
"35","FRA","France","Europe","Western Europe",2022-04-17,0,0,0,0,2022-05-07,NA,NA,330000,64626.628,0
"36","GBR","The United Kingdom","Europe","Northern Europe",2022-04-17,1,1,0.0714285714285714,0.0714285714285714,2022-04-17,NA,NA,708621.322760554,67508.936,1.00799353807629e-07
"37","GEO","Georgia","Asia","Western Asia",2022-04-17,0,0,0,0,2022-05-29,NA,NA,18500,3744.385,0
"38","GRC","Greece","Europe","Southern Europe",2022-04-17,0,0,0,0,2022-06-02,NA,NA,94000,10384.971,0
