"","destination","series","Afghanistan","Albania","Algeria","American Samoa","Andorra","Angola","Anguilla","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia, Plurinational State of","Bosnia and Herzegovina","Botswana","Brazil","British Virgin Islands","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cambodia","Cameroon","Canada","Cape Verde","Cayman Islands","Central African Republic","Chad","Chile","China","Colombia","Comoros","Congo, Democratic Republic of the","Congo","Cook Islands","Costa Rica","Cote d'Ivoire","Croatia","Cuba","Curacao","Cyprus","Czech Republic","Denmark","Djibouti","Dominica","Dominican Republic","Ecuador","Egypt","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Fiji","Finland","France","French Polynesia","Gabon","Gambia","Georgia","Germany","Ghana","Greece","Grenada","Guadeloupe","Guam","Guatemala","Guinea-Bissau","Guinea","Guyana","Haiti","Honduras","Hong Kong, China","Hungary","Iceland","India","Indonesia","Iran, Islamic Republic of","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea, Democratic Peoples Republic of","Korea, Republic of","Kuwait","Kyrgyzstan","Lao People's Democratic Republic","Latvia","Lebanon","Lesotho","Liberia","Libyan Arab Jamahiriya","Liechtenstein","Lithuania","Luxembourg","Macao, China","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Martinique","Mauritania","Mauritius","Mexico","Micronesia (Federated States Of)","Moldova, Republic of","Monaco","Mongolia","Montenegro","Montserrat","Morocco","Mozambique","Myanmar","Namibia","Nauru","Nepal","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Niue","North Macedonia","Northern Mariana Islands","Norway","Oman","Pakistan","Palau","Palestine, State of","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Qatar","Romania","Russian Federation","Rwanda","Saint Lucia","Samoa","San Marino","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Slovakia","Slovenia","Solomon Islands","Somalia","South Africa","Spain","Sri Lanka","Sudan","Suriname","Swaziland","Sweden","Switzerland","Syrian Arab Republic","Taiwan, Province of China","Tajikistan","Thailand","Timor-Leste","Togo","Tonga","Tunisia","Turkey","Turkmenistan","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States Virgin Islands","United States of America","Uruguay","Uzbekistan","Vanuatu","Venezuela, Bolivarian Republic of","Viet Nam","Yemen","Zambia","Zimbabwe"
"1","Albania","VFN","1","1","4","1","2","4","4","4","1","2","1","1","4","4","1","2","3","3","3","1","2","1","3","4","2","4","4","3","1","2","4","1","1","4","4","4","3","4","4","1","1","4","2","2","1","2","3","1","1","1","2","3","2","1","4","3","3","4","3","3","1","2","4","3","1","3","4","1","2","2","2","2","2","2","4","2","1","4","3","2","3","4","4","1","1","2","4","4","4","3","4","3","4","2","1","1","3","2","1","4","2","3","1","1","1","4","2","2","2","1","4","3","2","1","2","3","4","4","1","3","2","1","3","1","2","1","1","1","4","2","1","4","3","1","4","1","1","2","2","4","1","3","1","4","2","4","4","2","4","3","1","3","2","3","4","2","4","3","2","2","3","4","1","1","3","2","2","2","2","4","4","1","1","4","1","1","1","3","3","4","3","3","1","2","3","4","1","1","1","4","2","2","2","4","3","1","2","3","3","4","4","4","4","1","2","3","2","1"
"2","Algeria","VFN","2","1","1","2","2","2","2","4","1","3","1","4","4","2","3","3","2","1","3","2","2","4","3","3","1","2","1","3","3","3","3","2","1","2","4","2","2","4","4","2","4","3","2","4","1","3","1","4","2","3","4","3","1","3","2","3","4","1","4","4","4","3","1","3","3","4","1","1","1","1","1","4","4","2","2","4","2","1","2","2","3","3","2","2","3","1","3","2","3","1","2","1","4","1","4","4","3","3","4","2","4","3","4","1","1","2","2","1","1","2","2","3","2","2","4","1","3","1","4","1","4","1","1","4","1","1","1","2","4","2","3","4","3","3","2","2","1","3","3","2","3","3","1","1","3","2","2","3","2","3","1","3","4","3","4","3","2","4","1","3","1","2","2","4","3","4","3","1","1","3","1","3","3","1","1","1","1","2","2","2","4","2","2","2","1","4","2","4","3","1","4","4","4","3","2","3","2","4","2","1","2","4","2","4","4","3","2","4"
"3","Andorra","TFR","2","4","2","1","1","4","3","4","3","1","4","2","1","4","4","4","4","4","3","4","4","3","3","4","1","4","2","2","3","3","4","4","3","3","3","3","2","3","1","3","4","4","1","3","1","4","1","1","4","1","4","1","1","4","1","4","1","1","4","4","3","4","2","1","3","2","2","2","3","3","3","1","2","4","3","1","4","1","1","4","1","1","4","2","2","2","2","3","3","3","2","2","4","4","3","2","3","3","1","3","4","1","1","4","4","2","4","4","3","3","1","4","4","3","4","3","1","4","2","4","4","4","1","4","4","1","1","1","2","1","1","2","1","3","3","3","1","3","4","3","2","2","1","1","4","3","1","3","2","1","1","2","4","4","1","4","3","3","4","1","4","2","1","1","1","4","3","4","2","2","2","3","1","3","3","4","3","4","3","3","2","3","4","3","3","4","1","1","1","2","4","2","4","4","3","1","1","3","2","3","1","4","4","3","4","3","1","1"
"4","Angola","TFR","3","1","2","3","1","1","4","2","4","1","3","2","4","2","3","2","4","1","4","3","4","2","3","2","1","1","2","2","1","3","4","4","1","1","1","2","4","3","1","4","4","4","4","3","4","3","4","4","1","1","3","2","2","2","1","4","4","4","4","1","1","3","2","4","3","3","3","2","2","4","4","1","3","4","1","3","3","3","4","2","4","1","3","3","2","2","1","1","3","1","4","1","1","2","3","2","3","1","1","4","2","3","3","4","3","1","2","3","2","1","1","4","1","3","3","2","1","1","1","2","4","2","3","4","2","2","3","1","1","2","1","4","1","3","3","2","4","4","4","3","1","2","1","4","4","3","1","2","1","2","3","2","3","1","3","3","4","4","3","4","4","1","4","3","2","2","4","1","3","3","2","3","3","1","4","3","3","4","2","3","1","2","4","1","2","3","1","1","1","4","2","2","3","2","2","4","3","2","1","3","2","3","3","2","2","2","2","1"
"5","Anguilla","VFR","2","4","4","2","4","2","4","3","3","4","3","4","3","1","4","1","2","3","2","3","1","2","3","3","2","4","4","4","1","3","1","2","3","4","4","1","2","4","4","2","1","4","1","4","3","1","3","2","3","4","2","3","2","1","3","4","1","4","2","4","3","3","4","1","2","2","2","4","4","2","1","1","3","3","4","3","3","4","3","3","2","3","3","1","1","1","4","1","1","2","1","1","3","4","1","1","3","4","1","3","3","1","1","3","1","1","3","3","2","1","1","4","3","4","1","2","4","3","1","3","3","2","4","1","3","3","1","3","4","1","2","2","4","2","1","1","1","4","4","2","2","1","2","1","3","3","3","1","2","1","4","4","3","1","2","4","4","2","4","4","2","3","3","2","1","4","4","4","3","2","1","4","1","4","4","1","1","1","3","2","4","1","1","1","4","4","1","4","4","2","1","3","1","3","4","4","3","2","4","3","2","3","2","3","4","1","4","1"
"6","Antigua and Barbuda","TFR","4","4","1","3","3","4","1","3","2","2","1","4","1","3","3","1","1","3","4","3","4","1","3","4","4","2","3","3","4","4","2","4","4","2","2","3","1","1","2","4","3","3","4","3","3","4","1","3","1","2","4","1","1","4","1","3","1","1","3","2","4","4","3","3","2","4","3","3","2","1","2","1","4","4","3","1","2","3","2","1","1","2","3","3","3","1","2","1","3","4","4","3","1","4","3","2","2","1","2","3","2","3","1","3","4","2","4","4","1","1","2","1","2","4","4","4","4","2","4","1","3","3","3","3","4","4","2","4","2","2","1","1","2","4","2","2","2","4","4","2","3","2","1","3","3","1","3","3","4","4","2","3","1","4","1","3","2","1","3","3","2","3","3","4","2","3","4","4","1","4","4","1","4","1","1","2","4","1","1","2","2","4","2","4","3","1","3","3","3","3","3","2","4","4","1","1","1","4","3","1","2","1","3","1","2","2","1","2"
"7","Argentina","TFR","1","4","2","3","4","3","1","3","2","2","3","1","4","3","3","2","2","1","4","4","1","3","2","4","4","1","4","2","1","3","4","1","3","4","3","4","1","3","3","2","2","1","3","4","2","2","4","2","2","3","1","1","1","1","2","2","2","4","2","4","4","2","1","3","3","4","2","1","2","3","3","3","2","3","3","1","2","2","3","2","2","2","3","4","4","1","2","4","4","2","3","2","4","1","4","2","3","4","4","1","3","1","4","1","1","3","1","4","3","4","1","1","2","3","2","2","3","1","3","1","3","4","4","3","3","1","4","4","4","4","1","1","4","1","3","3","2","2","3","1","1","3","1","2","2","1","1","2","3","4","2","2","3","2","2","1","2","2","2","2","2","2","3","1","2","2","2","2","3","3","3","2","1","2","3","2","3","1","2","1","4","3","4","2","1","1","4","1","1","2","2","4","2","3","3","1","1","3","1","3","1","1","4","1","3","1","4","2"
"8","Armenia","TFR","1","4","4","4","4","1","2","3","4","4","1","4","1","3","3","3","4","1","2","1","3","1","4","2","4","2","3","3","2","1","4","2","3","2","2","1","2","2","1","1","2","1","1","3","3","2","4","1","3","3","3","2","3","2","4","2","2","4","1","4","1","2","2","1","4","2","2","3","1","3","3","3","4","4","2","2","2","4","2","1","4","3","2","2","3","2","1","4","3","1","3","4","4","4","4","1","3","4","3","3","3","3","3","3","2","4","4","4","4","3","1","1","3","3","1","3","3","2","2","3","4","4","1","3","2","3","1","3","1","1","2","3","1","3","3","3","1","2","1","1","2","2","2","4","3","1","1","1","4","4","1","1","4","2","1","2","3","2","4","2","4","3","4","3","4","2","4","3","3","1","1","1","4","3","3","2","1","4","2","4","3","3","1","3","2","2","1","4","3","4","2","4","4","4","1","3","4","3","1","3","4","2","3","2","1","1","2","4"
"9","Aruba","THSR","2","4","4","2","1","1","1","3","3","4","3","2","4","1","3","3","4","3","3","3","1","2","4","2","3","3","2","4","3","4","3","1","3","1","3","3","2","1","3","4","2","4","4","2","1","2","2","1","4","4","4","2","3","3","3","4","2","4","1","2","1","4","2","3","4","3","4","2","1","1","3","4","4","3","1","1","3","1","1","2","2","1","4","3","4","2","4","1","4","1","2","3","3","4","3","3","3","3","2","3","3","4","3","1","3","4","2","2","2","2","4","3","2","4","2","1","1","4","1","4","1","2","4","4","3","1","2","2","1","2","2","1","4","2","2","1","4","4","2","4","4","3","4","3","4","3","4","4","4","1","1","1","4","4","3","2","2","2","4","4","2","3","4","2","1","3","4","1","4","1","3","1","2","2","3","3","4","3","2","4","1","1","3","3","2","4","4","4","4","2","4","4","4","1","2","2","4","1","2","3","4","4","3","4","3","2","1","4"
"10","Australia","VFR","1","1","1","1","3","1","4","3","3","3","2","3","1","1","4","2","3","3","1","1","4","3","2","2","2","1","1","4","2","1","2","4","2","4","4","1","2","4","4","4","4","1","3","1","1","2","4","2","2","3","1","4","3","4","1","4","3","3","2","4","3","1","2","2","1","4","2","1","2","1","4","2","2","3","4","3","4","3","3","3","1","1","2","3","2","2","3","1","2","4","3","2","2","1","1","3","1","1","4","4","3","1","1","3","3","4","1","2","3","4","2","4","1","3","2","3","1","1","4","3","3","3","4","1","3","1","1","1","1","1","1","4","4","3","4","2","1","4","4","4","1","3","2","4","1","4","4","2","1","3","4","4","3","2","4","4","4","3","1","2","4","3","4","4","2","1","3","4","1","4","4","3","3","4","2","4","1","1","1","3","2","2","4","1","4","3","4","2","1","1","4","2","1","3","3","2","1","1","3","3","2","4","4","3","3","4","4","4"
"11","Austria","THSR","1","2","4","2","4","3","4","2","1","1","4","1","2","2","4","4","3","2","4","4","4","1","3","2","3","2","2","2","3","4","1","1","1","3","2","2","3","1","3","2","2","2","1","3","2","2","3","4","1","2","2","3","3","3","1","3","4","3","2","4","3","3","1","1","3","2","1","1","4","3","1","3","1","2","2","3","3","4","3","2","1","1","2","4","3","3","4","3","4","3","2","4","1","2","4","2","3","1","3","3","2","2","1","3","1","4","2","1","1","3","2","1","2","3","1","3","2","4","3","2","1","1","4","2","2","4","4","2","1","2","4","2","1","3","3","2","1","4","1","1","3","4","3","3","3","2","2","1","3","2","1","1","4","2","2","1","4","1","3","3","1","2","4","1","4","4","3","3","2","4","3","3","2","3","2","4","4","3","1","1","3","4","3","3","3","2","3","2","2","2","3","3","4","3","2","3","4","4","1","2","2","4","2","1","4","1","3","1"
"12","Azerbaijan","VFR","3","1","2","1","3","4","3","2","1","4","2","4","4","1","4","2","2","4","4","1","2","4","2","3","3","3","1","1","2","3","1","4","4","3","2","1","1","1","1","4","4","2","2","3","1","1","1","3","4","1","2","3","4","2","4","1","2","2","1","4","1","4","3","2","1","4","2","1","3","2","1","3","4","1","4","3","1","3","2","2","1","2","3","1","2","2","3","4","3","2","4","1","2","4","2","1","1","4","2","1","1","4","4","2","2","1","1","2","4","3","4","1","4","3","3","4","2","4","2","3","1","2","1","2","2","3","2","1","4","1","2","2","4","4","3","4","1","4","4","2","1","1","3","2","4","3","1","4","3","1","1","3","1","3","3","1","2","4","1","2","2","4","1","4","3","3","2","3","2","1","2","4","1","2","2","3","2","3","1","2","3","1","2","3","2","1","2","1","4","3","3","4","2","2","4","3","1","1","1","1","4","3","3","2","3","4","3","1"
"13","Bahamas","TFR","4","3","2","4","1","4","1","4","3","4","2","1","3","4","4","1","3","4","4","3","4","2","3","2","2","2","1","3","2","3","4","1","1","3","2","1","2","4","3","3","1","3","4","1","3","2","2","3","4","4","3","1","2","2","3","4","2","2","3","1","1","2","4","1","3","1","4","3","2","2","3","2","1","3","4","1","4","2","3","4","3","1","4","3","2","4","3","4","3","3","1","3","2","1","2","2","3","1","3","3","3","4","1","4","3","3","2","2","3","2","4","3","2","2","4","3","1","4","3","2","1","2","2","2","3","2","3","4","3","2","2","2","1","2","3","3","2","4","4","2","2","4","4","4","1","1","2","4","3","3","2","4","2","3","1","4","2","2","1","1","4","1","1","4","1","4","4","1","1","1","3","3","4","1","2","4","4","2","4","4","1","2","3","2","1","2","4","1","2","3","4","2","1","1","3","4","3","2","1","4","2","1","1","2","4","1","1","3"
"14","Bahrain","VFR","1","3","2","4","2","3","2","4","3","4","3","3","4","4","3","2","3","1","1","3","1","3","3","3","1","3","3","2","4","2","4","3","2","1","4","4","1","1","3","2","4","2","3","2","1","4","2","4","1","2","4","4","2","1","2","4","2","2","4","3","4","1","3","3","4","3","1","4","3","3","1","3","3","3","1","1","1","1","1","3","4","2","4","1","4","3","1","4","4","4","3","3","4","2","3","3","4","2","2","2","3","3","4","2","2","3","4","1","1","3","3","4","3","1","1","4","3","4","2","1","1","4","3","3","3","1","3","3","3","2","4","3","1","4","2","1","1","4","1","3","1","2","1","4","3","2","4","3","4","3","2","1","1","3","2","4","4","1","3","2","2","4","4","3","3","4","2","4","1","4","1","2","3","3","2","2","4","1","3","4","1","3","4","4","1","2","1","1","1","2","2","2","2","3","2","3","3","2","3","2","4","4","3","1","4","1","3","1"
"15","Bangladesh","TFN","4","3","2","4","4","3","2","4","2","1","3","3","4","3","3","2","2","4","3","3","3","3","3","4","3","2","2","4","3","1","1","1","1","3","4","1","3","2","2","3","1","2","2","4","3","3","3","1","4","4","4","4","1","3","2","4","3","2","1","4","4","3","2","1","3","4","1","4","1","2","3","2","2","3","3","3","2","4","1","4","2","3","2","2","1","2","4","2","1","4","1","3","2","3","3","4","2","2","4","1","3","3","4","3","4","3","2","4","4","2","2","3","1","3","1","3","4","3","4","2","4","2","2","2","2","3","1","4","1","2","1","1","3","2","3","1","1","4","3","2","1","1","3","1","3","2","3","1","3","4","4","1","4","4","2","3","4","4","1","3","2","4","1","1","4","3","4","3","1","3","3","1","2","1","4","4","2","2","2","4","1","1","4","4","2","4","3","3","1","1","4","4","4","3","1","4","2","4","1","3","2","3","4","2","3","1","3","3"
"16","Barbados","TFR","1","1","4","4","4","1","1","3","1","2","1","3","1","4","3","2","4","1","4","4","4","2","1","3","2","3","3","2","3","2","3","1","3","3","3","3","1","2","3","1","1","3","2","4","3","4","3","2","3","2","1","1","2","3","1","4","4","2","2","4","4","1","3","4","2","4","2","4","4","4","3","4","2","2","1","4","4","3","1","4","4","2","1","3","2","1","3","2","1","4","2","4","1","4","3","4","3","2","2","3","4","1","1","2","1","2","2","2","4","4","1","4","1","4","1","1","2","3","4","3","1","4","4","2","1","3","2","1","4","2","1","1","2","3","2","1","3","3","1","3","2","4","3","1","4","4","3","1","2","2","4","2","2","1","3","3","1","4","3","2","3","3","4","2","1","4","1","1","4","2","3","3","4","2","4","2","3","3","1","4","4","2","2","1","2","2","1","4","3","3","4","4","1","2","4","2","4","1","4","2","4","1","3","3","2","2","1","4"
"17","Belarus","VFN","1","2","3","4","4","1","4","4","3","3","4","1","2","1","1","4","2","3","1","3","3","3","4","2","1","1","2","1","4","1","1","1","3","4","1","2","2","1","3","1","3","3","3","1","4","1","2","4","3","4","1","2","1","4","1","2","2","1","3","4","2","4","3","4","1","3","3","4","4","1","4","1","4","1","4","2","4","4","1","3","1","2","2","4","1","4","2","4","2","2","2","2","2","4","2","3","3","2","4","2","2","1","3","2","2","2","4","3","1","1","4","1","4","2","3","4","4","2","3","3","3","1","2","2","1","3","2","3","2","4","2","4","2","1","2","4","1","2","2","4","3","2","4","3","3","4","3","2","4","2","2","2","3","4","1","4","4","3","1","2","2","2","1","4","3","4","2","4","4","2","4","2","3","3","3","2","1","4","3","4","4","1","2","3","3","4","3","3","2","3","2","2","3","2","2","3","4","4","1","3","3","3","2","4","3","4","3","2"
"18","Belgium","THSR","4","2","4","4","4","1","2","2","4","2","2","3","1","4","4","2","2","1","4","4","4","3","1","3","1","1","2","4","2","4","2","4","3","3","1","4","3","3","4","4","3","4","2","1","3","4","1","3","3","1","3","4","4","2","2","1","1","2","1","4","1","3","3","4","4","4","3","4","2","3","4","1","4","2","2","1","1","4","4","2","1","3","1","4","2","1","1","4","1","1","4","1","2","2","4","3","1","3","3","3","4","2","2","2","4","3","1","2","1","4","3","3","3","4","4","4","1","2","3","4","3","4","2","1","3","1","2","2","4","3","1","2","2","4","4","2","4","1","4","4","3","1","3","2","2","2","3","4","2","2","3","1","3","1","1","4","1","4","1","3","1","4","4","4","1","3","3","4","3","1","2","1","2","4","4","2","2","3","1","2","4","1","4","1","2","3","1","3","4","1","1","1","3","2","4","4","4","2","3","3","3","2","2","4","1","4","2","1"
"19","Belize","VFN","2","3","1","2","1","2","4","1","2","4","1","2","4","4","3","2","2","2","3","4","4","2","3","2","2","2","1","2","3","2","1","2","1","3","2","3","1","1","2","1","2","2","2","4","1","4","1","3","3","4","1","4","3","4","1","4","3","2","2","2","4","4","4","4","3","4","3","4","3","4","3","4","2","3","3","3","1","4","1","1","1","2","1","1","4","3","2","2","2","3","4","1","2","1","1","2","4","3","4","4","3","4","1","1","3","3","2","1","1","2","1","2","2","3","2","2","1","3","4","3","2","4","2","2","3","1","4","3","2","4","1","3","1","3","4","2","4","2","1","1","4","1","3","4","4","3","4","3","1","3","2","1","3","4","4","1","3","4","3","2","2","1","2","1","3","1","3","4","4","4","3","4","4","3","4","1","4","1","4","1","4","3","2","2","2","4","3","1","3","2","3","3","1","2","3","3","2","1","2","3","2","3","2","2","4","3","1","1"
"20","Benin","TFR","4","2","4","4","3","4","4","3","2","3","3","1","3","4","1","1","3","3","3","4","3","2","1","3","3","1","1","1","3","4","1","3","1","4","3","2","2","3","3","2","3","2","4","4","3","3","4","3","4","1","3","1","2","3","1","3","2","3","2","4","1","1","3","3","1","4","3","1","4","2","4","2","2","1","2","1","4","2","2","4","2","4","3","3","2","2","1","1","4","3","4","4","4","4","3","2","2","2","4","4","1","2","3","3","1","3","2","4","1","3","4","3","2","3","1","3","3","3","2","4","3","1","2","2","2","3","3","1","3","3","2","2","3","4","4","1","2","3","2","1","2","4","1","2","4","4","1","2","3","2","3","4","4","4","4","3","4","3","2","1","3","3","3","1","3","3","1","4","4","2","4","2","4","4","2","1","4","1","2","1","3","1","1","2","2","1","4","4","1","1","2","3","4","2","1","1","4","2","4","2","1","3","3","4","2","4","2","1"
"21","Bermuda","TFR","3","2","3","4","4","2","1","4","3","4","3","3","3","1","4","4","4","2","2","4","2","2","3","4","3","4","3","2","1","2","3","2","2","1","2","1","2","4","3","2","3","4","3","1","1","2","3","2","1","1","3","2","3","4","1","2","4","1","4","1","2","4","2","4","4","3","4","3","4","2","3","1","4","4","3","4","3","1","4","1","2","2","1","3","4","4","1","3","1","1","1","3","4","2","4","2","3","4","1","4","3","1","4","2","4","1","2","3","1","4","3","1","2","3","1","3","1","1","1","1","2","4","1","1","4","4","1","2","2","1","4","1","3","4","4","2","1","1","4","1","4","4","1","3","4","4","3","2","4","3","4","3","4","1","2","3","3","1","4","2","3","2","3","3","2","3","2","1","1","4","4","4","2","4","2","1","1","2","2","2","3","4","3","3","2","1","3","1","1","2","1","4","4","4","4","2","4","2","3","1","2","4","1","2","2","1","1","2"
"22","Bhutan","TFN","2","1","2","4","2","4","2","2","2","2","2","2","1","2","3","2","4","3","4","4","4","3","3","3","3","2","1","3","3","3","3","2","4","2","3","1","3","4","2","4","4","1","4","1","3","4","2","4","4","3","1","2","4","4","2","4","3","1","4","4","2","2","2","4","3","2","3","3","4","2","2","4","4","3","3","1","3","1","3","3","2","4","4","1","4","1","3","2","2","2","3","1","3","3","1","1","2","4","1","4","3","1","3","2","2","1","4","2","2","1","2","3","2","4","3","2","2","1","2","3","2","4","3","2","2","3","3","3","3","2","3","3","1","2","3","1","2","1","4","2","4","1","3","4","4","4","1","3","1","4","4","3","1","2","3","3","3","2","2","3","4","1","4","3","3","4","4","4","1","1","2","3","4","1","2","2","1","4","3","3","4","1","2","2","3","4","2","1","4","4","1","3","2","1","4","4","2","4","1","1","2","4","2","3","2","4","3","3"
"23","Bolivia, Plurinational State of","THSN","3","4","2","2","4","4","4","4","3","1","2","2","2","4","4","2","3","4","4","3","4","2","1","1","2","3","3","2","4","2","2","2","2","2","2","1","1","3","1","1","1","2","1","1","1","4","1","1","2","4","3","4","2","1","3","4","2","3","3","3","2","3","3","4","2","1","3","1","2","2","1","2","3","4","2","3","3","1","2","3","3","4","3","1","4","2","2","4","1","2","2","2","1","1","4","2","2","2","4","2","1","3","1","3","1","3","2","3","3","1","1","4","4","2","3","2","1","4","1","4","4","4","1","3","4","2","3","1","4","4","1","2","4","4","4","2","2","2","1","1","4","4","2","4","4","1","4","2","3","2","4","1","1","2","1","1","2","1","4","1","1","3","2","4","4","2","4","2","1","4","2","2","4","1","1","1","4","1","1","4","1","2","4","2","2","3","1","3","4","3","1","1","4","2","2","2","3","4","2","3","4","1","4","4","4","3","1","4"
"24","Bosnia and Herzegovina","TCER","1","2","1","3","2","3","1","4","2","1","2","2","3","4","3","1","2","3","4","4","1","2","4","2","2","1","3","2","3","3","2","3","1","2","3","3","3","1","1","2","4","3","4","1","1","3","4","4","3","4","2","3","4","4","4","1","1","3","1","4","1","2","3","3","1","3","4","4","3","3","4","2","4","4","4","1","1","3","3","3","4","3","4","4","2","2","4","4","3","3","2","3","4","3","4","2","3","2","3","4","4","3","4","1","1","1","3","1","1","2","4","1","2","2","4","1","2","2","3","4","3","3","1","3","2","3","1","4","4","1","2","2","2","2","3","1","2","1","3","1","1","4","4","1","3","4","3","4","1","4","4","3","4","1","1","3","3","1","1","2","3","2","4","2","2","4","3","4","4","1","2","4","2","1","3","3","4","4","3","1","3","1","4","4","2","4","1","2","4","2","2","3","2","4","4","4","2","4","4","3","1","3","4","2","3","3","1","1"
"25","Brazil","TFR","2","3","1","2","4","1","4","1","4","3","4","2","3","3","2","1","2","1","4","2","2","1","4","4","4","3","3","2","1","2","2","1","2","2","3","2","3","1","4","4","3","1","2","4","4","1","1","2","2","1","1","3","3","3","2","3","1","4","1","2","4","1","3","3","4","4","1","3","4","1","1","4","2","2","4","4","1","1","2","3","2","4","3","4","3","2","3","4","2","1","2","4","2","4","4","4","3","4","4","4","4","4","1","4","3","3","3","3","2","3","2","1","4","2","4","4","4","4","1","1","1","4","2","3","1","2","4","2","2","4","1","3","1","2","4","2","4","1","3","1","3","4","2","1","1","1","4","3","2","1","4","2","3","2","1","4","2","1","4","2","2","4","4","4","4","4","2","4","1","2","3","1","1","2","1","2","2","3","1","2","4","2","4","1","1","4","2","3","2","2","1","4","4","2","3","4","2","2","4","2","1","3","3","2","4","4","4","1"
"26","Brunei Darussalam","TFN","2","2","4","2","4","4","3","2","4","2","4","2","2","2","3","4","2","3","1","3","1","1","2","3","4","3","2","4","4","4","3","1","2","1","2","4","1","3","3","3","1","2","4","3","3","3","2","3","1","3","4","1","3","2","1","2","1","3","3","2","2","4","2","4","3","1","1","4","1","2","1","2","2","4","4","2","2","1","4","3","2","2","1","1","1","2","4","2","3","2","2","4","4","3","2","2","1","2","4","3","1","3","3","3","4","4","4","1","3","4","2","3","2","1","4","1","2","2","2","1","2","4","3","3","4","4","4","4","1","3","2","1","1","4","1","4","2","2","4","2","4","3","4","4","1","4","4","2","1","4","1","2","1","1","3","2","3","1","3","4","3","3","3","2","2","1","1","3","2","1","2","4","1","3","3","2","3","4","4","2","1","1","2","2","3","1","1","3","1","4","1","2","1","2","3","4","2","3","1","4","3","4","2","2","4","4","1","1"
"27","Bulgaria","VFR","1","1","3","1","1","3","3","3","1","1","1","4","1","2","4","1","1","4","1","1","4","1","1","2","4","3","4","4","4","1","4","2","2","2","3","4","1","4","3","2","4","2","2","2","3","4","4","2","2","3","1","3","3","2","1","3","3","3","1","3","4","1","1","1","3","2","3","3","1","4","1","1","3","2","3","1","3","1","1","4","2","4","1","2","2","3","2","2","2","2","4","2","2","2","1","4","2","1","1","1","1","2","1","4","4","2","4","2","1","4","1","2","2","4","3","4","3","2","3","1","3","1","2","3","1","1","3","2","3","1","3","2","4","4","1","1","4","4","2","3","2","1","4","1","3","2","2","4","2","3","3","3","2","1","1","3","2","4","4","3","2","4","2","4","2","1","3","2","1","3","2","3","2","1","2","4","3","2","4","1","4","3","2","4","3","3","3","3","2","2","3","3","2","4","4","3","3","1","4","1","3","2","2","1","4","1","2","1"
"28","Burkina Faso","THSR","3","3","4","2","1","4","1","4","1","2","4","4","2","1","3","2","4","2","4","2","1","2","3","4","2","1","3","4","4","3","1","3","3","4","4","2","4","1","3","4","2","1","2","3","1","2","2","3","1","3","1","2","2","1","2","4","1","4","2","3","4","3","2","1","2","1","1","4","1","1","1","4","2","4","1","3","2","4","1","4","4","4","2","1","1","3","2","1","1","4","2","1","2","3","4","3","2","2","1","2","3","2","1","2","3","2","4","2","4","3","3","3","2","1","4","2","4","3","2","2","4","3","1","3","2","3","2","2","1","2","3","1","1","2","4","3","3","1","3","1","2","4","4","4","2","1","4","2","2","3","2","3","1","1","4","2","2","2","2","1","1","1","4","1","2","3","3","1","1","2","3","3","1","3","3","4","1","3","4","3","4","1","2","1","2","1","2","4","1","1","2","2","1","2","1","4","3","4","1","4","4","2","4","3","1","2","3","1"
