country,iso3,who_region,who_region_long,reference_date,date_type,cases
Austria,AUT,EURO,European Region,2022-05-14,Onset,1
Austria,AUT,EURO,European Region,2022-05-16,Onset,1
Austria,AUT,EURO,European Region,2022-05-20,Onset,1
Austria,AUT,EURO,European Region,2022-05-29,Onset,1
Austria,AUT,EURO,European Region,2022-06-04,Onset,1
Austria,AUT,EURO,European Region,2022-06-09,Onset,2
Austria,AUT,EURO,European Region,2022-06-10,Onset,4
Austria,AUT,EURO,European Region,2022-06-11,Onset,2
Austria,AUT,EURO,European Region,2022-06-13,Onset,2
Austria,AUT,EURO,European Region,2022-06-14,Onset,4
Austria,AUT,EURO,European Region,2022-06-16,Onset,2
Austria,AUT,EURO,European Region,2022-06-17,Onset,1
Austria,AUT,EURO,European Region,2022-06-18,Onset,1
Austria,AUT,EURO,European Region,2022-06-19,Onset,1
Austria,AUT,EURO,European Region,2022-06-20,Onset,4
Austria,AUT,EURO,European Region,2022-06-21,Onset,2
Austria,AUT,EURO,European Region,2022-06-22,Onset,7
Austria,AUT,EURO,European Region,2022-06-23,Onset,3
Austria,AUT,EURO,European Region,2022-06-24,Onset,1
Austria,AUT,EURO,European Region,2022-06-25,Onset,2
Austria,AUT,EURO,European Region,2022-06-26,Onset,1
Austria,AUT,EURO,European Region,2022-06-27,Onset,4
Austria,AUT,EURO,European Region,2022-06-28,Onset,2
Austria,AUT,EURO,European Region,2022-06-29,Onset,1
Austria,AUT,EURO,European Region,2022-06-30,Diagnosis,1
Austria,AUT,EURO,European Region,2022-06-30,Onset,2
Austria,AUT,EURO,European Region,2022-07-01,Onset,5
Austria,AUT,EURO,European Region,2022-07-02,Onset,2
Austria,AUT,EURO,European Region,2022-07-04,Reported,1
Austria,AUT,EURO,European Region,2022-07-04,Onset,6
Austria,AUT,EURO,European Region,2022-07-05,Diagnosis,1
Austria,AUT,EURO,European Region,2022-07-05,Onset,3
Austria,AUT,EURO,European Region,2022-07-06,Diagnosis,1
Austria,AUT,EURO,European Region,2022-07-06,Onset,6
Austria,AUT,EURO,European Region,2022-07-07,Onset,1
Austria,AUT,EURO,European Region,2022-07-08,Reported,1
Austria,AUT,EURO,European Region,2022-07-08,Onset,2
Austria,AUT,EURO,European Region,2022-07-11,Onset,2
Austria,AUT,EURO,European Region,2022-07-12,Onset,2
Austria,AUT,EURO,European Region,2022-07-13,Diagnosis,1
Austria,AUT,EURO,European Region,2022-07-13,Reported,1
Austria,AUT,EURO,European Region,2022-07-13,Onset,3
Austria,AUT,EURO,European Region,2022-07-14,Onset,4
Austria,AUT,EURO,European Region,2022-07-15,Onset,4
Austria,AUT,EURO,European Region,2022-07-16,Reported,1
Austria,AUT,EURO,European Region,2022-07-16,Onset,2
Austria,AUT,EURO,European Region,2022-07-17,Onset,1
Austria,AUT,EURO,European Region,2022-07-18,Diagnosis,2
Austria,AUT,EURO,European Region,2022-07-18,Reported,1
Austria,AUT,EURO,European Region,2022-07-18,Onset,3
Austria,AUT,EURO,European Region,2022-07-19,Onset,3
Austria,AUT,EURO,European Region,2022-07-20,Onset,3
Austria,AUT,EURO,European Region,2022-07-21,Reported,1
Austria,AUT,EURO,European Region,2022-07-21,Onset,8
Austria,AUT,EURO,European Region,2022-07-22,Onset,3
Austria,AUT,EURO,European Region,2022-07-23,Onset,4
Austria,AUT,EURO,European Region,2022-07-24,Onset,2
Austria,AUT,EURO,European Region,2022-07-25,Onset,3
Austria,AUT,EURO,European Region,2022-07-26,Reported,1
Austria,AUT,EURO,European Region,2022-07-26,Onset,2
Austria,AUT,EURO,European Region,2022-07-27,Onset,4
Austria,AUT,EURO,European Region,2022-07-28,Reported,1
Austria,AUT,EURO,European Region,2022-07-28,Onset,2
Austria,AUT,EURO,European Region,2022-07-29,Reported,1
Austria,AUT,EURO,European Region,2022-07-29,Onset,4
Austria,AUT,EURO,European Region,2022-07-30,Onset,1
Austria,AUT,EURO,European Region,2022-07-31,Onset,4
Austria,AUT,EURO,European Region,2022-08-01,Reported,1
Austria,AUT,EURO,European Region,2022-08-01,Onset,4
Austria,AUT,EURO,European Region,2022-08-02,Reported,1
Austria,AUT,EURO,European Region,2022-08-02,Onset,6
Austria,AUT,EURO,European Region,2022-08-03,Reported,2
Austria,AUT,EURO,European Region,2022-08-03,Onset,5
Austria,AUT,EURO,European Region,2022-08-04,Reported,6
Austria,AUT,EURO,European Region,2022-08-04,Onset,5
Austria,AUT,EURO,European Region,2022-08-05,Reported,1
Austria,AUT,EURO,European Region,2022-08-05,Onset,3
Austria,AUT,EURO,European Region,2022-08-06,Onset,2
Austria,AUT,EURO,European Region,2022-08-07,Onset,4
Austria,AUT,EURO,European Region,2022-08-08,Onset,2
Austria,AUT,EURO,European Region,2022-08-09,Reported,5
Austria,AUT,EURO,European Region,2022-08-09,Onset,5
Austria,AUT,EURO,European Region,2022-08-10,Reported,4
Austria,AUT,EURO,European Region,2022-08-10,Onset,1
Austria,AUT,EURO,European Region,2022-08-11,Reported,5
Austria,AUT,EURO,European Region,2022-08-11,Onset,1
Austria,AUT,EURO,European Region,2022-08-12,Reported,1
Austria,AUT,EURO,European Region,2022-08-12,Onset,2
Austria,AUT,EURO,European Region,2022-08-13,Onset,3
Austria,AUT,EURO,European Region,2022-08-14,Onset,3
Austria,AUT,EURO,European Region,2022-08-15,Onset,6
Austria,AUT,EURO,European Region,2022-08-16,Reported,1
Austria,AUT,EURO,European Region,2022-08-16,Onset,4
Austria,AUT,EURO,European Region,2022-08-17,Reported,2
Austria,AUT,EURO,European Region,2022-08-17,Onset,4
Austria,AUT,EURO,European Region,2022-08-18,Onset,4
Austria,AUT,EURO,European Region,2022-08-19,Reported,1
Austria,AUT,EURO,European Region,2022-08-19,Onset,2
Austria,AUT,EURO,European Region,2022-08-20,Onset,1
Austria,AUT,EURO,European Region,2022-08-21,Onset,4
Austria,AUT,EURO,European Region,2022-08-22,Onset,2
Austria,AUT,EURO,European Region,2022-08-23,Onset,1
Austria,AUT,EURO,European Region,2022-08-24,Reported,1
Austria,AUT,EURO,European Region,2022-08-24,Onset,3
Austria,AUT,EURO,European Region,2022-08-25,Reported,6
Austria,AUT,EURO,European Region,2022-08-26,Reported,1
Austria,AUT,EURO,European Region,2022-08-29,Reported,1
Austria,AUT,EURO,European Region,2022-08-29,Onset,3
Austria,AUT,EURO,European Region,2022-08-30,Reported,1
Austria,AUT,EURO,European Region,2022-08-30,Onset,2
Austria,AUT,EURO,European Region,2022-08-31,Reported,1
Austria,AUT,EURO,European Region,2022-08-31,Onset,2
Austria,AUT,EURO,European Region,2022-09-01,Reported,2
Austria,AUT,EURO,European Region,2022-09-02,Reported,1
Austria,AUT,EURO,European Region,2022-09-03,Onset,2
Austria,AUT,EURO,European Region,2022-09-06,Reported,1
Austria,AUT,EURO,European Region,2022-09-06,Onset,2
Austria,AUT,EURO,European Region,2022-09-07,Onset,1
Austria,AUT,EURO,European Region,2022-09-09,Reported,1
Austria,AUT,EURO,European Region,2022-09-10,Onset,2
Austria,AUT,EURO,European Region,2022-09-11,Onset,3
Austria,AUT,EURO,European Region,2022-09-12,Onset,3
Austria,AUT,EURO,European Region,2022-09-13,Reported,2
Austria,AUT,EURO,European Region,2022-09-13,Onset,1
Austria,AUT,EURO,European Region,2022-09-14,Reported,1
Austria,AUT,EURO,European Region,2022-09-19,Onset,2
Austria,AUT,EURO,European Region,2022-09-20,Reported,1
Austria,AUT,EURO,European Region,2022-09-21,Reported,2
Austria,AUT,EURO,European Region,2022-09-21,Onset,1
Austria,AUT,EURO,European Region,2022-09-23,Reported,1
Austria,AUT,EURO,European Region,2022-09-25,Onset,1
Austria,AUT,EURO,European Region,2022-09-26,Onset,1
Austria,AUT,EURO,European Region,2022-09-27,Onset,1
Austria,AUT,EURO,European Region,2022-09-28,Reported,1
Austria,AUT,EURO,European Region,2022-09-29,Reported,1
Austria,AUT,EURO,European Region,2022-09-29,Onset,1
Austria,AUT,EURO,European Region,2022-10-01,Onset,1
Austria,AUT,EURO,European Region,2022-10-06,Reported,1
Austria,AUT,EURO,European Region,2022-10-11,Reported,1
Austria,AUT,EURO,European Region,2022-10-13,Onset,1
Austria,AUT,EURO,European Region,2022-10-14,Reported,1
Austria,AUT,EURO,European Region,2022-10-18,Reported,1
