country,iso3,who_region,who_region_long,reference_date,date_type,cases
Belgium,BEL,EURO,European Region,2022-05-10,Onset,1
Belgium,BEL,EURO,European Region,2022-05-11,Onset,1
Belgium,BEL,EURO,European Region,2022-05-15,Onset,1
Belgium,BEL,EURO,European Region,2022-05-16,Onset,1
Belgium,BEL,EURO,European Region,2022-05-17,Onset,1
Belgium,BEL,EURO,European Region,2022-05-18,Onset,3
Belgium,BEL,EURO,European Region,2022-05-19,Onset,1
Belgium,BEL,EURO,European Region,2022-05-20,Onset,2
Belgium,BEL,EURO,European Region,2022-05-21,Onset,2
Belgium,BEL,EURO,European Region,2022-05-22,Onset,1
Belgium,BEL,EURO,European Region,2022-05-23,Onset,1
Belgium,BEL,EURO,European Region,2022-05-24,Onset,5
Belgium,BEL,EURO,European Region,2022-05-25,Onset,2
Belgium,BEL,EURO,European Region,2022-05-26,Onset,1
Belgium,BEL,EURO,European Region,2022-05-27,Diagnosis,1
Belgium,BEL,EURO,European Region,2022-05-27,Onset,1
Belgium,BEL,EURO,European Region,2022-05-29,Onset,3
Belgium,BEL,EURO,European Region,2022-05-30,Diagnosis,2
Belgium,BEL,EURO,European Region,2022-05-30,Onset,6
Belgium,BEL,EURO,European Region,2022-05-31,Onset,3
Belgium,BEL,EURO,European Region,2022-06-01,Onset,2
Belgium,BEL,EURO,European Region,2022-06-02,Onset,2
Belgium,BEL,EURO,European Region,2022-06-03,Onset,1
Belgium,BEL,EURO,European Region,2022-06-04,Onset,4
Belgium,BEL,EURO,European Region,2022-06-05,Onset,3
Belgium,BEL,EURO,European Region,2022-06-06,Onset,1
Belgium,BEL,EURO,European Region,2022-06-07,Onset,6
Belgium,BEL,EURO,European Region,2022-06-08,Onset,6
Belgium,BEL,EURO,European Region,2022-06-09,Onset,5
Belgium,BEL,EURO,European Region,2022-06-10,Onset,6
Belgium,BEL,EURO,European Region,2022-06-11,Onset,7
Belgium,BEL,EURO,European Region,2022-06-12,Onset,3
Belgium,BEL,EURO,European Region,2022-06-13,Reported,1
Belgium,BEL,EURO,European Region,2022-06-13,Onset,11
Belgium,BEL,EURO,European Region,2022-06-14,Onset,5
Belgium,BEL,EURO,European Region,2022-06-15,Diagnosis,3
Belgium,BEL,EURO,European Region,2022-06-15,Onset,11
Belgium,BEL,EURO,European Region,2022-06-16,Onset,6
Belgium,BEL,EURO,European Region,2022-06-17,Onset,4
Belgium,BEL,EURO,European Region,2022-06-18,Onset,10
Belgium,BEL,EURO,European Region,2022-06-19,Onset,9
Belgium,BEL,EURO,European Region,2022-06-20,Onset,6
Belgium,BEL,EURO,European Region,2022-06-21,Onset,10
Belgium,BEL,EURO,European Region,2022-06-22,Onset,9
Belgium,BEL,EURO,European Region,2022-06-23,Onset,7
Belgium,BEL,EURO,European Region,2022-06-24,Onset,4
Belgium,BEL,EURO,European Region,2022-06-25,Onset,8
Belgium,BEL,EURO,European Region,2022-06-26,Onset,5
Belgium,BEL,EURO,European Region,2022-06-27,Onset,13
Belgium,BEL,EURO,European Region,2022-06-28,Diagnosis,1
Belgium,BEL,EURO,European Region,2022-06-28,Onset,8
Belgium,BEL,EURO,European Region,2022-06-29,Onset,9
Belgium,BEL,EURO,European Region,2022-06-30,Diagnosis,1
Belgium,BEL,EURO,European Region,2022-06-30,Onset,5
Belgium,BEL,EURO,European Region,2022-07-01,Onset,11
Belgium,BEL,EURO,European Region,2022-07-02,Onset,8
Belgium,BEL,EURO,European Region,2022-07-03,Onset,10
Belgium,BEL,EURO,European Region,2022-07-04,Diagnosis,2
Belgium,BEL,EURO,European Region,2022-07-04,Onset,15
Belgium,BEL,EURO,European Region,2022-07-05,Onset,12
Belgium,BEL,EURO,European Region,2022-07-06,Diagnosis,3
Belgium,BEL,EURO,European Region,2022-07-06,Onset,12
Belgium,BEL,EURO,European Region,2022-07-07,Onset,11
Belgium,BEL,EURO,European Region,2022-07-08,Diagnosis,3
Belgium,BEL,EURO,European Region,2022-07-08,Onset,13
Belgium,BEL,EURO,European Region,2022-07-09,Onset,8
Belgium,BEL,EURO,European Region,2022-07-10,Onset,8
Belgium,BEL,EURO,European Region,2022-07-11,Onset,15
Belgium,BEL,EURO,European Region,2022-07-12,Diagnosis,1
Belgium,BEL,EURO,European Region,2022-07-12,Onset,10
Belgium,BEL,EURO,European Region,2022-07-13,Diagnosis,1
Belgium,BEL,EURO,European Region,2022-07-13,Onset,13
Belgium,BEL,EURO,European Region,2022-07-14,Diagnosis,3
Belgium,BEL,EURO,European Region,2022-07-14,Onset,9
Belgium,BEL,EURO,European Region,2022-07-15,Diagnosis,1
Belgium,BEL,EURO,European Region,2022-07-15,Onset,13
Belgium,BEL,EURO,European Region,2022-07-16,Onset,7
Belgium,BEL,EURO,European Region,2022-07-17,Onset,10
Belgium,BEL,EURO,European Region,2022-07-18,Diagnosis,1
Belgium,BEL,EURO,European Region,2022-07-18,Onset,19
Belgium,BEL,EURO,European Region,2022-07-19,Diagnosis,2
Belgium,BEL,EURO,European Region,2022-07-19,Onset,7
Belgium,BEL,EURO,European Region,2022-07-20,Diagnosis,2
Belgium,BEL,EURO,European Region,2022-07-20,Onset,8
Belgium,BEL,EURO,European Region,2022-07-21,Onset,12
Belgium,BEL,EURO,European Region,2022-07-22,Diagnosis,3
Belgium,BEL,EURO,European Region,2022-07-22,Onset,9
Belgium,BEL,EURO,European Region,2022-07-23,Onset,8
Belgium,BEL,EURO,European Region,2022-07-24,Diagnosis,1
Belgium,BEL,EURO,European Region,2022-07-24,Onset,5
Belgium,BEL,EURO,European Region,2022-07-25,Diagnosis,3
Belgium,BEL,EURO,European Region,2022-07-25,Onset,10
Belgium,BEL,EURO,European Region,2022-07-26,Onset,9
Belgium,BEL,EURO,European Region,2022-07-27,Diagnosis,3
Belgium,BEL,EURO,European Region,2022-07-27,Onset,15
Belgium,BEL,EURO,European Region,2022-07-28,Onset,10
Belgium,BEL,EURO,European Region,2022-07-29,Diagnosis,1
Belgium,BEL,EURO,European Region,2022-07-29,Onset,10
Belgium,BEL,EURO,European Region,2022-07-30,Onset,13
Belgium,BEL,EURO,European Region,2022-07-31,Onset,12
Belgium,BEL,EURO,European Region,2022-08-01,Onset,11
Belgium,BEL,EURO,European Region,2022-08-02,Onset,5
Belgium,BEL,EURO,European Region,2022-08-03,Onset,10
Belgium,BEL,EURO,European Region,2022-08-04,Onset,6
Belgium,BEL,EURO,European Region,2022-08-05,Diagnosis,1
Belgium,BEL,EURO,European Region,2022-08-05,Onset,7
Belgium,BEL,EURO,European Region,2022-08-06,Onset,6
Belgium,BEL,EURO,European Region,2022-08-07,Onset,5
Belgium,BEL,EURO,European Region,2022-08-08,Diagnosis,1
Belgium,BEL,EURO,European Region,2022-08-08,Onset,3
Belgium,BEL,EURO,European Region,2022-08-09,Onset,6
Belgium,BEL,EURO,European Region,2022-08-10,Onset,10
Belgium,BEL,EURO,European Region,2022-08-11,Onset,11
Belgium,BEL,EURO,European Region,2022-08-12,Diagnosis,1
Belgium,BEL,EURO,European Region,2022-08-12,Onset,3
Belgium,BEL,EURO,European Region,2022-08-13,Onset,2
Belgium,BEL,EURO,European Region,2022-08-14,Onset,2
Belgium,BEL,EURO,European Region,2022-08-15,Onset,4
Belgium,BEL,EURO,European Region,2022-08-16,Onset,6
Belgium,BEL,EURO,European Region,2022-08-17,Reported,1
Belgium,BEL,EURO,European Region,2022-08-17,Onset,9
Belgium,BEL,EURO,European Region,2022-08-19,Reported,1
Belgium,BEL,EURO,European Region,2022-08-19,Onset,4
Belgium,BEL,EURO,European Region,2022-08-20,Onset,2
Belgium,BEL,EURO,European Region,2022-08-21,Onset,5
Belgium,BEL,EURO,European Region,2022-08-22,Onset,7
Belgium,BEL,EURO,European Region,2022-08-23,Onset,6
Belgium,BEL,EURO,European Region,2022-08-24,Onset,2
Belgium,BEL,EURO,European Region,2022-08-25,Onset,5
Belgium,BEL,EURO,European Region,2022-08-26,Onset,1
Belgium,BEL,EURO,European Region,2022-08-27,Onset,2
Belgium,BEL,EURO,European Region,2022-08-28,Onset,4
Belgium,BEL,EURO,European Region,2022-08-29,Onset,1
Belgium,BEL,EURO,European Region,2022-08-30,Onset,2
Belgium,BEL,EURO,European Region,2022-09-01,Onset,1
Belgium,BEL,EURO,European Region,2022-09-03,Onset,1
Belgium,BEL,EURO,European Region,2022-09-05,Onset,3
Belgium,BEL,EURO,European Region,2022-09-06,Onset,1
Belgium,BEL,EURO,European Region,2022-09-07,Onset,3
Belgium,BEL,EURO,European Region,2022-09-08,Onset,1
Belgium,BEL,EURO,European Region,2022-09-09,Onset,2
Belgium,BEL,EURO,European Region,2022-09-10,Onset,2
Belgium,BEL,EURO,European Region,2022-09-11,Onset,2
Belgium,BEL,EURO,European Region,2022-09-13,Onset,3
Belgium,BEL,EURO,European Region,2022-09-14,Onset,1
Belgium,BEL,EURO,European Region,2022-09-15,Onset,1
Belgium,BEL,EURO,European Region,2022-09-16,Diagnosis,1
Belgium,BEL,EURO,European Region,2022-09-16,Onset,1
Belgium,BEL,EURO,European Region,2022-09-17,Onset,2
Belgium,BEL,EURO,European Region,2022-09-18,Onset,2
Belgium,BEL,EURO,European Region,2022-09-22,Onset,1
Belgium,BEL,EURO,European Region,2022-09-23,Onset,1
Belgium,BEL,EURO,European Region,2022-09-24,Onset,1
Belgium,BEL,EURO,European Region,2022-09-26,Onset,1
Belgium,BEL,EURO,European Region,2022-09-27,Reported,1
Belgium,BEL,EURO,European Region,2022-09-28,Onset,3
Belgium,BEL,EURO,European Region,2022-09-29,Onset,1
Belgium,BEL,EURO,European Region,2022-10-01,Onset,1
Belgium,BEL,EURO,European Region,2022-10-02,Onset,1
Belgium,BEL,EURO,European Region,2022-10-04,Diagnosis,1
Belgium,BEL,EURO,European Region,2022-10-08,Onset,1
