country,iso3,who_region,who_region_long,reference_date,date_type,cases
Brazil,BRA,AMRO,Region of the Americas,2022-01-14,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-02-04,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-02-27,Onset,2
Brazil,BRA,AMRO,Region of the Americas,2022-03-31,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-05-13,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-05-21,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-05-25,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-05-28,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-05-29,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-05-31,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-06-02,Onset,2
Brazil,BRA,AMRO,Region of the Americas,2022-06-03,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-06-04,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-06-05,Onset,2
Brazil,BRA,AMRO,Region of the Americas,2022-06-06,Onset,3
Brazil,BRA,AMRO,Region of the Americas,2022-06-08,Onset,2
Brazil,BRA,AMRO,Region of the Americas,2022-06-11,Onset,3
Brazil,BRA,AMRO,Region of the Americas,2022-06-12,Onset,4
Brazil,BRA,AMRO,Region of the Americas,2022-06-14,Onset,5
Brazil,BRA,AMRO,Region of the Americas,2022-06-15,Onset,2
Brazil,BRA,AMRO,Region of the Americas,2022-06-16,Onset,3
Brazil,BRA,AMRO,Region of the Americas,2022-06-17,Onset,6
Brazil,BRA,AMRO,Region of the Americas,2022-06-18,Onset,7
Brazil,BRA,AMRO,Region of the Americas,2022-06-19,Onset,9
Brazil,BRA,AMRO,Region of the Americas,2022-06-20,Onset,7
Brazil,BRA,AMRO,Region of the Americas,2022-06-21,Onset,12
Brazil,BRA,AMRO,Region of the Americas,2022-06-22,Onset,16
Brazil,BRA,AMRO,Region of the Americas,2022-06-23,Onset,10
Brazil,BRA,AMRO,Region of the Americas,2022-06-24,Onset,19
Brazil,BRA,AMRO,Region of the Americas,2022-06-25,Onset,23
Brazil,BRA,AMRO,Region of the Americas,2022-06-26,Onset,9
Brazil,BRA,AMRO,Region of the Americas,2022-06-27,Onset,31
Brazil,BRA,AMRO,Region of the Americas,2022-06-28,Onset,23
Brazil,BRA,AMRO,Region of the Americas,2022-06-29,Onset,20
