country,iso3,who_region,who_region_long,reference_date,date_type,cases
Canada,CAN,AMRO,Region of the Americas,2022-04-28,Onset,1
Canada,CAN,AMRO,Region of the Americas,2022-04-29,Onset,2
Canada,CAN,AMRO,Region of the Americas,2022-05-01,Onset,3
Canada,CAN,AMRO,Region of the Americas,2022-05-02,Onset,1
Canada,CAN,AMRO,Region of the Americas,2022-05-03,Onset,2
Canada,CAN,AMRO,Region of the Americas,2022-05-04,Onset,1
Canada,CAN,AMRO,Region of the Americas,2022-05-05,Onset,1
Canada,CAN,AMRO,Region of the Americas,2022-05-07,Onset,3
Canada,CAN,AMRO,Region of the Americas,2022-05-09,Onset,2
Canada,CAN,AMRO,Region of the Americas,2022-05-10,Onset,2
Canada,CAN,AMRO,Region of the Americas,2022-05-11,Onset,1
Canada,CAN,AMRO,Region of the Americas,2022-05-12,Onset,4
Canada,CAN,AMRO,Region of the Americas,2022-05-13,Onset,4
Canada,CAN,AMRO,Region of the Americas,2022-05-14,Onset,3
Canada,CAN,AMRO,Region of the Americas,2022-05-15,Onset,7
Canada,CAN,AMRO,Region of the Americas,2022-05-16,Onset,3
Canada,CAN,AMRO,Region of the Americas,2022-05-17,Onset,6
Canada,CAN,AMRO,Region of the Americas,2022-05-19,Reported,1
Canada,CAN,AMRO,Region of the Americas,2022-05-19,Onset,4
Canada,CAN,AMRO,Region of the Americas,2022-05-20,Onset,6
Canada,CAN,AMRO,Region of the Americas,2022-05-21,Onset,2
Canada,CAN,AMRO,Region of the Americas,2022-05-22,Onset,4
Canada,CAN,AMRO,Region of the Americas,2022-05-23,Onset,10
Canada,CAN,AMRO,Region of the Americas,2022-05-24,Onset,9
Canada,CAN,AMRO,Region of the Americas,2022-05-25,Onset,9
Canada,CAN,AMRO,Region of the Americas,2022-05-26,Onset,3
Canada,CAN,AMRO,Region of the Americas,2022-05-27,Reported,1
Canada,CAN,AMRO,Region of the Americas,2022-05-27,Onset,4
Canada,CAN,AMRO,Region of the Americas,2022-05-28,Onset,8
Canada,CAN,AMRO,Region of the Americas,2022-05-29,Onset,10
Canada,CAN,AMRO,Region of the Americas,2022-05-30,Onset,9
Canada,CAN,AMRO,Region of the Americas,2022-05-31,Onset,8
Canada,CAN,AMRO,Region of the Americas,2022-06-01,Onset,11
Canada,CAN,AMRO,Region of the Americas,2022-06-02,Onset,9
Canada,CAN,AMRO,Region of the Americas,2022-06-03,Onset,8
Canada,CAN,AMRO,Region of the Americas,2022-06-04,Onset,9
Canada,CAN,AMRO,Region of the Americas,2022-06-05,Onset,8
Canada,CAN,AMRO,Region of the Americas,2022-06-06,Reported,1
Canada,CAN,AMRO,Region of the Americas,2022-06-06,Onset,8
Canada,CAN,AMRO,Region of the Americas,2022-06-07,Onset,8
Canada,CAN,AMRO,Region of the Americas,2022-06-08,Reported,1
Canada,CAN,AMRO,Region of the Americas,2022-06-08,Onset,12
Canada,CAN,AMRO,Region of the Americas,2022-06-09,Reported,1
Canada,CAN,AMRO,Region of the Americas,2022-06-09,Onset,7
Canada,CAN,AMRO,Region of the Americas,2022-06-10,Reported,1
Canada,CAN,AMRO,Region of the Americas,2022-06-10,Onset,9
Canada,CAN,AMRO,Region of the Americas,2022-06-11,Onset,8
Canada,CAN,AMRO,Region of the Americas,2022-06-12,Onset,6
Canada,CAN,AMRO,Region of the Americas,2022-06-13,Onset,10
Canada,CAN,AMRO,Region of the Americas,2022-06-14,Onset,9
Canada,CAN,AMRO,Region of the Americas,2022-06-15,Reported,1
Canada,CAN,AMRO,Region of the Americas,2022-06-15,Onset,8
Canada,CAN,AMRO,Region of the Americas,2022-06-16,Reported,1
Canada,CAN,AMRO,Region of the Americas,2022-06-16,Onset,10
Canada,CAN,AMRO,Region of the Americas,2022-06-17,Reported,2
Canada,CAN,AMRO,Region of the Americas,2022-06-17,Onset,10
Canada,CAN,AMRO,Region of the Americas,2022-06-18,Reported,3
Canada,CAN,AMRO,Region of the Americas,2022-06-18,Onset,10
Canada,CAN,AMRO,Region of the Americas,2022-06-19,Onset,14
Canada,CAN,AMRO,Region of the Americas,2022-06-20,Onset,12
Canada,CAN,AMRO,Region of the Americas,2022-06-21,Onset,13
Canada,CAN,AMRO,Region of the Americas,2022-06-22,Diagnosis,1
Canada,CAN,AMRO,Region of the Americas,2022-06-22,Onset,13
Canada,CAN,AMRO,Region of the Americas,2022-06-23,Reported,2
Canada,CAN,AMRO,Region of the Americas,2022-06-23,Onset,16
Canada,CAN,AMRO,Region of the Americas,2022-06-24,Onset,13
Canada,CAN,AMRO,Region of the Americas,2022-06-25,Reported,1
Canada,CAN,AMRO,Region of the Americas,2022-06-25,Onset,21
Canada,CAN,AMRO,Region of the Americas,2022-06-26,Onset,14
Canada,CAN,AMRO,Region of the Americas,2022-06-27,Reported,3
Canada,CAN,AMRO,Region of the Americas,2022-06-27,Onset,29
Canada,CAN,AMRO,Region of the Americas,2022-06-28,Onset,15
Canada,CAN,AMRO,Region of the Americas,2022-06-29,Reported,1
Canada,CAN,AMRO,Region of the Americas,2022-06-29,Onset,16
Canada,CAN,AMRO,Region of the Americas,2022-06-30,Onset,17
Canada,CAN,AMRO,Region of the Americas,2022-07-01,Onset,30
