country,iso3,who_region,who_region_long,reference_date,date_type,cases
Colombia,COL,AMRO,Region of the Americas,2022-05-30,Onset,1
Colombia,COL,AMRO,Region of the Americas,2022-05-31,Onset,1
Colombia,COL,AMRO,Region of the Americas,2022-06-17,Onset,1
Colombia,COL,AMRO,Region of the Americas,2022-06-23,Onset,1
Colombia,COL,AMRO,Region of the Americas,2022-06-29,Onset,1
Colombia,COL,AMRO,Region of the Americas,2022-07-01,Onset,1
Colombia,COL,AMRO,Region of the Americas,2022-07-03,Onset,1
Colombia,COL,AMRO,Region of the Americas,2022-07-06,Onset,1
Colombia,COL,AMRO,Region of the Americas,2022-07-07,Onset,1
Colombia,COL,AMRO,Region of the Americas,2022-07-09,Onset,2
Colombia,COL,AMRO,Region of the Americas,2022-07-11,Onset,1
Colombia,COL,AMRO,Region of the Americas,2022-07-14,Onset,3
Colombia,COL,AMRO,Region of the Americas,2022-07-18,Onset,1
Colombia,COL,AMRO,Region of the Americas,2022-07-20,Onset,3
Colombia,COL,AMRO,Region of the Americas,2022-07-21,Onset,6
Colombia,COL,AMRO,Region of the Americas,2022-07-22,Onset,2
Colombia,COL,AMRO,Region of the Americas,2022-07-23,Onset,5
Colombia,COL,AMRO,Region of the Americas,2022-07-24,Onset,5
Colombia,COL,AMRO,Region of the Americas,2022-07-25,Onset,8
Colombia,COL,AMRO,Region of the Americas,2022-07-26,Onset,6
Colombia,COL,AMRO,Region of the Americas,2022-07-27,Onset,3
Colombia,COL,AMRO,Region of the Americas,2022-07-28,Onset,2
Colombia,COL,AMRO,Region of the Americas,2022-07-29,Onset,4
Colombia,COL,AMRO,Region of the Americas,2022-07-30,Onset,2
Colombia,COL,AMRO,Region of the Americas,2022-07-31,Onset,9
Colombia,COL,AMRO,Region of the Americas,2022-08-01,Onset,20
Colombia,COL,AMRO,Region of the Americas,2022-08-02,Onset,8
Colombia,COL,AMRO,Region of the Americas,2022-08-03,Onset,17
Colombia,COL,AMRO,Region of the Americas,2022-08-04,Onset,14
Colombia,COL,AMRO,Region of the Americas,2022-08-05,Onset,16
Colombia,COL,AMRO,Region of the Americas,2022-08-06,Onset,14
Colombia,COL,AMRO,Region of the Americas,2022-08-07,Onset,21
Colombia,COL,AMRO,Region of the Americas,2022-08-08,Onset,27
Colombia,COL,AMRO,Region of the Americas,2022-08-09,Onset,16
Colombia,COL,AMRO,Region of the Americas,2022-08-10,Onset,22
Colombia,COL,AMRO,Region of the Americas,2022-08-11,Onset,36
Colombia,COL,AMRO,Region of the Americas,2022-08-12,Onset,26
Colombia,COL,AMRO,Region of the Americas,2022-08-13,Onset,41
Colombia,COL,AMRO,Region of the Americas,2022-08-14,Onset,45
Colombia,COL,AMRO,Region of the Americas,2022-08-15,Onset,43
Colombia,COL,AMRO,Region of the Americas,2022-08-16,Onset,34
Colombia,COL,AMRO,Region of the Americas,2022-08-17,Onset,44
Colombia,COL,AMRO,Region of the Americas,2022-08-18,Onset,45
Colombia,COL,AMRO,Region of the Americas,2022-08-19,Onset,54
Colombia,COL,AMRO,Region of the Americas,2022-08-20,Onset,77
Colombia,COL,AMRO,Region of the Americas,2022-08-21,Onset,50
Colombia,COL,AMRO,Region of the Americas,2022-08-22,Onset,75
Colombia,COL,AMRO,Region of the Americas,2022-08-23,Onset,49
Colombia,COL,AMRO,Region of the Americas,2022-08-24,Onset,63
Colombia,COL,AMRO,Region of the Americas,2022-08-25,Onset,50
Colombia,COL,AMRO,Region of the Americas,2022-08-26,Onset,78
Colombia,COL,AMRO,Region of the Americas,2022-08-27,Onset,56
Colombia,COL,AMRO,Region of the Americas,2022-08-28,Onset,53
Colombia,COL,AMRO,Region of the Americas,2022-08-29,Onset,76
Colombia,COL,AMRO,Region of the Americas,2022-08-30,Onset,52
Colombia,COL,AMRO,Region of the Americas,2022-08-31,Onset,55
Colombia,COL,AMRO,Region of the Americas,2022-09-01,Onset,73
Colombia,COL,AMRO,Region of the Americas,2022-09-02,Onset,55
Colombia,COL,AMRO,Region of the Americas,2022-09-03,Onset,56
Colombia,COL,AMRO,Region of the Americas,2022-09-04,Onset,63
Colombia,COL,AMRO,Region of the Americas,2022-09-05,Onset,71
Colombia,COL,AMRO,Region of the Americas,2022-09-06,Onset,66
Colombia,COL,AMRO,Region of the Americas,2022-09-07,Onset,59
Colombia,COL,AMRO,Region of the Americas,2022-09-08,Onset,60
Colombia,COL,AMRO,Region of the Americas,2022-09-09,Onset,61
Colombia,COL,AMRO,Region of the Americas,2022-09-10,Onset,70
Colombia,COL,AMRO,Region of the Americas,2022-09-11,Onset,58
Colombia,COL,AMRO,Region of the Americas,2022-09-12,Onset,59
Colombia,COL,AMRO,Region of the Americas,2022-09-13,Onset,40
Colombia,COL,AMRO,Region of the Americas,2022-09-14,Onset,58
Colombia,COL,AMRO,Region of the Americas,2022-09-15,Onset,66
Colombia,COL,AMRO,Region of the Americas,2022-09-16,Onset,62
Colombia,COL,AMRO,Region of the Americas,2022-09-17,Onset,48
Colombia,COL,AMRO,Region of the Americas,2022-09-18,Onset,53
Colombia,COL,AMRO,Region of the Americas,2022-09-19,Onset,70
Colombia,COL,AMRO,Region of the Americas,2022-09-20,Onset,63
Colombia,COL,AMRO,Region of the Americas,2022-09-21,Onset,48
Colombia,COL,AMRO,Region of the Americas,2022-09-22,Onset,43
Colombia,COL,AMRO,Region of the Americas,2022-09-23,Onset,36
Colombia,COL,AMRO,Region of the Americas,2022-09-24,Onset,38
Colombia,COL,AMRO,Region of the Americas,2022-09-25,Onset,39
Colombia,COL,AMRO,Region of the Americas,2022-09-26,Onset,47
Colombia,COL,AMRO,Region of the Americas,2022-09-27,Onset,42
Colombia,COL,AMRO,Region of the Americas,2022-09-28,Onset,29
Colombia,COL,AMRO,Region of the Americas,2022-09-29,Onset,24
Colombia,COL,AMRO,Region of the Americas,2022-09-30,Onset,39
Colombia,COL,AMRO,Region of the Americas,2022-10-01,Onset,58
Colombia,COL,AMRO,Region of the Americas,2022-10-02,Onset,57
Colombia,COL,AMRO,Region of the Americas,2022-10-03,Onset,72
Colombia,COL,AMRO,Region of the Americas,2022-10-04,Onset,32
Colombia,COL,AMRO,Region of the Americas,2022-10-05,Onset,26
Colombia,COL,AMRO,Region of the Americas,2022-10-06,Onset,33
Colombia,COL,AMRO,Region of the Americas,2022-10-07,Onset,22
Colombia,COL,AMRO,Region of the Americas,2022-10-08,Onset,27
Colombia,COL,AMRO,Region of the Americas,2022-10-09,Onset,19
Colombia,COL,AMRO,Region of the Americas,2022-10-10,Onset,52
Colombia,COL,AMRO,Region of the Americas,2022-10-11,Onset,20
Colombia,COL,AMRO,Region of the Americas,2022-10-12,Onset,21
Colombia,COL,AMRO,Region of the Americas,2022-10-13,Onset,15
Colombia,COL,AMRO,Region of the Americas,2022-10-14,Onset,20
Colombia,COL,AMRO,Region of the Americas,2022-10-15,Onset,21
Colombia,COL,AMRO,Region of the Americas,2022-10-16,Onset,14
Colombia,COL,AMRO,Region of the Americas,2022-10-17,Onset,10
Colombia,COL,AMRO,Region of the Americas,2022-10-18,Onset,8
Colombia,COL,AMRO,Region of the Americas,2022-10-19,Onset,21
Colombia,COL,AMRO,Region of the Americas,2022-10-20,Onset,11
Colombia,COL,AMRO,Region of the Americas,2022-10-21,Onset,9
Colombia,COL,AMRO,Region of the Americas,2022-10-22,Onset,5
Colombia,COL,AMRO,Region of the Americas,2022-10-23,Onset,1
Colombia,COL,AMRO,Region of the Americas,2022-10-24,Onset,2
Colombia,COL,AMRO,Region of the Americas,2022-10-26,Onset,2
Colombia,COL,AMRO,Region of the Americas,2022-10-27,Onset,1
