country,iso3,who_region,who_region_long,reference_date,date_type,cases
Croatia,HRV,EURO,European Region,2022-06-19,Onset,1
Croatia,HRV,EURO,European Region,2022-06-30,Onset,1
Croatia,HRV,EURO,European Region,2022-07-04,Onset,1
Croatia,HRV,EURO,European Region,2022-07-06,Onset,1
Croatia,HRV,EURO,European Region,2022-07-07,Onset,2
Croatia,HRV,EURO,European Region,2022-07-09,Onset,1
Croatia,HRV,EURO,European Region,2022-07-12,Onset,3
Croatia,HRV,EURO,European Region,2022-07-17,Onset,1
Croatia,HRV,EURO,European Region,2022-07-24,Onset,1
Croatia,HRV,EURO,European Region,2022-07-27,Onset,1
Croatia,HRV,EURO,European Region,2022-07-28,Onset,1
Croatia,HRV,EURO,European Region,2022-07-30,Onset,1
Croatia,HRV,EURO,European Region,2022-08-04,Onset,3
Croatia,HRV,EURO,European Region,2022-08-06,Onset,1
Croatia,HRV,EURO,European Region,2022-08-07,Onset,1
Croatia,HRV,EURO,European Region,2022-08-08,Onset,1
Croatia,HRV,EURO,European Region,2022-08-10,Onset,2
Croatia,HRV,EURO,European Region,2022-08-12,Onset,1
Croatia,HRV,EURO,European Region,2022-08-14,Onset,1
Croatia,HRV,EURO,European Region,2022-08-16,Onset,1
Croatia,HRV,EURO,European Region,2022-08-25,Onset,1
Croatia,HRV,EURO,European Region,2022-08-31,Onset,1
Croatia,HRV,EURO,European Region,2022-09-11,Onset,1
