country,iso3,who_region,who_region_long,reference_date,date_type,cases
Czechia,CZE,EURO,European Region,2022-04-22,Onset,1
Czechia,CZE,EURO,European Region,2022-05-09,Onset,1
Czechia,CZE,EURO,European Region,2022-05-10,Onset,1
Czechia,CZE,EURO,European Region,2022-05-18,Onset,1
Czechia,CZE,EURO,European Region,2022-05-22,Onset,1
Czechia,CZE,EURO,European Region,2022-05-25,Onset,1
Czechia,CZE,EURO,European Region,2022-06-03,Onset,1
Czechia,CZE,EURO,European Region,2022-06-11,Onset,1
Czechia,CZE,EURO,European Region,2022-06-19,Onset,1
Czechia,CZE,EURO,European Region,2022-06-21,Onset,1
Czechia,CZE,EURO,European Region,2022-06-23,Onset,1
Czechia,CZE,EURO,European Region,2022-06-25,Onset,1
Czechia,CZE,EURO,European Region,2022-07-01,Onset,2
Czechia,CZE,EURO,European Region,2022-07-04,Onset,2
Czechia,CZE,EURO,European Region,2022-07-07,Onset,1
Czechia,CZE,EURO,European Region,2022-07-08,Onset,1
Czechia,CZE,EURO,European Region,2022-07-09,Onset,1
Czechia,CZE,EURO,European Region,2022-07-14,Onset,1
Czechia,CZE,EURO,European Region,2022-07-16,Onset,1
Czechia,CZE,EURO,European Region,2022-07-18,Onset,3
Czechia,CZE,EURO,European Region,2022-07-19,Onset,1
Czechia,CZE,EURO,European Region,2022-07-21,Onset,1
Czechia,CZE,EURO,European Region,2022-07-22,Onset,1
Czechia,CZE,EURO,European Region,2022-07-23,Onset,1
Czechia,CZE,EURO,European Region,2022-07-24,Onset,1
Czechia,CZE,EURO,European Region,2022-07-25,Onset,2
Czechia,CZE,EURO,European Region,2022-07-30,Onset,1
Czechia,CZE,EURO,European Region,2022-07-31,Onset,1
Czechia,CZE,EURO,European Region,2022-08-01,Onset,2
Czechia,CZE,EURO,European Region,2022-08-02,Onset,1
Czechia,CZE,EURO,European Region,2022-08-03,Onset,1
Czechia,CZE,EURO,European Region,2022-08-04,Onset,1
Czechia,CZE,EURO,European Region,2022-08-07,Onset,1
Czechia,CZE,EURO,European Region,2022-08-08,Onset,2
Czechia,CZE,EURO,European Region,2022-08-09,Onset,1
Czechia,CZE,EURO,European Region,2022-08-14,Onset,3
Czechia,CZE,EURO,European Region,2022-08-16,Onset,1
Czechia,CZE,EURO,European Region,2022-08-18,Onset,3
Czechia,CZE,EURO,European Region,2022-08-19,Onset,3
Czechia,CZE,EURO,European Region,2022-08-20,Onset,3
Czechia,CZE,EURO,European Region,2022-08-22,Onset,1
Czechia,CZE,EURO,European Region,2022-08-23,Onset,3
Czechia,CZE,EURO,European Region,2022-08-25,Onset,1
Czechia,CZE,EURO,European Region,2022-08-28,Onset,1
Czechia,CZE,EURO,European Region,2022-08-30,Onset,1
Czechia,CZE,EURO,European Region,2022-09-02,Onset,2
Czechia,CZE,EURO,European Region,2022-09-12,Onset,1
Czechia,CZE,EURO,European Region,2022-09-22,Onset,1
Czechia,CZE,EURO,European Region,2022-09-27,Onset,1
Czechia,CZE,EURO,European Region,2022-09-28,Onset,1
Czechia,CZE,EURO,European Region,2022-09-29,Onset,2
