country,iso3,who_region,who_region_long,reference_date,date_type,cases
Denmark,DNK,EURO,European Region,2022-05-16,Onset,1
Denmark,DNK,EURO,European Region,2022-05-19,Onset,1
Denmark,DNK,EURO,European Region,2022-05-29,Onset,1
Denmark,DNK,EURO,European Region,2022-05-30,Onset,1
Denmark,DNK,EURO,European Region,2022-06-02,Onset,1
Denmark,DNK,EURO,European Region,2022-06-09,Onset,1
Denmark,DNK,EURO,European Region,2022-06-10,Onset,1
Denmark,DNK,EURO,European Region,2022-06-11,Onset,3
Denmark,DNK,EURO,European Region,2022-06-12,Onset,1
Denmark,DNK,EURO,European Region,2022-06-13,Onset,1
Denmark,DNK,EURO,European Region,2022-06-14,Onset,1
Denmark,DNK,EURO,European Region,2022-06-16,Onset,2
Denmark,DNK,EURO,European Region,2022-06-20,Onset,1
Denmark,DNK,EURO,European Region,2022-06-22,Onset,2
Denmark,DNK,EURO,European Region,2022-06-24,Onset,2
Denmark,DNK,EURO,European Region,2022-06-25,Onset,2
Denmark,DNK,EURO,European Region,2022-06-26,Onset,2
Denmark,DNK,EURO,European Region,2022-06-27,Onset,1
Denmark,DNK,EURO,European Region,2022-06-30,Onset,1
Denmark,DNK,EURO,European Region,2022-07-01,Onset,2
Denmark,DNK,EURO,European Region,2022-07-02,Onset,3
Denmark,DNK,EURO,European Region,2022-07-05,Onset,1
Denmark,DNK,EURO,European Region,2022-07-06,Onset,1
Denmark,DNK,EURO,European Region,2022-07-07,Onset,1
Denmark,DNK,EURO,European Region,2022-07-08,Onset,5
Denmark,DNK,EURO,European Region,2022-07-10,Onset,1
Denmark,DNK,EURO,European Region,2022-07-11,Onset,1
Denmark,DNK,EURO,European Region,2022-07-12,Onset,4
Denmark,DNK,EURO,European Region,2022-07-14,Onset,2
Denmark,DNK,EURO,European Region,2022-07-15,Onset,6
Denmark,DNK,EURO,European Region,2022-07-16,Onset,5
Denmark,DNK,EURO,European Region,2022-07-17,Onset,4
Denmark,DNK,EURO,European Region,2022-07-18,Onset,2
Denmark,DNK,EURO,European Region,2022-07-19,Onset,3
Denmark,DNK,EURO,European Region,2022-07-20,Onset,5
Denmark,DNK,EURO,European Region,2022-07-21,Onset,4
Denmark,DNK,EURO,European Region,2022-07-22,Onset,4
Denmark,DNK,EURO,European Region,2022-07-23,Onset,7
Denmark,DNK,EURO,European Region,2022-07-24,Onset,2
Denmark,DNK,EURO,European Region,2022-07-25,Onset,9
Denmark,DNK,EURO,European Region,2022-07-26,Onset,4
Denmark,DNK,EURO,European Region,2022-07-27,Onset,8
Denmark,DNK,EURO,European Region,2022-07-28,Onset,3
Denmark,DNK,EURO,European Region,2022-07-29,Onset,3
Denmark,DNK,EURO,European Region,2022-07-30,Onset,1
Denmark,DNK,EURO,European Region,2022-07-31,Onset,2
Denmark,DNK,EURO,European Region,2022-08-01,Onset,5
Denmark,DNK,EURO,European Region,2022-08-02,Onset,3
Denmark,DNK,EURO,European Region,2022-08-03,Onset,2
Denmark,DNK,EURO,European Region,2022-08-04,Onset,5
Denmark,DNK,EURO,European Region,2022-08-05,Diagnosis,1
Denmark,DNK,EURO,European Region,2022-08-05,Onset,6
Denmark,DNK,EURO,European Region,2022-08-06,Onset,1
Denmark,DNK,EURO,European Region,2022-08-07,Onset,4
Denmark,DNK,EURO,European Region,2022-08-08,Onset,5
Denmark,DNK,EURO,European Region,2022-08-09,Onset,1
Denmark,DNK,EURO,European Region,2022-08-10,Diagnosis,1
Denmark,DNK,EURO,European Region,2022-08-10,Onset,1
Denmark,DNK,EURO,European Region,2022-08-11,Diagnosis,2
Denmark,DNK,EURO,European Region,2022-08-11,Onset,4
Denmark,DNK,EURO,European Region,2022-08-12,Onset,2
Denmark,DNK,EURO,European Region,2022-08-13,Onset,1
Denmark,DNK,EURO,European Region,2022-08-14,Diagnosis,1
Denmark,DNK,EURO,European Region,2022-08-14,Onset,3
Denmark,DNK,EURO,European Region,2022-08-15,Onset,1
Denmark,DNK,EURO,European Region,2022-08-16,Onset,2
Denmark,DNK,EURO,European Region,2022-08-18,Onset,1
Denmark,DNK,EURO,European Region,2022-08-20,Diagnosis,1
Denmark,DNK,EURO,European Region,2022-08-22,Onset,1
Denmark,DNK,EURO,European Region,2022-08-23,Onset,1
Denmark,DNK,EURO,European Region,2022-08-24,Onset,3
Denmark,DNK,EURO,European Region,2022-08-26,Onset,1
Denmark,DNK,EURO,European Region,2022-08-29,Diagnosis,1
Denmark,DNK,EURO,European Region,2022-09-01,Onset,1
Denmark,DNK,EURO,European Region,2022-09-02,Onset,1
Denmark,DNK,EURO,European Region,2022-09-05,Onset,1
Denmark,DNK,EURO,European Region,2022-09-08,Onset,1
Denmark,DNK,EURO,European Region,2022-09-09,Diagnosis,1
Denmark,DNK,EURO,European Region,2022-09-16,Onset,1
Denmark,DNK,EURO,European Region,2022-09-17,Onset,1
Denmark,DNK,EURO,European Region,2022-09-19,Onset,1
Denmark,DNK,EURO,European Region,2022-09-26,Onset,1
Denmark,DNK,EURO,European Region,2022-09-28,Onset,1
Denmark,DNK,EURO,European Region,2022-10-01,Onset,1
Denmark,DNK,EURO,European Region,2022-10-02,Onset,1
