country,iso3,who_region,who_region_long,reference_date,date_type,cases
Dominican Republic,DOM,AMRO,Region of the Americas,2022-06-27,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-07-10,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-07-12,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-07-25,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-08-01,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-08-04,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-08-08,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-08-11,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-08-13,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-08-14,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-08-15,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-08-18,Onset,2
Dominican Republic,DOM,AMRO,Region of the Americas,2022-08-20,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-08-22,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-08-23,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-08-25,Diagnosis,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-08-26,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-08-27,Onset,2
Dominican Republic,DOM,AMRO,Region of the Americas,2022-08-29,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-08-30,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-08-31,Onset,2
Dominican Republic,DOM,AMRO,Region of the Americas,2022-09-01,Onset,2
Dominican Republic,DOM,AMRO,Region of the Americas,2022-09-02,Onset,3
Dominican Republic,DOM,AMRO,Region of the Americas,2022-09-03,Diagnosis,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-09-03,Onset,2
Dominican Republic,DOM,AMRO,Region of the Americas,2022-09-05,Onset,3
Dominican Republic,DOM,AMRO,Region of the Americas,2022-09-06,Onset,2
Dominican Republic,DOM,AMRO,Region of the Americas,2022-09-07,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-09-08,Diagnosis,3
Dominican Republic,DOM,AMRO,Region of the Americas,2022-09-08,Onset,2
Dominican Republic,DOM,AMRO,Region of the Americas,2022-09-09,Diagnosis,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-09-12,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-09-13,Diagnosis,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-09-23,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-09-24,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-09-25,Onset,1
Dominican Republic,DOM,AMRO,Region of the Americas,2022-09-27,Onset,2
Dominican Republic,DOM,AMRO,Region of the Americas,2022-09-28,Onset,1
