country,iso3,who_region,who_region_long,reference_date,date_type,cases
El Salvador,SLV,AMRO,Region of the Americas,2022-08-22,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-09-07,Onset,3
El Salvador,SLV,AMRO,Region of the Americas,2022-09-16,Onset,2
El Salvador,SLV,AMRO,Region of the Americas,2022-09-19,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-09-26,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-09-27,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-09-28,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-10-09,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-10-10,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-10-14,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-10-19,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-10-21,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-10-22,Onset,1
El Salvador,SLV,AMRO,Region of the Americas,2022-10-24,Onset,1
