country,iso3,who_region,who_region_long,reference_date,date_type,cases
Estonia,EST,EURO,European Region,2022-06-16,Onset,1
Estonia,EST,EURO,European Region,2022-06-25,Onset,1
Estonia,EST,EURO,European Region,2022-07-07,Onset,1
Estonia,EST,EURO,European Region,2022-07-10,Onset,1
Estonia,EST,EURO,European Region,2022-07-13,Onset,1
Estonia,EST,EURO,European Region,2022-07-21,Onset,1
Estonia,EST,EURO,European Region,2022-07-22,Onset,1
Estonia,EST,EURO,European Region,2022-07-23,Onset,2
Estonia,EST,EURO,European Region,2022-08-18,Onset,1
Estonia,EST,EURO,European Region,2022-09-05,Onset,1
