country,iso3,who_region,who_region_long,reference_date,date_type,cases
Finland,FIN,EURO,European Region,2022-05-15,Onset,1
Finland,FIN,EURO,European Region,2022-05-19,Onset,1
Finland,FIN,EURO,European Region,2022-06-01,Onset,1
Finland,FIN,EURO,European Region,2022-06-13,Onset,2
Finland,FIN,EURO,European Region,2022-06-21,Onset,1
Finland,FIN,EURO,European Region,2022-06-25,Onset,3
Finland,FIN,EURO,European Region,2022-06-26,Onset,1
Finland,FIN,EURO,European Region,2022-06-30,Onset,1
Finland,FIN,EURO,European Region,2022-07-02,Onset,2
Finland,FIN,EURO,European Region,2022-07-03,Onset,1
Finland,FIN,EURO,European Region,2022-07-04,Onset,1
Finland,FIN,EURO,European Region,2022-07-11,Onset,2
Finland,FIN,EURO,European Region,2022-07-13,Onset,1
Finland,FIN,EURO,European Region,2022-07-15,Onset,2
Finland,FIN,EURO,European Region,2022-07-20,Onset,1
Finland,FIN,EURO,European Region,2022-07-27,Onset,1
Finland,FIN,EURO,European Region,2022-07-28,Onset,1
Finland,FIN,EURO,European Region,2022-07-31,Onset,1
Finland,FIN,EURO,European Region,2022-08-03,Onset,2
Finland,FIN,EURO,European Region,2022-08-16,Onset,1
Finland,FIN,EURO,European Region,2022-08-20,Onset,1
Finland,FIN,EURO,European Region,2022-08-24,Onset,1
Finland,FIN,EURO,European Region,2022-08-26,Onset,1
Finland,FIN,EURO,European Region,2022-08-29,Onset,1
Finland,FIN,EURO,European Region,2022-08-30,Onset,1
Finland,FIN,EURO,European Region,2022-08-31,Onset,1
Finland,FIN,EURO,European Region,2022-09-01,Onset,3
Finland,FIN,EURO,European Region,2022-09-02,Onset,1
Finland,FIN,EURO,European Region,2022-09-05,Onset,1
Finland,FIN,EURO,European Region,2022-09-12,Onset,1
Finland,FIN,EURO,European Region,2022-09-19,Onset,1
