country,iso3,who_region,who_region_long,reference_date,date_type,cases
France,FRA,EURO,European Region,2022-05-07,Onset,1
France,FRA,EURO,European Region,2022-05-09,Onset,2
France,FRA,EURO,European Region,2022-05-11,Onset,2
France,FRA,EURO,European Region,2022-05-12,Onset,1
France,FRA,EURO,European Region,2022-05-13,Onset,1
France,FRA,EURO,European Region,2022-05-14,Onset,1
France,FRA,EURO,European Region,2022-05-16,Onset,2
France,FRA,EURO,European Region,2022-05-17,Onset,3
France,FRA,EURO,European Region,2022-05-18,Onset,8
France,FRA,EURO,European Region,2022-05-19,Onset,2
France,FRA,EURO,European Region,2022-05-20,Onset,5
France,FRA,EURO,European Region,2022-05-21,Onset,2
France,FRA,EURO,European Region,2022-05-22,Onset,10
France,FRA,EURO,European Region,2022-05-23,Onset,8
France,FRA,EURO,European Region,2022-05-24,Onset,8
France,FRA,EURO,European Region,2022-05-25,Onset,7
France,FRA,EURO,European Region,2022-05-26,Onset,6
France,FRA,EURO,European Region,2022-05-27,Onset,5
France,FRA,EURO,European Region,2022-05-28,Onset,7
France,FRA,EURO,European Region,2022-05-29,Onset,12
France,FRA,EURO,European Region,2022-05-30,Onset,6
France,FRA,EURO,European Region,2022-05-31,Onset,10
France,FRA,EURO,European Region,2022-06-01,Onset,16
France,FRA,EURO,European Region,2022-06-02,Onset,11
France,FRA,EURO,European Region,2022-06-03,Onset,17
France,FRA,EURO,European Region,2022-06-04,Onset,14
France,FRA,EURO,European Region,2022-06-05,Onset,17
France,FRA,EURO,European Region,2022-06-06,Onset,16
France,FRA,EURO,European Region,2022-06-07,Reported,1
France,FRA,EURO,European Region,2022-06-07,Onset,21
France,FRA,EURO,European Region,2022-06-08,Onset,17
France,FRA,EURO,European Region,2022-06-09,Reported,2
France,FRA,EURO,European Region,2022-06-09,Onset,23
France,FRA,EURO,European Region,2022-06-10,Reported,1
France,FRA,EURO,European Region,2022-06-10,Onset,25
France,FRA,EURO,European Region,2022-06-11,Onset,23
France,FRA,EURO,European Region,2022-06-12,Reported,1
France,FRA,EURO,European Region,2022-06-12,Onset,31
France,FRA,EURO,European Region,2022-06-13,Diagnosis,1
France,FRA,EURO,European Region,2022-06-13,Reported,4
France,FRA,EURO,European Region,2022-06-13,Onset,37
France,FRA,EURO,European Region,2022-06-14,Reported,2
France,FRA,EURO,European Region,2022-06-14,Onset,28
France,FRA,EURO,European Region,2022-06-15,Diagnosis,2
France,FRA,EURO,European Region,2022-06-15,Reported,1
France,FRA,EURO,European Region,2022-06-15,Onset,38
France,FRA,EURO,European Region,2022-06-16,Diagnosis,3
France,FRA,EURO,European Region,2022-06-16,Reported,1
France,FRA,EURO,European Region,2022-06-16,Onset,29
France,FRA,EURO,European Region,2022-06-17,Diagnosis,6
France,FRA,EURO,European Region,2022-06-17,Onset,30
France,FRA,EURO,European Region,2022-06-18,Diagnosis,5
France,FRA,EURO,European Region,2022-06-18,Onset,32
France,FRA,EURO,European Region,2022-06-19,Diagnosis,1
France,FRA,EURO,European Region,2022-06-19,Onset,34
France,FRA,EURO,European Region,2022-06-20,Diagnosis,2
France,FRA,EURO,European Region,2022-06-20,Reported,2
France,FRA,EURO,European Region,2022-06-20,Onset,59
France,FRA,EURO,European Region,2022-06-21,Diagnosis,14
France,FRA,EURO,European Region,2022-06-21,Reported,1
France,FRA,EURO,European Region,2022-06-21,Onset,59
France,FRA,EURO,European Region,2022-06-22,Diagnosis,3
France,FRA,EURO,European Region,2022-06-22,Onset,40
France,FRA,EURO,European Region,2022-06-23,Diagnosis,6
France,FRA,EURO,European Region,2022-06-23,Reported,1
France,FRA,EURO,European Region,2022-06-23,Onset,43
France,FRA,EURO,European Region,2022-06-24,Diagnosis,6
France,FRA,EURO,European Region,2022-06-24,Reported,3
France,FRA,EURO,European Region,2022-06-24,Onset,44
France,FRA,EURO,European Region,2022-06-25,Diagnosis,2
France,FRA,EURO,European Region,2022-06-25,Onset,40
France,FRA,EURO,European Region,2022-06-26,Onset,43
France,FRA,EURO,European Region,2022-06-27,Diagnosis,9
France,FRA,EURO,European Region,2022-06-27,Reported,10
France,FRA,EURO,European Region,2022-06-27,Onset,50
France,FRA,EURO,European Region,2022-06-28,Reported,6
France,FRA,EURO,European Region,2022-06-28,Onset,47
France,FRA,EURO,European Region,2022-06-29,Diagnosis,6
France,FRA,EURO,European Region,2022-06-29,Reported,9
France,FRA,EURO,European Region,2022-06-29,Onset,37
France,FRA,EURO,European Region,2022-06-30,Diagnosis,2
France,FRA,EURO,European Region,2022-06-30,Reported,7
France,FRA,EURO,European Region,2022-06-30,Onset,53
France,FRA,EURO,European Region,2022-07-01,Diagnosis,9
France,FRA,EURO,European Region,2022-07-01,Reported,2
France,FRA,EURO,European Region,2022-07-01,Onset,64
France,FRA,EURO,European Region,2022-07-02,Diagnosis,1
France,FRA,EURO,European Region,2022-07-02,Onset,48
France,FRA,EURO,European Region,2022-07-03,Onset,54
France,FRA,EURO,European Region,2022-07-04,Diagnosis,7
France,FRA,EURO,European Region,2022-07-04,Reported,13
France,FRA,EURO,European Region,2022-07-04,Onset,47
France,FRA,EURO,European Region,2022-07-05,Diagnosis,6
France,FRA,EURO,European Region,2022-07-05,Reported,18
