country,iso3,who_region,who_region_long,reference_date,date_type,cases
Germany,DEU,EURO,European Region,2022-05-02,Onset,1
Germany,DEU,EURO,European Region,2022-05-04,Onset,1
Germany,DEU,EURO,European Region,2022-05-09,Onset,1
Germany,DEU,EURO,European Region,2022-05-11,Onset,2
Germany,DEU,EURO,European Region,2022-05-13,Onset,4
Germany,DEU,EURO,European Region,2022-05-14,Onset,4
Germany,DEU,EURO,European Region,2022-05-15,Onset,3
Germany,DEU,EURO,European Region,2022-05-16,Onset,3
Germany,DEU,EURO,European Region,2022-05-17,Onset,5
Germany,DEU,EURO,European Region,2022-05-18,Onset,7
Germany,DEU,EURO,European Region,2022-05-19,Onset,7
Germany,DEU,EURO,European Region,2022-05-20,Onset,5
Germany,DEU,EURO,European Region,2022-05-21,Onset,6
Germany,DEU,EURO,European Region,2022-05-22,Onset,4
Germany,DEU,EURO,European Region,2022-05-23,Onset,5
Germany,DEU,EURO,European Region,2022-05-24,Onset,7
Germany,DEU,EURO,European Region,2022-05-25,Onset,23
Germany,DEU,EURO,European Region,2022-05-26,Onset,12
Germany,DEU,EURO,European Region,2022-05-27,Onset,9
Germany,DEU,EURO,European Region,2022-05-28,Onset,11
Germany,DEU,EURO,European Region,2022-05-29,Onset,12
Germany,DEU,EURO,European Region,2022-05-30,Onset,21
Germany,DEU,EURO,European Region,2022-05-31,Onset,11
Germany,DEU,EURO,European Region,2022-06-01,Onset,23
Germany,DEU,EURO,European Region,2022-06-02,Reported,1
Germany,DEU,EURO,European Region,2022-06-02,Onset,30
Germany,DEU,EURO,European Region,2022-06-03,Onset,23
Germany,DEU,EURO,European Region,2022-06-04,Reported,1
Germany,DEU,EURO,European Region,2022-06-04,Onset,29
Germany,DEU,EURO,European Region,2022-06-05,Onset,20
Germany,DEU,EURO,European Region,2022-06-06,Onset,47
Germany,DEU,EURO,European Region,2022-06-07,Reported,1
Germany,DEU,EURO,European Region,2022-06-07,Onset,23
Germany,DEU,EURO,European Region,2022-06-08,Onset,46
Germany,DEU,EURO,European Region,2022-06-09,Reported,1
Germany,DEU,EURO,European Region,2022-06-09,Onset,35
Germany,DEU,EURO,European Region,2022-06-10,Reported,2
Germany,DEU,EURO,European Region,2022-06-10,Onset,42
Germany,DEU,EURO,European Region,2022-06-11,Onset,36
Germany,DEU,EURO,European Region,2022-06-12,Onset,46
Germany,DEU,EURO,European Region,2022-06-13,Onset,65
Germany,DEU,EURO,European Region,2022-06-14,Reported,3
Germany,DEU,EURO,European Region,2022-06-14,Onset,46
Germany,DEU,EURO,European Region,2022-06-15,Reported,3
Germany,DEU,EURO,European Region,2022-06-15,Onset,43
Germany,DEU,EURO,European Region,2022-06-16,Reported,2
Germany,DEU,EURO,European Region,2022-06-16,Onset,34
Germany,DEU,EURO,European Region,2022-06-17,Reported,4
Germany,DEU,EURO,European Region,2022-06-17,Onset,44
Germany,DEU,EURO,European Region,2022-06-18,Onset,42
Germany,DEU,EURO,European Region,2022-06-19,Onset,43
Germany,DEU,EURO,European Region,2022-06-20,Reported,2
Germany,DEU,EURO,European Region,2022-06-20,Onset,67
Germany,DEU,EURO,European Region,2022-06-21,Reported,2
Germany,DEU,EURO,European Region,2022-06-21,Onset,43
Germany,DEU,EURO,European Region,2022-06-22,Reported,4
Germany,DEU,EURO,European Region,2022-06-22,Onset,47
Germany,DEU,EURO,European Region,2022-06-23,Reported,7
Germany,DEU,EURO,European Region,2022-06-23,Onset,45
Germany,DEU,EURO,European Region,2022-06-24,Reported,10
Germany,DEU,EURO,European Region,2022-06-24,Onset,48
Germany,DEU,EURO,European Region,2022-06-25,Onset,46
Germany,DEU,EURO,European Region,2022-06-26,Onset,43
Germany,DEU,EURO,European Region,2022-06-27,Reported,8
Germany,DEU,EURO,European Region,2022-06-27,Onset,76
Germany,DEU,EURO,European Region,2022-06-28,Reported,2
Germany,DEU,EURO,European Region,2022-06-28,Onset,38
Germany,DEU,EURO,European Region,2022-06-29,Reported,10
Germany,DEU,EURO,European Region,2022-06-29,Onset,40
Germany,DEU,EURO,European Region,2022-06-30,Reported,5
Germany,DEU,EURO,European Region,2022-06-30,Onset,46
Germany,DEU,EURO,European Region,2022-07-01,Reported,4
Germany,DEU,EURO,European Region,2022-07-01,Onset,68
Germany,DEU,EURO,European Region,2022-07-02,Reported,1
Germany,DEU,EURO,European Region,2022-07-02,Onset,50
Germany,DEU,EURO,European Region,2022-07-03,Onset,46
Germany,DEU,EURO,European Region,2022-07-04,Reported,9
Germany,DEU,EURO,European Region,2022-07-04,Onset,84
Germany,DEU,EURO,European Region,2022-07-05,Reported,7
Germany,DEU,EURO,European Region,2022-07-05,Onset,53
Germany,DEU,EURO,European Region,2022-07-06,Reported,2
Germany,DEU,EURO,European Region,2022-07-06,Onset,59
Germany,DEU,EURO,European Region,2022-07-07,Reported,18
Germany,DEU,EURO,European Region,2022-07-07,Onset,46
Germany,DEU,EURO,European Region,2022-07-08,Reported,5
Germany,DEU,EURO,European Region,2022-07-08,Onset,66
Germany,DEU,EURO,European Region,2022-07-09,Onset,51
Germany,DEU,EURO,European Region,2022-07-10,Onset,55
Germany,DEU,EURO,European Region,2022-07-11,Reported,8
Germany,DEU,EURO,European Region,2022-07-11,Onset,60
Germany,DEU,EURO,European Region,2022-07-12,Reported,8
Germany,DEU,EURO,European Region,2022-07-12,Onset,54
Germany,DEU,EURO,European Region,2022-07-13,Reported,13
Germany,DEU,EURO,European Region,2022-07-13,Onset,46
Germany,DEU,EURO,European Region,2022-07-14,Reported,10
Germany,DEU,EURO,European Region,2022-07-14,Onset,38
Germany,DEU,EURO,European Region,2022-07-15,Reported,4
Germany,DEU,EURO,European Region,2022-07-15,Onset,50
Germany,DEU,EURO,European Region,2022-07-16,Reported,1
Germany,DEU,EURO,European Region,2022-07-16,Onset,35
Germany,DEU,EURO,European Region,2022-07-17,Reported,1
Germany,DEU,EURO,European Region,2022-07-17,Onset,31
Germany,DEU,EURO,European Region,2022-07-18,Reported,12
Germany,DEU,EURO,European Region,2022-07-18,Onset,52
Germany,DEU,EURO,European Region,2022-07-19,Reported,8
Germany,DEU,EURO,European Region,2022-07-19,Onset,40
Germany,DEU,EURO,European Region,2022-07-20,Reported,8
Germany,DEU,EURO,European Region,2022-07-20,Onset,41
Germany,DEU,EURO,European Region,2022-07-21,Reported,3
Germany,DEU,EURO,European Region,2022-07-21,Onset,36
Germany,DEU,EURO,European Region,2022-07-22,Reported,6
Germany,DEU,EURO,European Region,2022-07-22,Onset,28
Germany,DEU,EURO,European Region,2022-07-23,Onset,33
Germany,DEU,EURO,European Region,2022-07-24,Onset,22
Germany,DEU,EURO,European Region,2022-07-25,Reported,3
Germany,DEU,EURO,European Region,2022-07-25,Onset,45
