country,iso3,who_region,who_region_long,reference_date,date_type,cases
Greece,GRC,EURO,European Region,2022-06-02,Onset,1
Greece,GRC,EURO,European Region,2022-06-07,Onset,1
Greece,GRC,EURO,European Region,2022-06-08,Onset,1
Greece,GRC,EURO,European Region,2022-06-17,Onset,2
Greece,GRC,EURO,European Region,2022-06-20,Onset,1
Greece,GRC,EURO,European Region,2022-06-22,Onset,1
Greece,GRC,EURO,European Region,2022-06-23,Onset,1
Greece,GRC,EURO,European Region,2022-06-25,Onset,1
Greece,GRC,EURO,European Region,2022-06-27,Onset,2
Greece,GRC,EURO,European Region,2022-06-28,Onset,2
Greece,GRC,EURO,European Region,2022-07-01,Onset,1
Greece,GRC,EURO,European Region,2022-07-03,Onset,1
Greece,GRC,EURO,European Region,2022-07-04,Onset,1
Greece,GRC,EURO,European Region,2022-07-10,Onset,2
Greece,GRC,EURO,European Region,2022-07-11,Onset,2
Greece,GRC,EURO,European Region,2022-07-13,Onset,2
Greece,GRC,EURO,European Region,2022-07-15,Onset,5
Greece,GRC,EURO,European Region,2022-07-16,Onset,1
Greece,GRC,EURO,European Region,2022-07-17,Onset,1
Greece,GRC,EURO,European Region,2022-07-19,Onset,2
Greece,GRC,EURO,European Region,2022-07-20,Onset,2
Greece,GRC,EURO,European Region,2022-07-21,Onset,1
Greece,GRC,EURO,European Region,2022-07-22,Onset,3
Greece,GRC,EURO,European Region,2022-07-25,Onset,1
Greece,GRC,EURO,European Region,2022-07-26,Onset,1
Greece,GRC,EURO,European Region,2022-07-27,Onset,1
Greece,GRC,EURO,European Region,2022-07-28,Onset,2
Greece,GRC,EURO,European Region,2022-07-29,Onset,2
Greece,GRC,EURO,European Region,2022-07-31,Onset,2
Greece,GRC,EURO,European Region,2022-08-01,Onset,1
Greece,GRC,EURO,European Region,2022-08-02,Onset,1
Greece,GRC,EURO,European Region,2022-08-03,Onset,2
Greece,GRC,EURO,European Region,2022-08-04,Onset,1
Greece,GRC,EURO,European Region,2022-08-06,Onset,1
Greece,GRC,EURO,European Region,2022-08-11,Onset,1
Greece,GRC,EURO,European Region,2022-08-12,Onset,1
Greece,GRC,EURO,European Region,2022-08-13,Onset,1
Greece,GRC,EURO,European Region,2022-08-14,Onset,1
Greece,GRC,EURO,European Region,2022-08-16,Onset,1
Greece,GRC,EURO,European Region,2022-08-21,Onset,1
Greece,GRC,EURO,European Region,2022-08-22,Onset,1
Greece,GRC,EURO,European Region,2022-08-23,Onset,1
Greece,GRC,EURO,European Region,2022-08-25,Onset,1
Greece,GRC,EURO,European Region,2022-08-26,Onset,1
Greece,GRC,EURO,European Region,2022-08-27,Onset,1
Greece,GRC,EURO,European Region,2022-08-28,Onset,2
Greece,GRC,EURO,European Region,2022-09-01,Onset,1
Greece,GRC,EURO,European Region,2022-09-02,Onset,1
Greece,GRC,EURO,European Region,2022-09-07,Onset,1
Greece,GRC,EURO,European Region,2022-09-09,Onset,2
Greece,GRC,EURO,European Region,2022-09-10,Onset,2
Greece,GRC,EURO,European Region,2022-09-14,Onset,2
Greece,GRC,EURO,European Region,2022-09-15,Onset,2
Greece,GRC,EURO,European Region,2022-09-16,Onset,1
Greece,GRC,EURO,European Region,2022-09-17,Onset,1
Greece,GRC,EURO,European Region,2022-09-18,Onset,2
Greece,GRC,EURO,European Region,2022-09-21,Onset,1
Greece,GRC,EURO,European Region,2022-09-26,Onset,1
Greece,GRC,EURO,European Region,2022-10-15,Onset,1
Greece,GRC,EURO,European Region,2022-10-19,Onset,1
