country,iso3,who_region,who_region_long,reference_date,date_type,cases
Guatemala,GTM,AMRO,Region of the Americas,2022-07-16,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-07-18,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-07-23,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-08-09,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-08-13,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-08-15,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-08-19,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-08-25,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-08-26,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2022-08-29,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-09-02,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-09-12,Onset,3
Guatemala,GTM,AMRO,Region of the Americas,2022-09-13,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-09-15,Onset,5
Guatemala,GTM,AMRO,Region of the Americas,2022-09-16,Diagnosis,1
Guatemala,GTM,AMRO,Region of the Americas,2022-09-16,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-09-17,Onset,3
Guatemala,GTM,AMRO,Region of the Americas,2022-09-18,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-09-20,Diagnosis,1
Guatemala,GTM,AMRO,Region of the Americas,2022-09-22,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2022-09-23,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-09-24,Onset,3
Guatemala,GTM,AMRO,Region of the Americas,2022-09-25,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-09-26,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-09-27,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-09-28,Onset,3
Guatemala,GTM,AMRO,Region of the Americas,2022-09-29,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-09-30,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2022-10-01,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-10-02,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-10-03,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2022-10-04,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2022-10-05,Onset,5
Guatemala,GTM,AMRO,Region of the Americas,2022-10-06,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2022-10-07,Onset,4
Guatemala,GTM,AMRO,Region of the Americas,2022-10-08,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2022-10-09,Onset,4
Guatemala,GTM,AMRO,Region of the Americas,2022-10-10,Onset,3
Guatemala,GTM,AMRO,Region of the Americas,2022-10-11,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2022-10-14,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2022-10-15,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2022-10-16,Onset,4
Guatemala,GTM,AMRO,Region of the Americas,2022-10-17,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2022-10-18,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2022-10-19,Onset,3
Guatemala,GTM,AMRO,Region of the Americas,2022-10-22,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-10-23,Onset,3
