country,iso3,who_region,who_region_long,reference_date,date_type,cases
Hungary,HUN,EURO,European Region,2022-05-26,Onset,1
Hungary,HUN,EURO,European Region,2022-05-27,Onset,1
Hungary,HUN,EURO,European Region,2022-05-29,Onset,1
Hungary,HUN,EURO,European Region,2022-06-04,Onset,1
Hungary,HUN,EURO,European Region,2022-06-05,Onset,1
Hungary,HUN,EURO,European Region,2022-06-07,Onset,2
Hungary,HUN,EURO,European Region,2022-06-08,Onset,1
Hungary,HUN,EURO,European Region,2022-06-13,Onset,1
Hungary,HUN,EURO,European Region,2022-06-14,Onset,2
Hungary,HUN,EURO,European Region,2022-06-18,Onset,1
Hungary,HUN,EURO,European Region,2022-06-19,Onset,1
Hungary,HUN,EURO,European Region,2022-06-20,Onset,3
Hungary,HUN,EURO,European Region,2022-06-21,Onset,1
Hungary,HUN,EURO,European Region,2022-06-22,Onset,1
Hungary,HUN,EURO,European Region,2022-06-23,Onset,2
Hungary,HUN,EURO,European Region,2022-06-24,Onset,1
Hungary,HUN,EURO,European Region,2022-06-25,Onset,2
Hungary,HUN,EURO,European Region,2022-06-26,Onset,3
Hungary,HUN,EURO,European Region,2022-06-27,Onset,1
Hungary,HUN,EURO,European Region,2022-06-29,Onset,1
Hungary,HUN,EURO,European Region,2022-07-03,Onset,1
Hungary,HUN,EURO,European Region,2022-07-04,Onset,2
Hungary,HUN,EURO,European Region,2022-07-08,Onset,1
Hungary,HUN,EURO,European Region,2022-07-09,Onset,3
Hungary,HUN,EURO,European Region,2022-07-15,Onset,1
Hungary,HUN,EURO,European Region,2022-07-16,Onset,1
Hungary,HUN,EURO,European Region,2022-07-17,Onset,1
Hungary,HUN,EURO,European Region,2022-07-18,Onset,1
Hungary,HUN,EURO,European Region,2022-07-20,Onset,3
Hungary,HUN,EURO,European Region,2022-07-21,Onset,1
Hungary,HUN,EURO,European Region,2022-07-22,Onset,1
Hungary,HUN,EURO,European Region,2022-07-25,Onset,2
Hungary,HUN,EURO,European Region,2022-07-27,Onset,2
Hungary,HUN,EURO,European Region,2022-07-28,Onset,1
Hungary,HUN,EURO,European Region,2022-07-29,Onset,2
Hungary,HUN,EURO,European Region,2022-07-30,Onset,2
Hungary,HUN,EURO,European Region,2022-07-31,Onset,1
Hungary,HUN,EURO,European Region,2022-08-01,Onset,1
Hungary,HUN,EURO,European Region,2022-08-02,Onset,3
Hungary,HUN,EURO,European Region,2022-08-05,Onset,2
Hungary,HUN,EURO,European Region,2022-08-06,Onset,3
Hungary,HUN,EURO,European Region,2022-08-07,Onset,1
Hungary,HUN,EURO,European Region,2022-08-11,Onset,1
Hungary,HUN,EURO,European Region,2022-08-13,Onset,1
Hungary,HUN,EURO,European Region,2022-08-16,Onset,1
Hungary,HUN,EURO,European Region,2022-08-17,Onset,1
Hungary,HUN,EURO,European Region,2022-08-19,Onset,2
Hungary,HUN,EURO,European Region,2022-08-21,Onset,1
Hungary,HUN,EURO,European Region,2022-08-25,Onset,1
Hungary,HUN,EURO,European Region,2022-08-31,Onset,1
Hungary,HUN,EURO,European Region,2022-09-01,Onset,2
Hungary,HUN,EURO,European Region,2022-09-02,Onset,1
Hungary,HUN,EURO,European Region,2022-09-03,Onset,1
Hungary,HUN,EURO,European Region,2022-09-09,Onset,1
Hungary,HUN,EURO,European Region,2022-09-26,Onset,1
Hungary,HUN,EURO,European Region,2022-10-03,Onset,1
