country,iso3,who_region,who_region_long,reference_date,date_type,cases
Ireland,IRL,EURO,European Region,2022-05-16,Onset,1
Ireland,IRL,EURO,European Region,2022-05-20,Onset,1
Ireland,IRL,EURO,European Region,2022-05-21,Onset,1
Ireland,IRL,EURO,European Region,2022-05-24,Onset,1
Ireland,IRL,EURO,European Region,2022-05-25,Onset,1
Ireland,IRL,EURO,European Region,2022-05-27,Onset,3
Ireland,IRL,EURO,European Region,2022-05-29,Onset,2
Ireland,IRL,EURO,European Region,2022-05-30,Onset,1
Ireland,IRL,EURO,European Region,2022-06-03,Onset,1
Ireland,IRL,EURO,European Region,2022-06-04,Onset,2
Ireland,IRL,EURO,European Region,2022-06-06,Onset,3
Ireland,IRL,EURO,European Region,2022-06-08,Onset,3
Ireland,IRL,EURO,European Region,2022-06-09,Onset,3
Ireland,IRL,EURO,European Region,2022-06-10,Onset,1
Ireland,IRL,EURO,European Region,2022-06-11,Onset,3
Ireland,IRL,EURO,European Region,2022-06-13,Onset,1
Ireland,IRL,EURO,European Region,2022-06-14,Onset,2
Ireland,IRL,EURO,European Region,2022-06-15,Onset,3
Ireland,IRL,EURO,European Region,2022-06-16,Onset,2
Ireland,IRL,EURO,European Region,2022-06-17,Onset,1
Ireland,IRL,EURO,European Region,2022-06-19,Onset,2
Ireland,IRL,EURO,European Region,2022-06-21,Onset,1
Ireland,IRL,EURO,European Region,2022-06-23,Onset,1
Ireland,IRL,EURO,European Region,2022-06-24,Onset,2
Ireland,IRL,EURO,European Region,2022-06-25,Onset,1
Ireland,IRL,EURO,European Region,2022-06-27,Onset,2
Ireland,IRL,EURO,European Region,2022-06-28,Diagnosis,1
Ireland,IRL,EURO,European Region,2022-06-28,Onset,5
Ireland,IRL,EURO,European Region,2022-06-29,Onset,3
Ireland,IRL,EURO,European Region,2022-06-30,Diagnosis,1
Ireland,IRL,EURO,European Region,2022-07-01,Onset,2
Ireland,IRL,EURO,European Region,2022-07-03,Onset,1
Ireland,IRL,EURO,European Region,2022-07-04,Onset,4
Ireland,IRL,EURO,European Region,2022-07-06,Diagnosis,3
Ireland,IRL,EURO,European Region,2022-07-07,Diagnosis,1
Ireland,IRL,EURO,European Region,2022-07-07,Onset,1
Ireland,IRL,EURO,European Region,2022-07-08,Onset,2
Ireland,IRL,EURO,European Region,2022-07-09,Onset,1
Ireland,IRL,EURO,European Region,2022-07-10,Onset,2
Ireland,IRL,EURO,European Region,2022-07-11,Diagnosis,1
Ireland,IRL,EURO,European Region,2022-07-11,Onset,2
Ireland,IRL,EURO,European Region,2022-07-12,Onset,1
Ireland,IRL,EURO,European Region,2022-07-13,Onset,3
Ireland,IRL,EURO,European Region,2022-07-14,Reported,1
Ireland,IRL,EURO,European Region,2022-07-14,Onset,2
Ireland,IRL,EURO,European Region,2022-07-15,Onset,2
Ireland,IRL,EURO,European Region,2022-07-16,Onset,3
Ireland,IRL,EURO,European Region,2022-07-18,Diagnosis,1
Ireland,IRL,EURO,European Region,2022-07-19,Onset,2
Ireland,IRL,EURO,European Region,2022-07-20,Onset,2
Ireland,IRL,EURO,European Region,2022-07-23,Diagnosis,1
Ireland,IRL,EURO,European Region,2022-07-23,Onset,1
Ireland,IRL,EURO,European Region,2022-07-24,Onset,1
Ireland,IRL,EURO,European Region,2022-07-25,Onset,1
Ireland,IRL,EURO,European Region,2022-07-26,Onset,1
Ireland,IRL,EURO,European Region,2022-07-27,Onset,1
Ireland,IRL,EURO,European Region,2022-07-28,Diagnosis,1
Ireland,IRL,EURO,European Region,2022-07-31,Onset,1
Ireland,IRL,EURO,European Region,2022-08-01,Onset,1
Ireland,IRL,EURO,European Region,2022-08-02,Reported,1
Ireland,IRL,EURO,European Region,2022-08-02,Onset,2
Ireland,IRL,EURO,European Region,2022-08-04,Diagnosis,1
Ireland,IRL,EURO,European Region,2022-08-04,Onset,2
Ireland,IRL,EURO,European Region,2022-08-05,Diagnosis,1
Ireland,IRL,EURO,European Region,2022-08-05,Onset,4
