country,iso3,who_region,who_region_long,reference_date,date_type,cases
Israel,ISR,EURO,European Region,2022-05-16,Onset,1
Israel,ISR,EURO,European Region,2022-05-26,Onset,1
Israel,ISR,EURO,European Region,2022-06-01,Onset,1
Israel,ISR,EURO,European Region,2022-06-06,Onset,1
Israel,ISR,EURO,European Region,2022-06-09,Onset,1
Israel,ISR,EURO,European Region,2022-06-10,Onset,1
Israel,ISR,EURO,European Region,2022-06-13,Onset,2
Israel,ISR,EURO,European Region,2022-06-14,Onset,2
Israel,ISR,EURO,European Region,2022-06-15,Onset,1
Israel,ISR,EURO,European Region,2022-06-16,Onset,1
Israel,ISR,EURO,European Region,2022-06-17,Onset,3
Israel,ISR,EURO,European Region,2022-06-18,Onset,1
Israel,ISR,EURO,European Region,2022-06-19,Onset,2
Israel,ISR,EURO,European Region,2022-06-26,Onset,2
Israel,ISR,EURO,European Region,2022-07-01,Onset,3
Israel,ISR,EURO,European Region,2022-07-02,Onset,2
Israel,ISR,EURO,European Region,2022-07-03,Onset,4
Israel,ISR,EURO,European Region,2022-07-04,Onset,2
Israel,ISR,EURO,European Region,2022-07-05,Onset,3
Israel,ISR,EURO,European Region,2022-07-06,Onset,3
Israel,ISR,EURO,European Region,2022-07-07,Onset,4
Israel,ISR,EURO,European Region,2022-07-08,Onset,5
Israel,ISR,EURO,European Region,2022-07-09,Onset,3
Israel,ISR,EURO,European Region,2022-07-10,Onset,7
Israel,ISR,EURO,European Region,2022-07-11,Onset,5
Israel,ISR,EURO,European Region,2022-07-12,Onset,5
Israel,ISR,EURO,European Region,2022-07-13,Onset,4
Israel,ISR,EURO,European Region,2022-07-14,Onset,6
Israel,ISR,EURO,European Region,2022-07-15,Onset,4
Israel,ISR,EURO,European Region,2022-07-16,Onset,4
Israel,ISR,EURO,European Region,2022-07-17,Onset,7
Israel,ISR,EURO,European Region,2022-07-18,Onset,5
Israel,ISR,EURO,European Region,2022-07-19,Onset,7
Israel,ISR,EURO,European Region,2022-07-20,Onset,4
Israel,ISR,EURO,European Region,2022-07-21,Onset,4
Israel,ISR,EURO,European Region,2022-07-22,Onset,9
Israel,ISR,EURO,European Region,2022-07-23,Onset,5
Israel,ISR,EURO,European Region,2022-07-24,Onset,8
Israel,ISR,EURO,European Region,2022-07-25,Onset,6
Israel,ISR,EURO,European Region,2022-07-26,Onset,4
Israel,ISR,EURO,European Region,2022-07-27,Onset,7
Israel,ISR,EURO,European Region,2022-07-28,Onset,6
Israel,ISR,EURO,European Region,2022-07-29,Onset,4
Israel,ISR,EURO,European Region,2022-07-30,Onset,3
Israel,ISR,EURO,European Region,2022-07-31,Onset,1
Israel,ISR,EURO,European Region,2022-08-01,Onset,4
Israel,ISR,EURO,European Region,2022-08-02,Onset,2
Israel,ISR,EURO,European Region,2022-08-03,Onset,1
Israel,ISR,EURO,European Region,2022-08-04,Onset,4
Israel,ISR,EURO,European Region,2022-08-05,Onset,3
Israel,ISR,EURO,European Region,2022-08-06,Onset,1
Israel,ISR,EURO,European Region,2022-08-07,Onset,4
Israel,ISR,EURO,European Region,2022-08-08,Onset,3
Israel,ISR,EURO,European Region,2022-08-09,Onset,3
Israel,ISR,EURO,European Region,2022-08-10,Onset,1
Israel,ISR,EURO,European Region,2022-08-11,Onset,8
Israel,ISR,EURO,European Region,2022-08-12,Onset,7
Israel,ISR,EURO,European Region,2022-08-13,Onset,1
Israel,ISR,EURO,European Region,2022-08-14,Onset,4
Israel,ISR,EURO,European Region,2022-08-15,Onset,4
Israel,ISR,EURO,European Region,2022-08-16,Onset,2
Israel,ISR,EURO,European Region,2022-08-17,Onset,1
Israel,ISR,EURO,European Region,2022-08-18,Onset,4
Israel,ISR,EURO,European Region,2022-08-20,Onset,1
Israel,ISR,EURO,European Region,2022-08-21,Onset,4
Israel,ISR,EURO,European Region,2022-08-22,Onset,2
Israel,ISR,EURO,European Region,2022-08-24,Onset,2
