country,iso3,who_region,who_region_long,reference_date,date_type,cases
Lebanon,LBN,EMRO,Eastern Mediterranean Region,2022-06-06,Onset,1
Lebanon,LBN,EMRO,Eastern Mediterranean Region,2022-06-27,Onset,1
Lebanon,LBN,EMRO,Eastern Mediterranean Region,2022-06-28,Onset,1
Lebanon,LBN,EMRO,Eastern Mediterranean Region,2022-07-12,Onset,1
Lebanon,LBN,EMRO,Eastern Mediterranean Region,2022-07-23,Onset,1
Lebanon,LBN,EMRO,Eastern Mediterranean Region,2022-07-24,Onset,1
Lebanon,LBN,EMRO,Eastern Mediterranean Region,2022-08-08,Onset,1
Lebanon,LBN,EMRO,Eastern Mediterranean Region,2022-08-10,Onset,1
Lebanon,LBN,EMRO,Eastern Mediterranean Region,2022-08-23,Onset,1
Lebanon,LBN,EMRO,Eastern Mediterranean Region,2022-08-24,Onset,1
Lebanon,LBN,EMRO,Eastern Mediterranean Region,2022-08-26,Onset,1
Lebanon,LBN,EMRO,Eastern Mediterranean Region,2022-09-14,Onset,1
Lebanon,LBN,EMRO,Eastern Mediterranean Region,2022-09-15,Onset,1
Lebanon,LBN,EMRO,Eastern Mediterranean Region,2022-09-22,Onset,1
Lebanon,LBN,EMRO,Eastern Mediterranean Region,2022-09-24,Onset,1
Lebanon,LBN,EMRO,Eastern Mediterranean Region,2022-09-29,Onset,1
Lebanon,LBN,EMRO,Eastern Mediterranean Region,2022-10-04,Onset,1
Lebanon,LBN,EMRO,Eastern Mediterranean Region,2022-10-06,Onset,1
