country,iso3,who_region,who_region_long,reference_date,date_type,cases
Luxembourg,LUX,EURO,European Region,2022-06-05,Onset,1
Luxembourg,LUX,EURO,European Region,2022-06-19,Onset,1
Luxembourg,LUX,EURO,European Region,2022-06-20,Onset,1
Luxembourg,LUX,EURO,European Region,2022-06-27,Onset,2
Luxembourg,LUX,EURO,European Region,2022-06-30,Onset,1
Luxembourg,LUX,EURO,European Region,2022-07-04,Onset,2
Luxembourg,LUX,EURO,European Region,2022-07-05,Onset,1
Luxembourg,LUX,EURO,European Region,2022-07-06,Onset,1
Luxembourg,LUX,EURO,European Region,2022-07-07,Onset,2
Luxembourg,LUX,EURO,European Region,2022-07-12,Onset,1
Luxembourg,LUX,EURO,European Region,2022-07-13,Onset,1
Luxembourg,LUX,EURO,European Region,2022-07-14,Onset,1
Luxembourg,LUX,EURO,European Region,2022-07-15,Onset,1
Luxembourg,LUX,EURO,European Region,2022-07-17,Onset,3
Luxembourg,LUX,EURO,European Region,2022-07-18,Onset,1
Luxembourg,LUX,EURO,European Region,2022-07-19,Onset,1
Luxembourg,LUX,EURO,European Region,2022-07-20,Onset,1
Luxembourg,LUX,EURO,European Region,2022-07-21,Onset,1
Luxembourg,LUX,EURO,European Region,2022-07-22,Onset,4
Luxembourg,LUX,EURO,European Region,2022-07-23,Onset,1
Luxembourg,LUX,EURO,European Region,2022-07-24,Onset,2
Luxembourg,LUX,EURO,European Region,2022-07-25,Onset,1
Luxembourg,LUX,EURO,European Region,2022-07-26,Onset,2
Luxembourg,LUX,EURO,European Region,2022-07-29,Onset,1
Luxembourg,LUX,EURO,European Region,2022-07-31,Onset,2
Luxembourg,LUX,EURO,European Region,2022-08-01,Onset,3
Luxembourg,LUX,EURO,European Region,2022-08-02,Onset,1
Luxembourg,LUX,EURO,European Region,2022-08-03,Onset,1
Luxembourg,LUX,EURO,European Region,2022-08-04,Onset,2
Luxembourg,LUX,EURO,European Region,2022-08-07,Onset,1
Luxembourg,LUX,EURO,European Region,2022-08-10,Onset,1
Luxembourg,LUX,EURO,European Region,2022-08-11,Onset,1
Luxembourg,LUX,EURO,European Region,2022-08-12,Onset,3
Luxembourg,LUX,EURO,European Region,2022-08-16,Onset,1
Luxembourg,LUX,EURO,European Region,2022-08-17,Onset,1
Luxembourg,LUX,EURO,European Region,2022-08-19,Onset,1
Luxembourg,LUX,EURO,European Region,2022-08-20,Onset,1
Luxembourg,LUX,EURO,European Region,2022-09-01,Onset,1
Luxembourg,LUX,EURO,European Region,2022-09-04,Onset,1
