country,iso3,who_region,who_region_long,reference_date,date_type,cases
Malta,MLT,EURO,European Region,2022-05-15,Onset,1
Malta,MLT,EURO,European Region,2022-05-21,Onset,1
Malta,MLT,EURO,European Region,2022-06-07,Onset,1
Malta,MLT,EURO,European Region,2022-06-12,Onset,1
Malta,MLT,EURO,European Region,2022-06-14,Onset,1
Malta,MLT,EURO,European Region,2022-06-16,Onset,1
Malta,MLT,EURO,European Region,2022-06-21,Onset,2
Malta,MLT,EURO,European Region,2022-06-22,Onset,2
Malta,MLT,EURO,European Region,2022-06-23,Onset,1
Malta,MLT,EURO,European Region,2022-06-25,Onset,1
Malta,MLT,EURO,European Region,2022-06-26,Onset,1
Malta,MLT,EURO,European Region,2022-06-28,Onset,1
Malta,MLT,EURO,European Region,2022-07-05,Onset,1
Malta,MLT,EURO,European Region,2022-07-06,Onset,1
Malta,MLT,EURO,European Region,2022-07-07,Onset,1
Malta,MLT,EURO,European Region,2022-07-09,Onset,2
Malta,MLT,EURO,European Region,2022-07-10,Onset,2
Malta,MLT,EURO,European Region,2022-07-16,Diagnosis,1
Malta,MLT,EURO,European Region,2022-07-16,Onset,1
Malta,MLT,EURO,European Region,2022-07-22,Diagnosis,1
Malta,MLT,EURO,European Region,2022-07-28,Onset,1
Malta,MLT,EURO,European Region,2022-07-30,Onset,1
Malta,MLT,EURO,European Region,2022-07-31,Onset,2
Malta,MLT,EURO,European Region,2022-08-01,Diagnosis,1
Malta,MLT,EURO,European Region,2022-08-01,Onset,1
Malta,MLT,EURO,European Region,2022-08-11,Onset,1
Malta,MLT,EURO,European Region,2022-08-12,Onset,1
Malta,MLT,EURO,European Region,2022-08-18,Onset,1
