country,iso3,who_region,who_region_long,reference_date,date_type,cases
Mexico,MEX,AMRO,Region of the Americas,2022-05-20,Onset,1
Mexico,MEX,AMRO,Region of the Americas,2022-06-01,Onset,1
Mexico,MEX,AMRO,Region of the Americas,2022-06-02,Onset,1
Mexico,MEX,AMRO,Region of the Americas,2022-06-04,Onset,1
Mexico,MEX,AMRO,Region of the Americas,2022-06-05,Onset,3
Mexico,MEX,AMRO,Region of the Americas,2022-06-06,Onset,2
Mexico,MEX,AMRO,Region of the Americas,2022-06-07,Onset,1
Mexico,MEX,AMRO,Region of the Americas,2022-06-08,Onset,1
Mexico,MEX,AMRO,Region of the Americas,2022-06-09,Onset,1
Mexico,MEX,AMRO,Region of the Americas,2022-06-11,Onset,1
Mexico,MEX,AMRO,Region of the Americas,2022-06-14,Onset,1
Mexico,MEX,AMRO,Region of the Americas,2022-06-15,Onset,1
Mexico,MEX,AMRO,Region of the Americas,2022-06-16,Onset,1
Mexico,MEX,AMRO,Region of the Americas,2022-06-17,Onset,1
Mexico,MEX,AMRO,Region of the Americas,2022-06-18,Onset,2
Mexico,MEX,AMRO,Region of the Americas,2022-06-19,Onset,1
Mexico,MEX,AMRO,Region of the Americas,2022-06-20,Onset,1
Mexico,MEX,AMRO,Region of the Americas,2022-06-21,Onset,1
Mexico,MEX,AMRO,Region of the Americas,2022-06-22,Onset,4
Mexico,MEX,AMRO,Region of the Americas,2022-06-23,Onset,2
Mexico,MEX,AMRO,Region of the Americas,2022-06-24,Onset,1
Mexico,MEX,AMRO,Region of the Americas,2022-06-26,Onset,3
Mexico,MEX,AMRO,Region of the Americas,2022-06-27,Onset,1
Mexico,MEX,AMRO,Region of the Americas,2022-06-29,Onset,1
Mexico,MEX,AMRO,Region of the Americas,2022-07-01,Onset,1
Mexico,MEX,AMRO,Region of the Americas,2022-07-02,Onset,4
Mexico,MEX,AMRO,Region of the Americas,2022-07-03,Onset,3
Mexico,MEX,AMRO,Region of the Americas,2022-07-04,Onset,4
Mexico,MEX,AMRO,Region of the Americas,2022-07-06,Onset,5
Mexico,MEX,AMRO,Region of the Americas,2022-07-07,Onset,2
Mexico,MEX,AMRO,Region of the Americas,2022-07-08,Onset,2
Mexico,MEX,AMRO,Region of the Americas,2022-07-09,Onset,2
Mexico,MEX,AMRO,Region of the Americas,2022-07-10,Onset,6
Mexico,MEX,AMRO,Region of the Americas,2022-07-11,Onset,2
Mexico,MEX,AMRO,Region of the Americas,2022-07-12,Onset,1
Mexico,MEX,AMRO,Region of the Americas,2022-07-13,Onset,4
Mexico,MEX,AMRO,Region of the Americas,2022-07-14,Onset,2
Mexico,MEX,AMRO,Region of the Americas,2022-07-15,Onset,9
Mexico,MEX,AMRO,Region of the Americas,2022-07-16,Onset,1
Mexico,MEX,AMRO,Region of the Americas,2022-07-17,Onset,6
Mexico,MEX,AMRO,Region of the Americas,2022-07-18,Onset,10
Mexico,MEX,AMRO,Region of the Americas,2022-07-19,Onset,6
Mexico,MEX,AMRO,Region of the Americas,2022-07-20,Onset,8
Mexico,MEX,AMRO,Region of the Americas,2022-07-21,Onset,12
Mexico,MEX,AMRO,Region of the Americas,2022-07-22,Onset,9
Mexico,MEX,AMRO,Region of the Americas,2022-07-23,Onset,6
Mexico,MEX,AMRO,Region of the Americas,2022-07-24,Onset,12
Mexico,MEX,AMRO,Region of the Americas,2022-07-25,Onset,13
Mexico,MEX,AMRO,Region of the Americas,2022-07-26,Onset,6
Mexico,MEX,AMRO,Region of the Americas,2022-07-27,Onset,13
Mexico,MEX,AMRO,Region of the Americas,2022-07-28,Onset,18
Mexico,MEX,AMRO,Region of the Americas,2022-07-29,Onset,10
Mexico,MEX,AMRO,Region of the Americas,2022-07-30,Onset,12
Mexico,MEX,AMRO,Region of the Americas,2022-07-31,Onset,12
Mexico,MEX,AMRO,Region of the Americas,2022-08-01,Onset,32
Mexico,MEX,AMRO,Region of the Americas,2022-08-02,Onset,12
Mexico,MEX,AMRO,Region of the Americas,2022-08-03,Onset,14
Mexico,MEX,AMRO,Region of the Americas,2022-08-04,Onset,15
Mexico,MEX,AMRO,Region of the Americas,2022-08-05,Onset,17
Mexico,MEX,AMRO,Region of the Americas,2022-08-06,Onset,15
Mexico,MEX,AMRO,Region of the Americas,2022-08-07,Onset,14
Mexico,MEX,AMRO,Region of the Americas,2022-08-08,Onset,27
Mexico,MEX,AMRO,Region of the Americas,2022-08-09,Onset,15
Mexico,MEX,AMRO,Region of the Americas,2022-08-10,Onset,24
Mexico,MEX,AMRO,Region of the Americas,2022-08-11,Onset,29
Mexico,MEX,AMRO,Region of the Americas,2022-08-12,Onset,19
Mexico,MEX,AMRO,Region of the Americas,2022-08-13,Onset,23
Mexico,MEX,AMRO,Region of the Americas,2022-08-14,Onset,26
Mexico,MEX,AMRO,Region of the Americas,2022-08-15,Onset,44
Mexico,MEX,AMRO,Region of the Americas,2022-08-16,Onset,21
Mexico,MEX,AMRO,Region of the Americas,2022-08-17,Onset,20
Mexico,MEX,AMRO,Region of the Americas,2022-08-18,Onset,23
Mexico,MEX,AMRO,Region of the Americas,2022-08-19,Onset,26
Mexico,MEX,AMRO,Region of the Americas,2022-08-20,Onset,29
Mexico,MEX,AMRO,Region of the Americas,2022-08-21,Onset,23
Mexico,MEX,AMRO,Region of the Americas,2022-08-22,Onset,40
Mexico,MEX,AMRO,Region of the Americas,2022-08-23,Onset,30
Mexico,MEX,AMRO,Region of the Americas,2022-08-24,Onset,46
Mexico,MEX,AMRO,Region of the Americas,2022-08-25,Onset,51
Mexico,MEX,AMRO,Region of the Americas,2022-08-26,Onset,40
Mexico,MEX,AMRO,Region of the Americas,2022-08-27,Onset,27
Mexico,MEX,AMRO,Region of the Americas,2022-08-28,Onset,36
Mexico,MEX,AMRO,Region of the Americas,2022-08-29,Onset,42
Mexico,MEX,AMRO,Region of the Americas,2022-08-30,Onset,37
Mexico,MEX,AMRO,Region of the Americas,2022-08-31,Onset,39
Mexico,MEX,AMRO,Region of the Americas,2022-09-01,Onset,39
Mexico,MEX,AMRO,Region of the Americas,2022-09-02,Onset,39
Mexico,MEX,AMRO,Region of the Americas,2022-09-03,Onset,36
Mexico,MEX,AMRO,Region of the Americas,2022-09-04,Onset,42
Mexico,MEX,AMRO,Region of the Americas,2022-09-05,Onset,57
Mexico,MEX,AMRO,Region of the Americas,2022-09-06,Onset,35
Mexico,MEX,AMRO,Region of the Americas,2022-09-07,Onset,31
Mexico,MEX,AMRO,Region of the Americas,2022-09-08,Onset,52
Mexico,MEX,AMRO,Region of the Americas,2022-09-09,Onset,45
Mexico,MEX,AMRO,Region of the Americas,2022-09-10,Onset,45
Mexico,MEX,AMRO,Region of the Americas,2022-09-11,Onset,24
Mexico,MEX,AMRO,Region of the Americas,2022-09-12,Onset,53
Mexico,MEX,AMRO,Region of the Americas,2022-09-13,Onset,49
Mexico,MEX,AMRO,Region of the Americas,2022-09-14,Onset,43
Mexico,MEX,AMRO,Region of the Americas,2022-09-15,Onset,36
Mexico,MEX,AMRO,Region of the Americas,2022-09-16,Onset,44
Mexico,MEX,AMRO,Region of the Americas,2022-09-17,Onset,33
Mexico,MEX,AMRO,Region of the Americas,2022-09-18,Onset,31
Mexico,MEX,AMRO,Region of the Americas,2022-09-19,Onset,58
Mexico,MEX,AMRO,Region of the Americas,2022-09-20,Onset,27
Mexico,MEX,AMRO,Region of the Americas,2022-09-21,Onset,38
Mexico,MEX,AMRO,Region of the Americas,2022-09-22,Onset,41
Mexico,MEX,AMRO,Region of the Americas,2022-09-23,Onset,43
Mexico,MEX,AMRO,Region of the Americas,2022-09-24,Onset,46
Mexico,MEX,AMRO,Region of the Americas,2022-09-25,Onset,39
Mexico,MEX,AMRO,Region of the Americas,2022-09-26,Onset,54
Mexico,MEX,AMRO,Region of the Americas,2022-09-27,Onset,34
Mexico,MEX,AMRO,Region of the Americas,2022-09-28,Onset,25
Mexico,MEX,AMRO,Region of the Americas,2022-09-29,Onset,26
Mexico,MEX,AMRO,Region of the Americas,2022-09-30,Onset,28
Mexico,MEX,AMRO,Region of the Americas,2022-10-01,Onset,33
Mexico,MEX,AMRO,Region of the Americas,2022-10-02,Onset,25
Mexico,MEX,AMRO,Region of the Americas,2022-10-03,Onset,43
Mexico,MEX,AMRO,Region of the Americas,2022-10-04,Onset,27
Mexico,MEX,AMRO,Region of the Americas,2022-10-05,Onset,31
Mexico,MEX,AMRO,Region of the Americas,2022-10-06,Onset,26
Mexico,MEX,AMRO,Region of the Americas,2022-10-07,Onset,28
Mexico,MEX,AMRO,Region of the Americas,2022-10-08,Onset,24
Mexico,MEX,AMRO,Region of the Americas,2022-10-09,Onset,23
Mexico,MEX,AMRO,Region of the Americas,2022-10-10,Onset,30
Mexico,MEX,AMRO,Region of the Americas,2022-10-11,Onset,28
Mexico,MEX,AMRO,Region of the Americas,2022-10-12,Onset,11
