country,iso3,who_region,who_region_long,reference_date,date_type,cases
Netherlands,NLD,EURO,European Region,2022-04-27,Onset,1
Netherlands,NLD,EURO,European Region,2022-04-30,Onset,1
Netherlands,NLD,EURO,European Region,2022-05-01,Onset,1
Netherlands,NLD,EURO,European Region,2022-05-02,Onset,1
Netherlands,NLD,EURO,European Region,2022-05-12,Onset,1
Netherlands,NLD,EURO,European Region,2022-05-14,Onset,1
Netherlands,NLD,EURO,European Region,2022-05-15,Onset,2
Netherlands,NLD,EURO,European Region,2022-05-16,Onset,6
Netherlands,NLD,EURO,European Region,2022-05-17,Onset,4
Netherlands,NLD,EURO,European Region,2022-05-18,Onset,3
Netherlands,NLD,EURO,European Region,2022-05-19,Onset,1
Netherlands,NLD,EURO,European Region,2022-05-20,Onset,5
Netherlands,NLD,EURO,European Region,2022-05-21,Onset,6
Netherlands,NLD,EURO,European Region,2022-05-22,Onset,1
Netherlands,NLD,EURO,European Region,2022-05-24,Onset,2
Netherlands,NLD,EURO,European Region,2022-05-25,Onset,6
Netherlands,NLD,EURO,European Region,2022-05-26,Onset,2
Netherlands,NLD,EURO,European Region,2022-05-27,Onset,3
Netherlands,NLD,EURO,European Region,2022-05-28,Onset,8
Netherlands,NLD,EURO,European Region,2022-05-29,Onset,8
Netherlands,NLD,EURO,European Region,2022-05-30,Onset,3
Netherlands,NLD,EURO,European Region,2022-05-31,Onset,3
Netherlands,NLD,EURO,European Region,2022-06-01,Onset,6
Netherlands,NLD,EURO,European Region,2022-06-02,Onset,5
Netherlands,NLD,EURO,European Region,2022-06-03,Onset,10
Netherlands,NLD,EURO,European Region,2022-06-04,Onset,4
Netherlands,NLD,EURO,European Region,2022-06-05,Onset,9
Netherlands,NLD,EURO,European Region,2022-06-06,Onset,7
Netherlands,NLD,EURO,European Region,2022-06-07,Onset,9
Netherlands,NLD,EURO,European Region,2022-06-08,Onset,11
Netherlands,NLD,EURO,European Region,2022-06-09,Onset,14
Netherlands,NLD,EURO,European Region,2022-06-10,Onset,7
Netherlands,NLD,EURO,European Region,2022-06-11,Onset,5
Netherlands,NLD,EURO,European Region,2022-06-12,Onset,19
Netherlands,NLD,EURO,European Region,2022-06-13,Onset,11
Netherlands,NLD,EURO,European Region,2022-06-14,Onset,15
Netherlands,NLD,EURO,European Region,2022-06-15,Onset,9
Netherlands,NLD,EURO,European Region,2022-06-16,Onset,11
Netherlands,NLD,EURO,European Region,2022-06-17,Onset,14
Netherlands,NLD,EURO,European Region,2022-06-18,Onset,16
Netherlands,NLD,EURO,European Region,2022-06-19,Onset,13
Netherlands,NLD,EURO,European Region,2022-06-20,Onset,33
Netherlands,NLD,EURO,European Region,2022-06-21,Onset,15
Netherlands,NLD,EURO,European Region,2022-06-22,Onset,22
Netherlands,NLD,EURO,European Region,2022-06-23,Onset,15
Netherlands,NLD,EURO,European Region,2022-06-24,Onset,15
Netherlands,NLD,EURO,European Region,2022-06-25,Onset,24
Netherlands,NLD,EURO,European Region,2022-06-26,Onset,12
Netherlands,NLD,EURO,European Region,2022-06-27,Onset,20
Netherlands,NLD,EURO,European Region,2022-06-28,Onset,16
Netherlands,NLD,EURO,European Region,2022-06-29,Onset,25
Netherlands,NLD,EURO,European Region,2022-06-30,Onset,23
Netherlands,NLD,EURO,European Region,2022-07-01,Onset,25
Netherlands,NLD,EURO,European Region,2022-07-02,Onset,16
Netherlands,NLD,EURO,European Region,2022-07-03,Onset,17
Netherlands,NLD,EURO,European Region,2022-07-04,Onset,23
Netherlands,NLD,EURO,European Region,2022-07-05,Onset,19
Netherlands,NLD,EURO,European Region,2022-07-06,Onset,26
Netherlands,NLD,EURO,European Region,2022-07-07,Onset,26
Netherlands,NLD,EURO,European Region,2022-07-08,Onset,31
Netherlands,NLD,EURO,European Region,2022-07-09,Onset,19
Netherlands,NLD,EURO,European Region,2022-07-10,Onset,26
Netherlands,NLD,EURO,European Region,2022-07-11,Onset,25
Netherlands,NLD,EURO,European Region,2022-07-12,Onset,19
Netherlands,NLD,EURO,European Region,2022-07-13,Onset,21
Netherlands,NLD,EURO,European Region,2022-07-14,Onset,21
Netherlands,NLD,EURO,European Region,2022-07-15,Onset,26
Netherlands,NLD,EURO,European Region,2022-07-16,Onset,18
Netherlands,NLD,EURO,European Region,2022-07-17,Onset,13
Netherlands,NLD,EURO,European Region,2022-07-18,Onset,21
Netherlands,NLD,EURO,European Region,2022-07-19,Onset,14
Netherlands,NLD,EURO,European Region,2022-07-20,Onset,16
Netherlands,NLD,EURO,European Region,2022-07-21,Onset,10
Netherlands,NLD,EURO,European Region,2022-07-22,Onset,14
Netherlands,NLD,EURO,European Region,2022-07-23,Onset,12
Netherlands,NLD,EURO,European Region,2022-07-24,Onset,10
Netherlands,NLD,EURO,European Region,2022-07-25,Onset,23
Netherlands,NLD,EURO,European Region,2022-07-26,Onset,9
Netherlands,NLD,EURO,European Region,2022-07-27,Onset,6
Netherlands,NLD,EURO,European Region,2022-07-28,Onset,11
Netherlands,NLD,EURO,European Region,2022-07-29,Onset,9
Netherlands,NLD,EURO,European Region,2022-07-30,Onset,8
Netherlands,NLD,EURO,European Region,2022-07-31,Onset,5
Netherlands,NLD,EURO,European Region,2022-08-01,Onset,12
Netherlands,NLD,EURO,European Region,2022-08-02,Onset,13
Netherlands,NLD,EURO,European Region,2022-08-03,Onset,3
Netherlands,NLD,EURO,European Region,2022-08-04,Onset,4
Netherlands,NLD,EURO,European Region,2022-08-05,Onset,8
Netherlands,NLD,EURO,European Region,2022-08-06,Onset,7
Netherlands,NLD,EURO,European Region,2022-08-07,Onset,11
Netherlands,NLD,EURO,European Region,2022-08-08,Onset,8
Netherlands,NLD,EURO,European Region,2022-08-09,Onset,10
Netherlands,NLD,EURO,European Region,2022-08-10,Onset,10
Netherlands,NLD,EURO,European Region,2022-08-11,Onset,2
Netherlands,NLD,EURO,European Region,2022-08-12,Onset,9
Netherlands,NLD,EURO,European Region,2022-08-13,Onset,6
Netherlands,NLD,EURO,European Region,2022-08-14,Onset,7
Netherlands,NLD,EURO,European Region,2022-08-15,Onset,11
Netherlands,NLD,EURO,European Region,2022-08-16,Onset,6
Netherlands,NLD,EURO,European Region,2022-08-17,Onset,3
Netherlands,NLD,EURO,European Region,2022-08-18,Onset,3
Netherlands,NLD,EURO,European Region,2022-08-19,Onset,3
Netherlands,NLD,EURO,European Region,2022-08-20,Onset,4
Netherlands,NLD,EURO,European Region,2022-08-21,Onset,3
Netherlands,NLD,EURO,European Region,2022-08-22,Onset,10
Netherlands,NLD,EURO,European Region,2022-08-23,Onset,4
Netherlands,NLD,EURO,European Region,2022-08-24,Onset,6
Netherlands,NLD,EURO,European Region,2022-08-25,Onset,1
Netherlands,NLD,EURO,European Region,2022-08-26,Onset,1
Netherlands,NLD,EURO,European Region,2022-08-27,Onset,1
Netherlands,NLD,EURO,European Region,2022-08-28,Onset,4
Netherlands,NLD,EURO,European Region,2022-08-29,Onset,4
Netherlands,NLD,EURO,European Region,2022-09-01,Onset,5
Netherlands,NLD,EURO,European Region,2022-09-02,Onset,1
Netherlands,NLD,EURO,European Region,2022-09-03,Onset,2
Netherlands,NLD,EURO,European Region,2022-09-04,Onset,2
Netherlands,NLD,EURO,European Region,2022-09-05,Onset,2
Netherlands,NLD,EURO,European Region,2022-09-06,Onset,1
Netherlands,NLD,EURO,European Region,2022-09-08,Onset,1
Netherlands,NLD,EURO,European Region,2022-09-09,Onset,3
Netherlands,NLD,EURO,European Region,2022-09-10,Onset,1
Netherlands,NLD,EURO,European Region,2022-09-11,Onset,2
Netherlands,NLD,EURO,European Region,2022-09-13,Onset,1
Netherlands,NLD,EURO,European Region,2022-09-15,Onset,1
