country,iso3,who_region,who_region_long,reference_date,date_type,cases
New Zealand,NZL,WPRO,Western Pacific Region,2022-07-06,Onset,1
New Zealand,NZL,WPRO,Western Pacific Region,2022-07-12,Reported,1
New Zealand,NZL,WPRO,Western Pacific Region,2022-08-02,Reported,1
New Zealand,NZL,WPRO,Western Pacific Region,2022-09-03,Reported,1
New Zealand,NZL,WPRO,Western Pacific Region,2022-09-22,Reported,4
New Zealand,NZL,WPRO,Western Pacific Region,2022-10-06,Reported,2
New Zealand,NZL,WPRO,Western Pacific Region,2022-10-12,Reported,9
New Zealand,NZL,WPRO,Western Pacific Region,2022-10-13,Reported,3
New Zealand,NZL,WPRO,Western Pacific Region,2022-10-17,Reported,2
New Zealand,NZL,WPRO,Western Pacific Region,2022-10-20,Reported,2
New Zealand,NZL,WPRO,Western Pacific Region,2022-10-27,Reported,1
