country,iso3,who_region,who_region_long,reference_date,date_type,cases
Nigeria,NGA,AFRO,African Region,2022-01-06,Onset,1
Nigeria,NGA,AFRO,African Region,2022-02-05,Onset,1
Nigeria,NGA,AFRO,African Region,2022-02-06,Onset,1
Nigeria,NGA,AFRO,African Region,2022-02-07,Onset,1
Nigeria,NGA,AFRO,African Region,2022-02-18,Onset,1
Nigeria,NGA,AFRO,African Region,2022-02-19,Onset,1
Nigeria,NGA,AFRO,African Region,2022-02-25,Onset,1
Nigeria,NGA,AFRO,African Region,2022-03-09,Diagnosis,2
Nigeria,NGA,AFRO,African Region,2022-03-25,Onset,1
Nigeria,NGA,AFRO,African Region,2022-03-30,Onset,1
Nigeria,NGA,AFRO,African Region,2022-04-15,Onset,1
Nigeria,NGA,AFRO,African Region,2022-04-24,Onset,1
Nigeria,NGA,AFRO,African Region,2022-04-26,Onset,1
Nigeria,NGA,AFRO,African Region,2022-05-02,Diagnosis,1
Nigeria,NGA,AFRO,African Region,2022-05-05,Onset,2
Nigeria,NGA,AFRO,African Region,2022-05-06,Onset,1
Nigeria,NGA,AFRO,African Region,2022-05-22,Onset,1
Nigeria,NGA,AFRO,African Region,2022-05-23,Onset,1
Nigeria,NGA,AFRO,African Region,2022-05-25,Onset,2
Nigeria,NGA,AFRO,African Region,2022-05-26,Onset,1
Nigeria,NGA,AFRO,African Region,2022-05-28,Onset,3
Nigeria,NGA,AFRO,African Region,2022-05-30,Onset,2
Nigeria,NGA,AFRO,African Region,2022-06-01,Diagnosis,1
Nigeria,NGA,AFRO,African Region,2022-06-02,Onset,1
Nigeria,NGA,AFRO,African Region,2022-06-03,Onset,1
Nigeria,NGA,AFRO,African Region,2022-06-04,Onset,2
Nigeria,NGA,AFRO,African Region,2022-06-07,Onset,1
Nigeria,NGA,AFRO,African Region,2022-06-08,Onset,1
Nigeria,NGA,AFRO,African Region,2022-06-09,Onset,1
Nigeria,NGA,AFRO,African Region,2022-06-10,Onset,2
Nigeria,NGA,AFRO,African Region,2022-06-14,Onset,1
Nigeria,NGA,AFRO,African Region,2022-06-15,Onset,3
Nigeria,NGA,AFRO,African Region,2022-06-16,Onset,1
Nigeria,NGA,AFRO,African Region,2022-06-17,Onset,3
Nigeria,NGA,AFRO,African Region,2022-06-18,Onset,4
Nigeria,NGA,AFRO,African Region,2022-06-19,Diagnosis,1
Nigeria,NGA,AFRO,African Region,2022-06-19,Onset,1
Nigeria,NGA,AFRO,African Region,2022-06-20,Onset,2
Nigeria,NGA,AFRO,African Region,2022-06-21,Onset,3
Nigeria,NGA,AFRO,African Region,2022-06-22,Onset,2
Nigeria,NGA,AFRO,African Region,2022-06-23,Onset,3
Nigeria,NGA,AFRO,African Region,2022-06-24,Onset,3
Nigeria,NGA,AFRO,African Region,2022-06-25,Onset,2
Nigeria,NGA,AFRO,African Region,2022-06-26,Diagnosis,1
Nigeria,NGA,AFRO,African Region,2022-06-26,Onset,1
Nigeria,NGA,AFRO,African Region,2022-06-27,Onset,1
Nigeria,NGA,AFRO,African Region,2022-06-28,Onset,1
Nigeria,NGA,AFRO,African Region,2022-06-30,Onset,1
Nigeria,NGA,AFRO,African Region,2022-07-01,Diagnosis,1
Nigeria,NGA,AFRO,African Region,2022-07-01,Onset,1
Nigeria,NGA,AFRO,African Region,2022-07-02,Onset,2
Nigeria,NGA,AFRO,African Region,2022-07-03,Onset,1
Nigeria,NGA,AFRO,African Region,2022-07-04,Onset,2
Nigeria,NGA,AFRO,African Region,2022-07-06,Onset,2
Nigeria,NGA,AFRO,African Region,2022-07-07,Onset,1
Nigeria,NGA,AFRO,African Region,2022-07-08,Onset,1
Nigeria,NGA,AFRO,African Region,2022-07-10,Diagnosis,2
Nigeria,NGA,AFRO,African Region,2022-07-10,Onset,2
Nigeria,NGA,AFRO,African Region,2022-07-18,Diagnosis,1
Nigeria,NGA,AFRO,African Region,2022-08-06,Onset,1
Nigeria,NGA,AFRO,African Region,2022-09-06,Onset,2
