country,iso3,who_region,who_region_long,reference_date,date_type,cases
Norway,NOR,EURO,European Region,2022-05-23,Onset,1
Norway,NOR,EURO,European Region,2022-05-29,Onset,2
Norway,NOR,EURO,European Region,2022-05-30,Onset,1
Norway,NOR,EURO,European Region,2022-06-04,Onset,1
Norway,NOR,EURO,European Region,2022-06-10,Onset,1
Norway,NOR,EURO,European Region,2022-06-11,Onset,1
Norway,NOR,EURO,European Region,2022-06-12,Onset,1
Norway,NOR,EURO,European Region,2022-06-13,Onset,1
Norway,NOR,EURO,European Region,2022-06-17,Onset,2
Norway,NOR,EURO,European Region,2022-06-18,Onset,4
Norway,NOR,EURO,European Region,2022-06-19,Onset,1
Norway,NOR,EURO,European Region,2022-06-20,Onset,3
Norway,NOR,EURO,European Region,2022-06-22,Onset,2
Norway,NOR,EURO,European Region,2022-06-24,Onset,1
Norway,NOR,EURO,European Region,2022-06-27,Onset,2
Norway,NOR,EURO,European Region,2022-06-30,Onset,1
Norway,NOR,EURO,European Region,2022-07-01,Onset,3
Norway,NOR,EURO,European Region,2022-07-02,Onset,3
Norway,NOR,EURO,European Region,2022-07-03,Onset,1
Norway,NOR,EURO,European Region,2022-07-04,Onset,2
Norway,NOR,EURO,European Region,2022-07-06,Onset,4
Norway,NOR,EURO,European Region,2022-07-07,Onset,1
Norway,NOR,EURO,European Region,2022-07-09,Onset,1
Norway,NOR,EURO,European Region,2022-07-10,Onset,2
Norway,NOR,EURO,European Region,2022-07-11,Onset,2
Norway,NOR,EURO,European Region,2022-07-12,Onset,1
Norway,NOR,EURO,European Region,2022-07-15,Onset,2
Norway,NOR,EURO,European Region,2022-07-16,Onset,2
Norway,NOR,EURO,European Region,2022-07-18,Onset,1
Norway,NOR,EURO,European Region,2022-07-20,Onset,2
Norway,NOR,EURO,European Region,2022-07-21,Onset,2
Norway,NOR,EURO,European Region,2022-07-24,Onset,2
Norway,NOR,EURO,European Region,2022-07-25,Onset,2
Norway,NOR,EURO,European Region,2022-07-26,Onset,1
Norway,NOR,EURO,European Region,2022-07-27,Onset,1
Norway,NOR,EURO,European Region,2022-07-28,Onset,3
Norway,NOR,EURO,European Region,2022-07-29,Onset,1
Norway,NOR,EURO,European Region,2022-07-30,Onset,1
Norway,NOR,EURO,European Region,2022-07-31,Onset,1
Norway,NOR,EURO,European Region,2022-08-01,Onset,1
Norway,NOR,EURO,European Region,2022-08-02,Onset,2
Norway,NOR,EURO,European Region,2022-08-04,Onset,1
Norway,NOR,EURO,European Region,2022-08-06,Onset,1
Norway,NOR,EURO,European Region,2022-08-08,Onset,1
Norway,NOR,EURO,European Region,2022-08-11,Onset,1
Norway,NOR,EURO,European Region,2022-08-12,Onset,1
Norway,NOR,EURO,European Region,2022-08-13,Onset,1
Norway,NOR,EURO,European Region,2022-08-16,Onset,2
Norway,NOR,EURO,European Region,2022-08-19,Onset,2
Norway,NOR,EURO,European Region,2022-08-20,Onset,2
Norway,NOR,EURO,European Region,2022-08-22,Onset,1
Norway,NOR,EURO,European Region,2022-08-24,Onset,1
Norway,NOR,EURO,European Region,2022-08-31,Onset,1
Norway,NOR,EURO,European Region,2022-09-02,Onset,1
Norway,NOR,EURO,European Region,2022-09-05,Onset,1
Norway,NOR,EURO,European Region,2022-09-06,Onset,1
Norway,NOR,EURO,European Region,2022-09-08,Onset,1
Norway,NOR,EURO,European Region,2022-09-12,Diagnosis,1
Norway,NOR,EURO,European Region,2022-09-13,Onset,2
Norway,NOR,EURO,European Region,2022-09-26,Onset,1
