country,iso3,who_region,who_region_long,reference_date,date_type,cases
Panama,PAN,AMRO,Region of the Americas,2022-06-28,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-07-31,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-08-07,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-08-10,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-08-12,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-08-15,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-08-16,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-08-19,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-08-25,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-08-26,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-08-27,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-09-08,Onset,1
Panama,PAN,AMRO,Region of the Americas,2022-09-17,Onset,2
Panama,PAN,AMRO,Region of the Americas,2022-09-23,Onset,1
