country,iso3,who_region,who_region_long,reference_date,date_type,cases
Poland,POL,EURO,European Region,2022-05-16,Onset,1
Poland,POL,EURO,European Region,2022-05-18,Onset,1
Poland,POL,EURO,European Region,2022-05-31,Onset,2
Poland,POL,EURO,European Region,2022-06-03,Onset,2
Poland,POL,EURO,European Region,2022-06-04,Onset,1
Poland,POL,EURO,European Region,2022-06-08,Onset,1
Poland,POL,EURO,European Region,2022-06-09,Onset,1
Poland,POL,EURO,European Region,2022-06-13,Onset,1
Poland,POL,EURO,European Region,2022-06-15,Onset,1
Poland,POL,EURO,European Region,2022-06-23,Onset,1
Poland,POL,EURO,European Region,2022-06-25,Diagnosis,1
Poland,POL,EURO,European Region,2022-06-27,Onset,3
Poland,POL,EURO,European Region,2022-06-28,Onset,1
Poland,POL,EURO,European Region,2022-06-29,Onset,3
Poland,POL,EURO,European Region,2022-06-30,Onset,2
Poland,POL,EURO,European Region,2022-07-01,Onset,5
Poland,POL,EURO,European Region,2022-07-02,Onset,1
Poland,POL,EURO,European Region,2022-07-04,Onset,5
Poland,POL,EURO,European Region,2022-07-05,Onset,1
Poland,POL,EURO,European Region,2022-07-06,Onset,4
Poland,POL,EURO,European Region,2022-07-07,Onset,2
Poland,POL,EURO,European Region,2022-07-09,Onset,4
Poland,POL,EURO,European Region,2022-07-11,Onset,3
Poland,POL,EURO,European Region,2022-07-12,Onset,4
Poland,POL,EURO,European Region,2022-07-13,Onset,2
Poland,POL,EURO,European Region,2022-07-15,Diagnosis,1
Poland,POL,EURO,European Region,2022-07-15,Onset,3
Poland,POL,EURO,European Region,2022-07-16,Onset,1
Poland,POL,EURO,European Region,2022-07-17,Onset,2
Poland,POL,EURO,European Region,2022-07-18,Onset,2
Poland,POL,EURO,European Region,2022-07-19,Onset,1
Poland,POL,EURO,European Region,2022-07-20,Onset,3
Poland,POL,EURO,European Region,2022-07-21,Onset,6
Poland,POL,EURO,European Region,2022-07-22,Onset,4
Poland,POL,EURO,European Region,2022-07-23,Onset,4
Poland,POL,EURO,European Region,2022-07-25,Onset,3
Poland,POL,EURO,European Region,2022-07-26,Onset,3
Poland,POL,EURO,European Region,2022-07-28,Onset,2
Poland,POL,EURO,European Region,2022-07-29,Onset,3
Poland,POL,EURO,European Region,2022-07-30,Onset,6
Poland,POL,EURO,European Region,2022-07-31,Onset,3
Poland,POL,EURO,European Region,2022-08-01,Onset,6
Poland,POL,EURO,European Region,2022-08-02,Onset,2
Poland,POL,EURO,European Region,2022-08-03,Diagnosis,1
Poland,POL,EURO,European Region,2022-08-03,Onset,4
Poland,POL,EURO,European Region,2022-08-04,Onset,1
Poland,POL,EURO,European Region,2022-08-05,Onset,2
Poland,POL,EURO,European Region,2022-08-06,Onset,1
Poland,POL,EURO,European Region,2022-08-07,Onset,1
Poland,POL,EURO,European Region,2022-08-08,Onset,3
Poland,POL,EURO,European Region,2022-08-09,Onset,2
Poland,POL,EURO,European Region,2022-08-11,Onset,1
Poland,POL,EURO,European Region,2022-08-12,Onset,4
Poland,POL,EURO,European Region,2022-08-13,Onset,2
Poland,POL,EURO,European Region,2022-08-14,Onset,2
Poland,POL,EURO,European Region,2022-08-15,Onset,1
Poland,POL,EURO,European Region,2022-08-16,Onset,1
Poland,POL,EURO,European Region,2022-08-18,Onset,3
Poland,POL,EURO,European Region,2022-08-19,Onset,1
Poland,POL,EURO,European Region,2022-08-20,Onset,3
Poland,POL,EURO,European Region,2022-08-21,Onset,1
Poland,POL,EURO,European Region,2022-08-22,Onset,6
Poland,POL,EURO,European Region,2022-08-23,Onset,4
Poland,POL,EURO,European Region,2022-08-24,Onset,2
Poland,POL,EURO,European Region,2022-08-25,Onset,1
Poland,POL,EURO,European Region,2022-08-26,Onset,2
Poland,POL,EURO,European Region,2022-08-27,Onset,2
Poland,POL,EURO,European Region,2022-08-28,Onset,1
Poland,POL,EURO,European Region,2022-08-29,Onset,3
Poland,POL,EURO,European Region,2022-08-30,Onset,1
Poland,POL,EURO,European Region,2022-09-01,Onset,5
Poland,POL,EURO,European Region,2022-09-03,Onset,1
Poland,POL,EURO,European Region,2022-09-04,Onset,2
Poland,POL,EURO,European Region,2022-09-05,Onset,4
Poland,POL,EURO,European Region,2022-09-07,Onset,5
Poland,POL,EURO,European Region,2022-09-08,Onset,3
Poland,POL,EURO,European Region,2022-09-10,Onset,4
Poland,POL,EURO,European Region,2022-09-11,Onset,1
Poland,POL,EURO,European Region,2022-09-13,Onset,1
Poland,POL,EURO,European Region,2022-09-16,Onset,1
Poland,POL,EURO,European Region,2022-09-17,Onset,1
Poland,POL,EURO,European Region,2022-09-18,Onset,2
Poland,POL,EURO,European Region,2022-09-21,Onset,1
Poland,POL,EURO,European Region,2022-09-25,Onset,1
Poland,POL,EURO,European Region,2022-09-27,Onset,1
Poland,POL,EURO,European Region,2022-09-29,Onset,1
Poland,POL,EURO,European Region,2022-09-30,Onset,1
Poland,POL,EURO,European Region,2022-10-02,Onset,1
Poland,POL,EURO,European Region,2022-10-05,Onset,1
Poland,POL,EURO,European Region,2022-10-06,Onset,1
Poland,POL,EURO,European Region,2022-10-08,Onset,1
Poland,POL,EURO,European Region,2022-10-11,Onset,2
Poland,POL,EURO,European Region,2022-10-16,Onset,1
Poland,POL,EURO,European Region,2022-10-17,Onset,2
Poland,POL,EURO,European Region,2022-10-20,Onset,1
Poland,POL,EURO,European Region,2022-10-23,Onset,1
