country,iso3,who_region,who_region_long,reference_date,date_type,cases
Romania,ROU,EURO,European Region,2022-06-02,Onset,1
Romania,ROU,EURO,European Region,2022-06-09,Onset,2
Romania,ROU,EURO,European Region,2022-06-12,Onset,1
Romania,ROU,EURO,European Region,2022-06-15,Onset,1
Romania,ROU,EURO,European Region,2022-06-17,Onset,1
Romania,ROU,EURO,European Region,2022-06-20,Onset,1
Romania,ROU,EURO,European Region,2022-06-21,Onset,2
Romania,ROU,EURO,European Region,2022-06-22,Onset,1
Romania,ROU,EURO,European Region,2022-06-23,Onset,1
Romania,ROU,EURO,European Region,2022-06-24,Onset,1
Romania,ROU,EURO,European Region,2022-06-27,Onset,2
Romania,ROU,EURO,European Region,2022-06-30,Onset,2
Romania,ROU,EURO,European Region,2022-07-07,Onset,1
Romania,ROU,EURO,European Region,2022-07-08,Onset,1
Romania,ROU,EURO,European Region,2022-07-09,Onset,1
Romania,ROU,EURO,European Region,2022-07-10,Onset,1
Romania,ROU,EURO,European Region,2022-07-23,Onset,2
Romania,ROU,EURO,European Region,2022-07-26,Onset,1
Romania,ROU,EURO,European Region,2022-07-28,Onset,4
Romania,ROU,EURO,European Region,2022-07-29,Onset,1
Romania,ROU,EURO,European Region,2022-07-31,Onset,1
Romania,ROU,EURO,European Region,2022-08-02,Onset,1
Romania,ROU,EURO,European Region,2022-08-03,Onset,1
Romania,ROU,EURO,European Region,2022-08-04,Onset,1
Romania,ROU,EURO,European Region,2022-08-08,Onset,1
Romania,ROU,EURO,European Region,2022-08-13,Onset,1
Romania,ROU,EURO,European Region,2022-08-14,Onset,1
Romania,ROU,EURO,European Region,2022-08-21,Onset,1
Romania,ROU,EURO,European Region,2022-08-29,Onset,1
Romania,ROU,EURO,European Region,2022-09-07,Onset,1
Romania,ROU,EURO,European Region,2022-09-09,Onset,1
Romania,ROU,EURO,European Region,2022-09-12,Onset,1
Romania,ROU,EURO,European Region,2022-09-20,Onset,1
Romania,ROU,EURO,European Region,2022-10-07,Onset,1
Romania,ROU,EURO,European Region,2022-10-18,Onset,1
