country,iso3,who_region,who_region_long,reference_date,date_type,cases
Serbia,SRB,EURO,European Region,2022-06-03,Onset,1
Serbia,SRB,EURO,European Region,2022-06-21,Onset,1
Serbia,SRB,EURO,European Region,2022-06-27,Onset,1
Serbia,SRB,EURO,European Region,2022-06-29,Onset,1
Serbia,SRB,EURO,European Region,2022-06-30,Onset,1
Serbia,SRB,EURO,European Region,2022-07-03,Onset,1
Serbia,SRB,EURO,European Region,2022-07-10,Onset,1
Serbia,SRB,EURO,European Region,2022-07-11,Onset,1
Serbia,SRB,EURO,European Region,2022-07-16,Onset,1
Serbia,SRB,EURO,European Region,2022-07-17,Onset,2
Serbia,SRB,EURO,European Region,2022-07-20,Onset,3
Serbia,SRB,EURO,European Region,2022-07-23,Onset,2
Serbia,SRB,EURO,European Region,2022-07-24,Onset,3
Serbia,SRB,EURO,European Region,2022-07-25,Onset,4
Serbia,SRB,EURO,European Region,2022-07-30,Onset,2
Serbia,SRB,EURO,European Region,2022-07-31,Onset,1
Serbia,SRB,EURO,European Region,2022-08-01,Onset,3
Serbia,SRB,EURO,European Region,2022-08-02,Onset,2
Serbia,SRB,EURO,European Region,2022-08-03,Onset,1
Serbia,SRB,EURO,European Region,2022-08-14,Onset,1
Serbia,SRB,EURO,European Region,2022-08-20,Onset,1
Serbia,SRB,EURO,European Region,2022-08-22,Onset,2
Serbia,SRB,EURO,European Region,2022-08-26,Onset,1
Serbia,SRB,EURO,European Region,2022-08-30,Onset,1
Serbia,SRB,EURO,European Region,2022-09-05,Onset,1
Serbia,SRB,EURO,European Region,2022-09-13,Onset,1
