country,iso3,who_region,who_region_long,reference_date,date_type,cases
Singapore,SGP,WPRO,Western Pacific Region,2022-02-27,Onset,1
Singapore,SGP,WPRO,Western Pacific Region,2022-06-14,Onset,1
Singapore,SGP,WPRO,Western Pacific Region,2022-06-28,Onset,1
Singapore,SGP,WPRO,Western Pacific Region,2022-06-30,Onset,2
Singapore,SGP,WPRO,Western Pacific Region,2022-07-06,Onset,1
Singapore,SGP,WPRO,Western Pacific Region,2022-07-09,Onset,1
Singapore,SGP,WPRO,Western Pacific Region,2022-07-10,Onset,1
Singapore,SGP,WPRO,Western Pacific Region,2022-07-12,Onset,1
Singapore,SGP,WPRO,Western Pacific Region,2022-07-21,Onset,1
Singapore,SGP,WPRO,Western Pacific Region,2022-07-22,Onset,1
Singapore,SGP,WPRO,Western Pacific Region,2022-07-23,Onset,1
Singapore,SGP,WPRO,Western Pacific Region,2022-07-29,Onset,1
Singapore,SGP,WPRO,Western Pacific Region,2022-08-05,Diagnosis,2
Singapore,SGP,WPRO,Western Pacific Region,2022-08-16,Onset,1
Singapore,SGP,WPRO,Western Pacific Region,2022-09-02,Onset,1
Singapore,SGP,WPRO,Western Pacific Region,2022-09-03,Onset,1
Singapore,SGP,WPRO,Western Pacific Region,2022-09-04,Onset,1
