country,iso3,who_region,who_region_long,reference_date,date_type,cases
Slovakia,SVK,EURO,European Region,2022-06-23,Onset,1
Slovakia,SVK,EURO,European Region,2022-07-04,Onset,1
Slovakia,SVK,EURO,European Region,2022-07-12,Onset,1
Slovakia,SVK,EURO,European Region,2022-07-13,Onset,1
Slovakia,SVK,EURO,European Region,2022-07-19,Onset,1
Slovakia,SVK,EURO,European Region,2022-07-20,Onset,1
Slovakia,SVK,EURO,European Region,2022-07-21,Onset,1
Slovakia,SVK,EURO,European Region,2022-07-22,Onset,1
Slovakia,SVK,EURO,European Region,2022-07-25,Onset,1
Slovakia,SVK,EURO,European Region,2022-07-26,Onset,1
Slovakia,SVK,EURO,European Region,2022-08-03,Onset,1
Slovakia,SVK,EURO,European Region,2022-08-09,Onset,1
Slovakia,SVK,EURO,European Region,2022-08-15,Onset,1
Slovakia,SVK,EURO,European Region,2022-08-29,Onset,1
