country,iso3,who_region,who_region_long,reference_date,date_type,cases
Slovenia,SVN,EURO,European Region,2022-05-18,Onset,1
Slovenia,SVN,EURO,European Region,2022-05-19,Onset,1
Slovenia,SVN,EURO,European Region,2022-05-23,Onset,1
Slovenia,SVN,EURO,European Region,2022-05-26,Onset,1
Slovenia,SVN,EURO,European Region,2022-05-29,Onset,1
Slovenia,SVN,EURO,European Region,2022-06-02,Diagnosis,1
Slovenia,SVN,EURO,European Region,2022-06-07,Onset,1
Slovenia,SVN,EURO,European Region,2022-06-17,Onset,1
Slovenia,SVN,EURO,European Region,2022-06-19,Onset,1
Slovenia,SVN,EURO,European Region,2022-06-20,Onset,1
Slovenia,SVN,EURO,European Region,2022-06-25,Onset,1
Slovenia,SVN,EURO,European Region,2022-06-27,Onset,1
Slovenia,SVN,EURO,European Region,2022-06-28,Onset,1
Slovenia,SVN,EURO,European Region,2022-06-29,Onset,2
Slovenia,SVN,EURO,European Region,2022-07-02,Onset,3
Slovenia,SVN,EURO,European Region,2022-07-04,Onset,2
Slovenia,SVN,EURO,European Region,2022-07-06,Onset,2
Slovenia,SVN,EURO,European Region,2022-07-08,Onset,1
Slovenia,SVN,EURO,European Region,2022-07-09,Onset,1
Slovenia,SVN,EURO,European Region,2022-07-12,Onset,1
Slovenia,SVN,EURO,European Region,2022-07-14,Onset,2
Slovenia,SVN,EURO,European Region,2022-07-16,Onset,2
Slovenia,SVN,EURO,European Region,2022-07-17,Onset,1
Slovenia,SVN,EURO,European Region,2022-07-18,Onset,1
Slovenia,SVN,EURO,European Region,2022-07-20,Diagnosis,1
Slovenia,SVN,EURO,European Region,2022-07-20,Onset,1
Slovenia,SVN,EURO,European Region,2022-07-21,Onset,1
Slovenia,SVN,EURO,European Region,2022-07-22,Onset,1
Slovenia,SVN,EURO,European Region,2022-07-25,Onset,1
Slovenia,SVN,EURO,European Region,2022-07-26,Onset,3
Slovenia,SVN,EURO,European Region,2022-07-31,Onset,1
Slovenia,SVN,EURO,European Region,2022-08-04,Onset,2
Slovenia,SVN,EURO,European Region,2022-08-08,Onset,1
Slovenia,SVN,EURO,European Region,2022-08-22,Onset,1
Slovenia,SVN,EURO,European Region,2022-08-24,Onset,1
Slovenia,SVN,EURO,European Region,2022-09-03,Onset,1
Slovenia,SVN,EURO,European Region,2022-09-20,Onset,1
