country,iso3,who_region,who_region_long,reference_date,date_type,cases
Switzerland,CHE,EURO,European Region,2022-05-19,Reported,1
Switzerland,CHE,EURO,European Region,2022-05-24,Reported,2
Switzerland,CHE,EURO,European Region,2022-05-25,Reported,1
Switzerland,CHE,EURO,European Region,2022-05-27,Reported,1
Switzerland,CHE,EURO,European Region,2022-05-29,Reported,1
Switzerland,CHE,EURO,European Region,2022-06-01,Reported,1
Switzerland,CHE,EURO,European Region,2022-06-02,Reported,2
Switzerland,CHE,EURO,European Region,2022-06-03,Reported,1
Switzerland,CHE,EURO,European Region,2022-06-04,Reported,1
Switzerland,CHE,EURO,European Region,2022-06-05,Reported,1
Switzerland,CHE,EURO,European Region,2022-06-07,Reported,2
Switzerland,CHE,EURO,European Region,2022-06-08,Reported,2
Switzerland,CHE,EURO,European Region,2022-06-09,Reported,2
Switzerland,CHE,EURO,European Region,2022-06-10,Reported,1
Switzerland,CHE,EURO,European Region,2022-06-12,Reported,3
Switzerland,CHE,EURO,European Region,2022-06-13,Reported,5
Switzerland,CHE,EURO,European Region,2022-06-14,Reported,5
Switzerland,CHE,EURO,European Region,2022-06-15,Reported,4
Switzerland,CHE,EURO,European Region,2022-06-16,Reported,3
Switzerland,CHE,EURO,European Region,2022-06-17,Reported,5
Switzerland,CHE,EURO,European Region,2022-06-18,Reported,3
Switzerland,CHE,EURO,European Region,2022-06-20,Reported,4
Switzerland,CHE,EURO,European Region,2022-06-21,Reported,3
Switzerland,CHE,EURO,European Region,2022-06-22,Reported,2
Switzerland,CHE,EURO,European Region,2022-06-23,Reported,7
Switzerland,CHE,EURO,European Region,2022-06-24,Reported,7
Switzerland,CHE,EURO,European Region,2022-06-25,Reported,1
Switzerland,CHE,EURO,European Region,2022-06-26,Reported,5
Switzerland,CHE,EURO,European Region,2022-06-27,Reported,6
Switzerland,CHE,EURO,European Region,2022-06-28,Reported,6
Switzerland,CHE,EURO,European Region,2022-06-29,Reported,5
Switzerland,CHE,EURO,European Region,2022-06-30,Reported,9
Switzerland,CHE,EURO,European Region,2022-07-01,Reported,11
Switzerland,CHE,EURO,European Region,2022-07-02,Reported,5
Switzerland,CHE,EURO,European Region,2022-07-03,Reported,3
Switzerland,CHE,EURO,European Region,2022-07-04,Reported,6
Switzerland,CHE,EURO,European Region,2022-07-05,Reported,8
Switzerland,CHE,EURO,European Region,2022-07-06,Reported,4
Switzerland,CHE,EURO,European Region,2022-07-07,Reported,8
Switzerland,CHE,EURO,European Region,2022-07-08,Reported,9
Switzerland,CHE,EURO,European Region,2022-07-09,Reported,3
Switzerland,CHE,EURO,European Region,2022-07-09,Onset,1
Switzerland,CHE,EURO,European Region,2022-07-10,Reported,6
Switzerland,CHE,EURO,European Region,2022-07-10,Onset,1
Switzerland,CHE,EURO,European Region,2022-07-11,Reported,11
Switzerland,CHE,EURO,European Region,2022-07-11,Onset,3
Switzerland,CHE,EURO,European Region,2022-07-12,Reported,8
Switzerland,CHE,EURO,European Region,2022-07-12,Onset,2
Switzerland,CHE,EURO,European Region,2022-07-13,Reported,9
Switzerland,CHE,EURO,European Region,2022-07-13,Onset,1
Switzerland,CHE,EURO,European Region,2022-07-14,Reported,8
Switzerland,CHE,EURO,European Region,2022-07-14,Onset,1
Switzerland,CHE,EURO,European Region,2022-07-15,Reported,3
Switzerland,CHE,EURO,European Region,2022-07-15,Onset,3
Switzerland,CHE,EURO,European Region,2022-07-16,Reported,3
Switzerland,CHE,EURO,European Region,2022-07-16,Onset,4
Switzerland,CHE,EURO,European Region,2022-07-17,Reported,1
Switzerland,CHE,EURO,European Region,2022-07-17,Onset,5
Switzerland,CHE,EURO,European Region,2022-07-18,Reported,5
Switzerland,CHE,EURO,European Region,2022-07-18,Onset,7
Switzerland,CHE,EURO,European Region,2022-07-19,Reported,4
Switzerland,CHE,EURO,European Region,2022-07-19,Onset,2
Switzerland,CHE,EURO,European Region,2022-07-20,Reported,1
Switzerland,CHE,EURO,European Region,2022-07-20,Onset,3
Switzerland,CHE,EURO,European Region,2022-07-21,Reported,2
Switzerland,CHE,EURO,European Region,2022-07-21,Onset,7
Switzerland,CHE,EURO,European Region,2022-07-22,Reported,4
Switzerland,CHE,EURO,European Region,2022-07-22,Onset,5
Switzerland,CHE,EURO,European Region,2022-07-23,Reported,1
Switzerland,CHE,EURO,European Region,2022-07-23,Onset,11
Switzerland,CHE,EURO,European Region,2022-07-24,Reported,1
Switzerland,CHE,EURO,European Region,2022-07-24,Onset,7
Switzerland,CHE,EURO,European Region,2022-07-25,Reported,2
Switzerland,CHE,EURO,European Region,2022-07-25,Onset,11
Switzerland,CHE,EURO,European Region,2022-07-26,Reported,1
Switzerland,CHE,EURO,European Region,2022-07-26,Onset,2
Switzerland,CHE,EURO,European Region,2022-07-27,Reported,3
Switzerland,CHE,EURO,European Region,2022-07-27,Onset,5
Switzerland,CHE,EURO,European Region,2022-07-28,Reported,4
Switzerland,CHE,EURO,European Region,2022-07-28,Onset,6
Switzerland,CHE,EURO,European Region,2022-07-29,Onset,3
Switzerland,CHE,EURO,European Region,2022-07-30,Reported,2
Switzerland,CHE,EURO,European Region,2022-07-30,Onset,2
Switzerland,CHE,EURO,European Region,2022-07-31,Reported,2
Switzerland,CHE,EURO,European Region,2022-07-31,Onset,7
Switzerland,CHE,EURO,European Region,2022-08-01,Reported,1
Switzerland,CHE,EURO,European Region,2022-08-01,Onset,8
Switzerland,CHE,EURO,European Region,2022-08-02,Onset,10
Switzerland,CHE,EURO,European Region,2022-08-03,Reported,1
Switzerland,CHE,EURO,European Region,2022-08-03,Onset,3
Switzerland,CHE,EURO,European Region,2022-08-04,Reported,1
Switzerland,CHE,EURO,European Region,2022-08-04,Onset,3
Switzerland,CHE,EURO,European Region,2022-08-05,Reported,1
Switzerland,CHE,EURO,European Region,2022-08-05,Onset,6
Switzerland,CHE,EURO,European Region,2022-08-06,Reported,1
Switzerland,CHE,EURO,European Region,2022-08-06,Onset,4
Switzerland,CHE,EURO,European Region,2022-08-07,Reported,1
Switzerland,CHE,EURO,European Region,2022-08-07,Onset,4
Switzerland,CHE,EURO,European Region,2022-08-08,Reported,1
Switzerland,CHE,EURO,European Region,2022-08-08,Onset,9
Switzerland,CHE,EURO,European Region,2022-08-09,Reported,1
Switzerland,CHE,EURO,European Region,2022-08-09,Onset,4
Switzerland,CHE,EURO,European Region,2022-08-10,Onset,6
Switzerland,CHE,EURO,European Region,2022-08-11,Reported,1
Switzerland,CHE,EURO,European Region,2022-08-11,Onset,5
Switzerland,CHE,EURO,European Region,2022-08-12,Reported,1
Switzerland,CHE,EURO,European Region,2022-08-12,Onset,4
Switzerland,CHE,EURO,European Region,2022-08-13,Reported,1
Switzerland,CHE,EURO,European Region,2022-08-13,Onset,3
Switzerland,CHE,EURO,European Region,2022-08-14,Onset,4
Switzerland,CHE,EURO,European Region,2022-08-15,Reported,4
Switzerland,CHE,EURO,European Region,2022-08-15,Onset,5
Switzerland,CHE,EURO,European Region,2022-08-16,Onset,3
Switzerland,CHE,EURO,European Region,2022-08-17,Reported,2
Switzerland,CHE,EURO,European Region,2022-08-17,Onset,2
Switzerland,CHE,EURO,European Region,2022-08-18,Onset,5
Switzerland,CHE,EURO,European Region,2022-08-19,Reported,1
Switzerland,CHE,EURO,European Region,2022-08-19,Onset,8
Switzerland,CHE,EURO,European Region,2022-08-20,Reported,2
Switzerland,CHE,EURO,European Region,2022-08-20,Onset,3
Switzerland,CHE,EURO,European Region,2022-08-21,Onset,5
Switzerland,CHE,EURO,European Region,2022-08-22,Reported,1
Switzerland,CHE,EURO,European Region,2022-08-22,Onset,5
Switzerland,CHE,EURO,European Region,2022-08-23,Reported,1
Switzerland,CHE,EURO,European Region,2022-08-23,Onset,7
Switzerland,CHE,EURO,European Region,2022-08-24,Onset,4
Switzerland,CHE,EURO,European Region,2022-08-25,Onset,3
Switzerland,CHE,EURO,European Region,2022-08-26,Reported,2
Switzerland,CHE,EURO,European Region,2022-08-27,Onset,1
Switzerland,CHE,EURO,European Region,2022-08-29,Onset,3
Switzerland,CHE,EURO,European Region,2022-08-30,Reported,2
Switzerland,CHE,EURO,European Region,2022-08-30,Onset,3
Switzerland,CHE,EURO,European Region,2022-08-31,Reported,1
Switzerland,CHE,EURO,European Region,2022-09-01,Reported,1
Switzerland,CHE,EURO,European Region,2022-09-03,Reported,2
Switzerland,CHE,EURO,European Region,2022-09-04,Onset,2
Switzerland,CHE,EURO,European Region,2022-09-05,Onset,2
Switzerland,CHE,EURO,European Region,2022-09-06,Onset,2
Switzerland,CHE,EURO,European Region,2022-09-07,Onset,1
Switzerland,CHE,EURO,European Region,2022-09-08,Onset,1
Switzerland,CHE,EURO,European Region,2022-09-09,Reported,1
Switzerland,CHE,EURO,European Region,2022-09-09,Onset,1
Switzerland,CHE,EURO,European Region,2022-09-10,Onset,2
Switzerland,CHE,EURO,European Region,2022-09-11,Onset,3
Switzerland,CHE,EURO,European Region,2022-09-12,Onset,1
Switzerland,CHE,EURO,European Region,2022-09-14,Reported,1
Switzerland,CHE,EURO,European Region,2022-09-14,Onset,1
Switzerland,CHE,EURO,European Region,2022-09-15,Reported,1
Switzerland,CHE,EURO,European Region,2022-09-15,Onset,3
Switzerland,CHE,EURO,European Region,2022-09-16,Reported,1
Switzerland,CHE,EURO,European Region,2022-09-16,Onset,3
Switzerland,CHE,EURO,European Region,2022-09-18,Onset,1
Switzerland,CHE,EURO,European Region,2022-09-19,Reported,1
Switzerland,CHE,EURO,European Region,2022-09-19,Onset,1
Switzerland,CHE,EURO,European Region,2022-09-22,Reported,1
Switzerland,CHE,EURO,European Region,2022-09-24,Onset,1
Switzerland,CHE,EURO,European Region,2022-09-27,Onset,1
Switzerland,CHE,EURO,European Region,2022-09-29,Onset,1
Switzerland,CHE,EURO,European Region,2022-09-30,Reported,1
Switzerland,CHE,EURO,European Region,2022-10-01,Onset,2
Switzerland,CHE,EURO,European Region,2022-10-04,Onset,1
Switzerland,CHE,EURO,European Region,2022-10-07,Onset,1
Switzerland,CHE,EURO,European Region,2022-10-08,Reported,2
Switzerland,CHE,EURO,European Region,2022-10-09,Onset,1
Switzerland,CHE,EURO,European Region,2022-10-12,Reported,1
Switzerland,CHE,EURO,European Region,2022-10-13,Reported,1
Switzerland,CHE,EURO,European Region,2022-10-17,Onset,1
Switzerland,CHE,EURO,European Region,2022-10-20,Reported,1
Switzerland,CHE,EURO,European Region,2022-10-21,Reported,1
Switzerland,CHE,EURO,European Region,2022-10-21,Onset,1
