country,iso3,who_region,who_region_long,reference_date,date_type,cases
Thailand,THA,SEARO,South-East Asia Region,2022-07-09,Onset,1
Thailand,THA,SEARO,South-East Asia Region,2022-07-14,Onset,1
Thailand,THA,SEARO,South-East Asia Region,2022-07-24,Onset,1
Thailand,THA,SEARO,South-East Asia Region,2022-07-29,Onset,1
Thailand,THA,SEARO,South-East Asia Region,2022-08-09,Onset,1
Thailand,THA,SEARO,South-East Asia Region,2022-08-10,Onset,1
Thailand,THA,SEARO,South-East Asia Region,2022-08-20,Onset,1
Thailand,THA,SEARO,South-East Asia Region,2022-09-08,Onset,1
Thailand,THA,SEARO,South-East Asia Region,2022-09-16,Onset,1
Thailand,THA,SEARO,South-East Asia Region,2022-09-24,Onset,1
Thailand,THA,SEARO,South-East Asia Region,2022-10-08,Onset,1
Thailand,THA,SEARO,South-East Asia Region,2022-10-11,Onset,1
