country,iso3,who_region,who_region_long,reference_date,date_type,cases
The United Kingdom,GBR,EURO,European Region,2022-04-17,Onset,1
The United Kingdom,GBR,EURO,European Region,2022-04-22,Onset,1
The United Kingdom,GBR,EURO,European Region,2022-04-23,Onset,1
The United Kingdom,GBR,EURO,European Region,2022-04-24,Onset,2
The United Kingdom,GBR,EURO,European Region,2022-04-25,Onset,1
The United Kingdom,GBR,EURO,European Region,2022-04-29,Onset,3
The United Kingdom,GBR,EURO,European Region,2022-04-30,Onset,3
The United Kingdom,GBR,EURO,European Region,2022-05-01,Onset,2
The United Kingdom,GBR,EURO,European Region,2022-05-02,Onset,8
The United Kingdom,GBR,EURO,European Region,2022-05-04,Onset,4
The United Kingdom,GBR,EURO,European Region,2022-05-05,Onset,5
The United Kingdom,GBR,EURO,European Region,2022-05-06,Onset,2
The United Kingdom,GBR,EURO,European Region,2022-05-07,Onset,6
The United Kingdom,GBR,EURO,European Region,2022-05-08,Onset,3
The United Kingdom,GBR,EURO,European Region,2022-05-09,Onset,10
The United Kingdom,GBR,EURO,European Region,2022-05-10,Onset,6
The United Kingdom,GBR,EURO,European Region,2022-05-11,Onset,6
The United Kingdom,GBR,EURO,European Region,2022-05-12,Onset,7
The United Kingdom,GBR,EURO,European Region,2022-05-13,Onset,10
The United Kingdom,GBR,EURO,European Region,2022-05-14,Onset,12
The United Kingdom,GBR,EURO,European Region,2022-05-15,Onset,13
The United Kingdom,GBR,EURO,European Region,2022-05-16,Onset,18
The United Kingdom,GBR,EURO,European Region,2022-05-17,Onset,16
The United Kingdom,GBR,EURO,European Region,2022-05-18,Onset,14
The United Kingdom,GBR,EURO,European Region,2022-05-19,Onset,15
The United Kingdom,GBR,EURO,European Region,2022-05-20,Diagnosis,1
The United Kingdom,GBR,EURO,European Region,2022-05-20,Onset,17
The United Kingdom,GBR,EURO,European Region,2022-05-21,Onset,16
The United Kingdom,GBR,EURO,European Region,2022-05-22,Onset,13
The United Kingdom,GBR,EURO,European Region,2022-05-23,Onset,22
The United Kingdom,GBR,EURO,European Region,2022-05-24,Onset,21
The United Kingdom,GBR,EURO,European Region,2022-05-25,Onset,16
The United Kingdom,GBR,EURO,European Region,2022-05-26,Diagnosis,2
The United Kingdom,GBR,EURO,European Region,2022-05-26,Onset,15
The United Kingdom,GBR,EURO,European Region,2022-05-27,Diagnosis,1
The United Kingdom,GBR,EURO,European Region,2022-05-27,Onset,14
The United Kingdom,GBR,EURO,European Region,2022-05-28,Onset,17
The United Kingdom,GBR,EURO,European Region,2022-05-29,Onset,15
The United Kingdom,GBR,EURO,European Region,2022-05-30,Diagnosis,3
The United Kingdom,GBR,EURO,European Region,2022-05-30,Onset,20
The United Kingdom,GBR,EURO,European Region,2022-05-31,Onset,18
The United Kingdom,GBR,EURO,European Region,2022-06-01,Diagnosis,2
The United Kingdom,GBR,EURO,European Region,2022-06-01,Onset,29
The United Kingdom,GBR,EURO,European Region,2022-06-02,Diagnosis,1
The United Kingdom,GBR,EURO,European Region,2022-06-02,Onset,26
The United Kingdom,GBR,EURO,European Region,2022-06-03,Diagnosis,3
The United Kingdom,GBR,EURO,European Region,2022-06-03,Onset,21
The United Kingdom,GBR,EURO,European Region,2022-06-04,Onset,22
The United Kingdom,GBR,EURO,European Region,2022-06-05,Onset,31
The United Kingdom,GBR,EURO,European Region,2022-06-06,Diagnosis,4
The United Kingdom,GBR,EURO,European Region,2022-06-06,Onset,47
The United Kingdom,GBR,EURO,European Region,2022-06-07,Diagnosis,2
The United Kingdom,GBR,EURO,European Region,2022-06-07,Onset,43
The United Kingdom,GBR,EURO,European Region,2022-06-08,Onset,20
The United Kingdom,GBR,EURO,European Region,2022-06-09,Diagnosis,7
The United Kingdom,GBR,EURO,European Region,2022-06-09,Onset,30
The United Kingdom,GBR,EURO,European Region,2022-06-10,Diagnosis,2
The United Kingdom,GBR,EURO,European Region,2022-06-10,Onset,35
The United Kingdom,GBR,EURO,European Region,2022-06-11,Onset,42
The United Kingdom,GBR,EURO,European Region,2022-06-12,Onset,31
The United Kingdom,GBR,EURO,European Region,2022-06-13,Diagnosis,9
The United Kingdom,GBR,EURO,European Region,2022-06-13,Onset,57
The United Kingdom,GBR,EURO,European Region,2022-06-14,Diagnosis,5
The United Kingdom,GBR,EURO,European Region,2022-06-14,Onset,42
The United Kingdom,GBR,EURO,European Region,2022-06-15,Diagnosis,2
The United Kingdom,GBR,EURO,European Region,2022-06-15,Onset,33
The United Kingdom,GBR,EURO,European Region,2022-06-16,Diagnosis,8
The United Kingdom,GBR,EURO,European Region,2022-06-16,Onset,17
The United Kingdom,GBR,EURO,European Region,2022-06-17,Diagnosis,7
The United Kingdom,GBR,EURO,European Region,2022-06-17,Onset,57
The United Kingdom,GBR,EURO,European Region,2022-06-18,Onset,37
The United Kingdom,GBR,EURO,European Region,2022-06-19,Onset,21
The United Kingdom,GBR,EURO,European Region,2022-06-20,Diagnosis,7
The United Kingdom,GBR,EURO,European Region,2022-06-20,Onset,37
The United Kingdom,GBR,EURO,European Region,2022-06-21,Diagnosis,21
The United Kingdom,GBR,EURO,European Region,2022-06-21,Onset,34
The United Kingdom,GBR,EURO,European Region,2022-06-22,Diagnosis,8
The United Kingdom,GBR,EURO,European Region,2022-06-22,Onset,26
The United Kingdom,GBR,EURO,European Region,2022-06-23,Onset,20
The United Kingdom,GBR,EURO,European Region,2022-06-24,Onset,38
The United Kingdom,GBR,EURO,European Region,2022-06-25,Onset,25
The United Kingdom,GBR,EURO,European Region,2022-06-26,Onset,22
The United Kingdom,GBR,EURO,European Region,2022-06-27,Diagnosis,24
The United Kingdom,GBR,EURO,European Region,2022-06-27,Onset,32
The United Kingdom,GBR,EURO,European Region,2022-06-28,Diagnosis,27
The United Kingdom,GBR,EURO,European Region,2022-06-28,Onset,23
The United Kingdom,GBR,EURO,European Region,2022-06-29,Diagnosis,42
The United Kingdom,GBR,EURO,European Region,2022-06-29,Onset,37
The United Kingdom,GBR,EURO,European Region,2022-06-30,Diagnosis,14
The United Kingdom,GBR,EURO,European Region,2022-06-30,Onset,25
The United Kingdom,GBR,EURO,European Region,2022-07-01,Diagnosis,31
The United Kingdom,GBR,EURO,European Region,2022-07-01,Onset,47
The United Kingdom,GBR,EURO,European Region,2022-07-02,Onset,35
The United Kingdom,GBR,EURO,European Region,2022-07-03,Onset,20
The United Kingdom,GBR,EURO,European Region,2022-07-04,Diagnosis,72
The United Kingdom,GBR,EURO,European Region,2022-07-04,Onset,32
The United Kingdom,GBR,EURO,European Region,2022-07-05,Diagnosis,12
The United Kingdom,GBR,EURO,European Region,2022-07-05,Onset,32
The United Kingdom,GBR,EURO,European Region,2022-07-06,Diagnosis,15
The United Kingdom,GBR,EURO,European Region,2022-07-06,Onset,30
The United Kingdom,GBR,EURO,European Region,2022-07-07,Diagnosis,22
The United Kingdom,GBR,EURO,European Region,2022-07-07,Onset,27
The United Kingdom,GBR,EURO,European Region,2022-07-08,Diagnosis,20
The United Kingdom,GBR,EURO,European Region,2022-07-08,Onset,36
The United Kingdom,GBR,EURO,European Region,2022-07-09,Onset,24
The United Kingdom,GBR,EURO,European Region,2022-07-10,Onset,20
The United Kingdom,GBR,EURO,European Region,2022-07-11,Diagnosis,25
The United Kingdom,GBR,EURO,European Region,2022-07-11,Onset,30
The United Kingdom,GBR,EURO,European Region,2022-07-12,Diagnosis,28
The United Kingdom,GBR,EURO,European Region,2022-07-12,Onset,29
The United Kingdom,GBR,EURO,European Region,2022-07-13,Diagnosis,23
The United Kingdom,GBR,EURO,European Region,2022-07-13,Onset,32
The United Kingdom,GBR,EURO,European Region,2022-07-14,Diagnosis,25
The United Kingdom,GBR,EURO,European Region,2022-07-14,Onset,23
The United Kingdom,GBR,EURO,European Region,2022-07-15,Diagnosis,13
The United Kingdom,GBR,EURO,European Region,2022-07-15,Onset,30
The United Kingdom,GBR,EURO,European Region,2022-07-16,Diagnosis,8
The United Kingdom,GBR,EURO,European Region,2022-07-16,Onset,24
The United Kingdom,GBR,EURO,European Region,2022-07-17,Diagnosis,13
The United Kingdom,GBR,EURO,European Region,2022-07-17,Onset,23
The United Kingdom,GBR,EURO,European Region,2022-07-18,Diagnosis,22
The United Kingdom,GBR,EURO,European Region,2022-07-18,Onset,22
The United Kingdom,GBR,EURO,European Region,2022-07-19,Diagnosis,23
The United Kingdom,GBR,EURO,European Region,2022-07-19,Onset,28
The United Kingdom,GBR,EURO,European Region,2022-07-20,Diagnosis,23
The United Kingdom,GBR,EURO,European Region,2022-07-20,Onset,26
The United Kingdom,GBR,EURO,European Region,2022-07-21,Diagnosis,35
The United Kingdom,GBR,EURO,European Region,2022-07-21,Onset,22
The United Kingdom,GBR,EURO,European Region,2022-07-22,Diagnosis,16
The United Kingdom,GBR,EURO,European Region,2022-07-22,Onset,25
The United Kingdom,GBR,EURO,European Region,2022-07-23,Diagnosis,25
The United Kingdom,GBR,EURO,European Region,2022-07-23,Onset,17
The United Kingdom,GBR,EURO,European Region,2022-07-24,Diagnosis,7
The United Kingdom,GBR,EURO,European Region,2022-07-24,Onset,11
The United Kingdom,GBR,EURO,European Region,2022-07-25,Diagnosis,14
The United Kingdom,GBR,EURO,European Region,2022-07-25,Onset,23
The United Kingdom,GBR,EURO,European Region,2022-07-26,Diagnosis,14
The United Kingdom,GBR,EURO,European Region,2022-07-26,Onset,22
The United Kingdom,GBR,EURO,European Region,2022-07-27,Diagnosis,8
The United Kingdom,GBR,EURO,European Region,2022-07-27,Onset,19
