country,iso3,who_region,who_region_long,reference_date,date_type,cases
Türkiye,TUR,EURO,European Region,2022-06-25,Onset,1
Türkiye,TUR,EURO,European Region,2022-06-30,Onset,1
Türkiye,TUR,EURO,European Region,2022-07-01,Onset,2
Türkiye,TUR,EURO,European Region,2022-07-21,Onset,1
Türkiye,TUR,EURO,European Region,2022-07-25,Onset,1
Türkiye,TUR,EURO,European Region,2022-07-27,Onset,1
Türkiye,TUR,EURO,European Region,2022-07-30,Onset,1
Türkiye,TUR,EURO,European Region,2022-08-01,Onset,2
Türkiye,TUR,EURO,European Region,2022-08-13,Onset,1
Türkiye,TUR,EURO,European Region,2022-08-16,Onset,1
