country,iso3,who_region,who_region_long,reference_date,date_type,cases
United Arab Emirates,ARE,EMRO,Eastern Mediterranean Region,2022-05-12,Onset,1
United Arab Emirates,ARE,EMRO,Eastern Mediterranean Region,2022-05-14,Onset,1
United Arab Emirates,ARE,EMRO,Eastern Mediterranean Region,2022-05-15,Onset,2
United Arab Emirates,ARE,EMRO,Eastern Mediterranean Region,2022-05-16,Onset,2
United Arab Emirates,ARE,EMRO,Eastern Mediterranean Region,2022-05-17,Onset,1
United Arab Emirates,ARE,EMRO,Eastern Mediterranean Region,2022-05-19,Onset,3
United Arab Emirates,ARE,EMRO,Eastern Mediterranean Region,2022-05-20,Onset,1
United Arab Emirates,ARE,EMRO,Eastern Mediterranean Region,2022-05-21,Onset,2
United Arab Emirates,ARE,EMRO,Eastern Mediterranean Region,2022-07-12,Onset,1
United Arab Emirates,ARE,EMRO,Eastern Mediterranean Region,2022-07-16,Onset,1
United Arab Emirates,ARE,EMRO,Eastern Mediterranean Region,2022-07-19,Onset,1
