country,iso3,who_region,who_region_long,reference_date,date_type,cases
Uruguay,URY,AMRO,Region of the Americas,2022-07-20,Onset,1
Uruguay,URY,AMRO,Region of the Americas,2022-07-26,Onset,1
Uruguay,URY,AMRO,Region of the Americas,2022-08-09,Onset,1
Uruguay,URY,AMRO,Region of the Americas,2022-08-18,Onset,1
Uruguay,URY,AMRO,Region of the Americas,2022-08-20,Onset,1
Uruguay,URY,AMRO,Region of the Americas,2022-09-12,Onset,1
Uruguay,URY,AMRO,Region of the Americas,2022-09-13,Onset,1
Uruguay,URY,AMRO,Region of the Americas,2022-09-17,Onset,1
Uruguay,URY,AMRO,Region of the Americas,2022-09-22,Onset,1
Uruguay,URY,AMRO,Region of the Americas,2022-09-27,Onset,1
Uruguay,URY,AMRO,Region of the Americas,2022-10-03,Onset,1
