"","iso_code","location"
"1","ABW","Aruba"
"2","AND","Andorra"
"3","ARE","United Arab Emirates"
"4","ARG","Argentina"
"5","AUS","Australia"
"6","AUT","Austria"
"7","BEL","Belgium"
"8","BEN","Benin"
"9","BGR","Bulgaria"
"10","BHR","Bahrain"
"11","BHS","Bahamas"
"12","BIH","Bosnia and Herzegovina"
"13","BMU","Bermuda"
"14","BOL","Bolivia"
"15","BRA","Brazil"
"16","BRB","Barbados"
"17","CAF","Central African Republic"
"18","CAN","Canada"
"19","CHE","Switzerland"
"20","CHL","Chile"
"21","CHN","China"
"22","CMR","Cameroon"
"23","COD","Democratic Republic of Congo"
"24","COG","Congo"
"25","COL","Colombia"
"26","CRI","Costa Rica"
"27","CUB","Cuba"
"28","CUW","Curacao"
"29","CYP","Cyprus"
"30","CZE","Czechia"
"31","DEU","Germany"
"32","DNK","Denmark"
"33","DOM","Dominican Republic"
"34","ECU","Ecuador"
"35","EGY","Egypt"
"36","ESP","Spain"
"37","EST","Estonia"
"38","FIN","Finland"
"39","FRA","France"
"40","GBR","United Kingdom"
"41","GEO","Georgia"
"42","GHA","Ghana"
"43","GIB","Gibraltar"
"44","GLP","Guadeloupe"
"45","GRC","Greece"
"46","GRL","Greenland"
"47","GTM","Guatemala"
"48","GUM","Guam"
"49","GUY","Guyana"
"50","HND","Honduras"
"51","HRV","Croatia"
"52","HUN","Hungary"
"53","IDN","Indonesia"
"54","IND","India"
"55","IRL","Ireland"
"56","IRN","Iran"
"57","ISL","Iceland"
"58","ISR","Israel"
"59","ITA","Italy"
"60","JAM","Jamaica"
"61","JOR","Jordan"
"62","JPN","Japan"
"63","KOR","South Korea"
"64","LBN","Lebanon"
"65","LBR","Liberia"
"66","LTU","Lithuania"
"67","LUX","Luxembourg"
"68","LVA","Latvia"
"69","MAF","Saint Martin (French part)"
"70","MAR","Morocco"
"71","MCO","Monaco"
"72","MDA","Moldova"
"73","MEX","Mexico"
"74","MLT","Malta"
"75","MNE","Montenegro"
"76","MTQ","Martinique"
"77","NCL","New Caledonia"
"78","NGA","Nigeria"
"79","NLD","Netherlands"
"80","NOR","Norway"
"81","NZL","New Zealand"
"82","PAN","Panama"
"83","PER","Peru"
"84","PHL","Philippines"
"85","POL","Poland"
"86","PRI","Puerto Rico"
"87","PRT","Portugal"
"88","PRY","Paraguay"
"89","QAT","Qatar"
"90","ROU","Romania"
"91","RUS","Russia"
"92","SAU","Saudi Arabia"
"93","SDN","Sudan"
"94","SGP","Singapore"
"95","SLV","El Salvador"
"96","SRB","Serbia"
"97","SVK","Slovakia"
"98","SVN","Slovenia"
"99","SWE","Sweden"
"100","THA","Thailand"
"101","TUR","Turkey"
"102","UKR","Ukraine"
"103","URY","Uruguay"
"104","USA","United States"
"105","VEN","Venezuela"
"106","ZAF","South Africa"
