"","iso_code","location","date","new_cases","total_cases","date_import"
"1","ABW","Aruba","2022/08/26",0,1,"2022/08/21"
"2","ABW","Aruba","2022/09/04",0,2,"2022/08/21"
"3","ABW","Aruba","2022/08/27",0,1,"2022/08/21"
"4","ABW","Aruba","2022/09/08",0,2,"2022/08/21"
"5","ABW","Aruba","2022/09/05",0,2,"2022/08/21"
"6","ABW","Aruba","2022/08/23",0,0,"2022/08/21"
"7","ABW","Aruba","2022/09/07",0,2,"2022/08/21"
"8","ABW","Aruba","2022/09/09",0,2,"2022/08/21"
"9","ABW","Aruba","2022/09/02",0,2,"2022/08/21"
"10","ABW","Aruba","2022/09/06",0,2,"2022/08/21"
"11","ABW","Aruba","2022/09/11",0,2,"2022/08/21"
"12","ABW","Aruba","2022/08/28",0,1,"2022/08/21"
"13","ABW","Aruba","2022/09/03",0,2,"2022/08/21"
"14","ABW","Aruba","2022/09/10",0,2,"2022/08/21"
"15","ABW","Aruba","2022/08/24",1,1,"2022/08/21"
"16","ABW","Aruba","2022/09/01",0,2,"2022/08/21"
"17","ABW","Aruba","2022/09/12",0,2,"2022/08/21"
"18","ABW","Aruba","2022/08/30",1,2,"2022/08/21"
"19","ABW","Aruba","2022/08/25",0,1,"2022/08/21"
"20","ABW","Aruba","2022/08/21",0,0,"2022/08/21"
"21","ABW","Aruba","2022/08/22",0,0,"2022/08/21"
"22","ABW","Aruba","2022/08/29",0,1,"2022/08/21"
"23","ABW","Aruba","2022/08/31",0,2,"2022/08/21"
"24","ABW","Aruba","2022/09/13",1,3,"2022/08/21"
"25","AND","Andorra","2022/09/23",0,4,"2022/07/25"
"26","AND","Andorra","2022/08/02",0,3,"2022/07/25"
"27","AND","Andorra","2022/08/07",0,4,"2022/07/25"
"28","AND","Andorra","2022/08/10",0,4,"2022/07/25"
"29","AND","Andorra","2022/08/03",0,3,"2022/07/25"
"30","AND","Andorra","2022/08/01",0,3,"2022/07/25"
"31","AND","Andorra","2022/10/01",0,4,"2022/07/25"
"32","AND","Andorra","2022/08/19",0,4,"2022/07/25"
"33","AND","Andorra","2022/08/06",0,4,"2022/07/25"
"34","AND","Andorra","2022/08/05",1,4,"2022/07/25"
