"","location","iso_code","date","new_cases","date_import","import_low","import_upp","total_cases"
"1","Andorra","AND",2022-04-17,0,2022-06-20,NA,NA,0
"2","Andorra","AND",2022-04-18,0,2022-06-20,NA,NA,0
"3","Andorra","AND",2022-04-19,0,2022-06-20,NA,NA,0
"4","Andorra","AND",2022-04-20,0,2022-06-20,NA,NA,0
"5","Andorra","AND",2022-04-21,0,2022-06-20,NA,NA,0
"6","Andorra","AND",2022-04-22,0,2022-06-20,NA,NA,0
"7","Andorra","AND",2022-04-23,0,2022-06-20,NA,NA,0
"8","Andorra","AND",2022-04-24,0,2022-06-20,NA,NA,0
"9","Andorra","AND",2022-04-25,0,2022-06-20,NA,NA,0
"10","Andorra","AND",2022-04-26,0,2022-06-20,NA,NA,0
"11","Andorra","AND",2022-04-27,0,2022-06-20,NA,NA,0
"12","Andorra","AND",2022-04-28,0,2022-06-20,NA,NA,0
"13","Andorra","AND",2022-04-29,0,2022-06-20,NA,NA,0
"14","Andorra","AND",2022-04-30,0,2022-06-20,NA,NA,0
"15","Andorra","AND",2022-05-01,0,2022-06-20,NA,NA,0
"16","Andorra","AND",2022-05-02,0,2022-06-20,NA,NA,0
"17","Andorra","AND",2022-05-03,0,2022-06-20,NA,NA,0
"18","Andorra","AND",2022-05-04,0,2022-06-20,NA,NA,0
"19","Andorra","AND",2022-05-05,0,2022-06-20,NA,NA,0
"20","Andorra","AND",2022-05-06,0,2022-06-20,NA,NA,0
"21","Andorra","AND",2022-05-07,0,2022-06-20,NA,NA,0
"22","Andorra","AND",2022-05-08,0,2022-06-20,NA,NA,0
"23","Andorra","AND",2022-05-09,0,2022-06-20,NA,NA,0
"24","Andorra","AND",2022-05-10,0,2022-06-20,NA,NA,0
"25","Andorra","AND",2022-05-11,0,2022-06-20,NA,NA,0
"26","Andorra","AND",2022-05-12,0,2022-06-20,NA,NA,0
"27","Andorra","AND",2022-05-13,0,2022-06-20,NA,NA,0
"28","Andorra","AND",2022-05-14,0,2022-06-20,NA,NA,0
"29","Andorra","AND",2022-05-15,0,2022-06-20,NA,NA,0
"30","Andorra","AND",2022-05-16,0,2022-06-20,NA,NA,0
"31","Andorra","AND",2022-05-17,0,2022-06-20,NA,NA,0
"32","Andorra","AND",2022-05-18,0,2022-06-20,NA,NA,0
"33","Andorra","AND",2022-05-19,0,2022-06-20,NA,NA,0
"34","Andorra","AND",2022-05-20,0,2022-06-20,NA,NA,0
"35","Andorra","AND",2022-05-21,0,2022-06-20,NA,NA,0
"36","Andorra","AND",2022-05-22,0,2022-06-20,NA,NA,0
"37","Andorra","AND",2022-05-23,0,2022-06-20,NA,NA,0
"38","Andorra","AND",2022-05-24,0,2022-06-20,NA,NA,0
"39","Andorra","AND",2022-05-25,0,2022-06-20,NA,NA,0
"40","Andorra","AND",2022-05-26,0,2022-06-20,NA,NA,0
"41","Andorra","AND",2022-05-27,0,2022-06-20,NA,NA,0
"42","Andorra","AND",2022-05-28,0,2022-06-20,NA,NA,0
"43","Andorra","AND",2022-05-29,0,2022-06-20,NA,NA,0
"44","Andorra","AND",2022-05-30,0,2022-06-20,NA,NA,0
"45","Andorra","AND",2022-05-31,0,2022-06-20,NA,NA,0
"46","Andorra","AND",2022-06-01,0,2022-06-20,NA,NA,0
"47","Andorra","AND",2022-06-02,0,2022-06-20,NA,NA,0
"48","Andorra","AND",2022-06-03,0,2022-06-20,NA,NA,0
"49","Andorra","AND",2022-06-04,0,2022-06-20,NA,NA,0
"50","Andorra","AND",2022-06-05,0,2022-06-20,NA,NA,0
"51","Andorra","AND",2022-06-06,0,2022-06-20,NA,NA,0
"52","Andorra","AND",2022-06-07,0,2022-06-20,NA,NA,0
"53","Andorra","AND",2022-06-08,0,2022-06-20,NA,NA,0
"54","Andorra","AND",2022-06-09,0,2022-06-20,NA,NA,0
"55","Andorra","AND",2022-06-10,0,2022-06-20,NA,NA,0
"56","Andorra","AND",2022-06-11,0,2022-06-20,NA,NA,0
"57","Andorra","AND",2022-06-12,0,2022-06-20,NA,NA,0
"58","Andorra","AND",2022-06-13,0,2022-06-20,NA,NA,0
"59","Andorra","AND",2022-06-14,0,2022-06-20,NA,NA,0
"60","Andorra","AND",2022-06-15,0,2022-06-20,NA,NA,0
"61","Andorra","AND",2022-06-16,0,2022-06-20,NA,NA,0
"62","Andorra","AND",2022-06-17,0,2022-06-20,NA,NA,0
"63","Andorra","AND",2022-06-18,0,2022-06-20,NA,NA,0
"64","Andorra","AND",2022-06-19,0,2022-06-20,NA,NA,0
"65","Andorra","AND",2022-06-20,1,2022-06-20,NA,NA,1
"66","Andorra","AND",2022-06-21,0,2022-06-20,NA,NA,1
"67","Andorra","AND",2022-06-22,1,2022-06-20,NA,NA,2
"68","Andorra","AND",2022-06-23,0,2022-06-20,NA,NA,2
"69","Andorra","AND",2022-06-24,0,2022-06-20,NA,NA,2
"70","Andorra","AND",2022-06-25,0,2022-06-20,NA,NA,2
"71","Andorra","AND",2022-06-26,0,2022-06-20,NA,NA,2
"72","Andorra","AND",2022-06-27,0,2022-06-20,NA,NA,2
"73","Andorra","AND",2022-06-28,0,2022-06-20,NA,NA,2
